,ilvD
Cr_1,0.0013897441336811758
Cr_2,0.005370512407824961
Cr_3,0.014325751675759037
Cr_4,0.01682893583814203
Cr_5,0.022757355143826426
Cr_6,0.027729046586343682
Fe_1,-0.007439571573593443
Fe_2,-0.019630266525846117
Fe_3,-0.019172984120860017
Fe_4,-0.015367238255867263
Fe_5,-0.008619074469799374
Fe_6,-0.0020182976131613226
Cd_1,0.009066400529141668
Cd_2,0.01602306125148472
Cd_3,0.025285611958907217
Cd_4,0.036654362193301065
Cd_5,0.04018172441418758
Cd_6,0.047320879146561225
Zn_1,-0.0030048807910545423
Zn_2,-0.008112592105197613
Zn_3,-0.012213543322651793
Zn_4,-0.012887081593788185
Zn_5,-0.014753938122755125
Zn_6,-0.016751993459891625
Cu_1,0.0031116787693755373
Cu_2,0.004477467588106887
Cu_3,0.008437441957009694
Cu_4,0.011096506816092238
Cu_5,0.014678355717459284
Cu_6,0.020519411474275592
Pb_1,0.005177598977007389
Pb_2,0.0030794568136991232
Pb_3,0.005386258893224756
Pb_4,0.0077959507748234565
Pb_5,0.008544796204459255
Pb_6,0.012468960617390642
