,A,PspF,RpoN,ihfB
R2,,0.08651313452398623,0.054589796951349134,0.008159746445287941
xmin,,-2.876157381,-2.3873792415,-2.385835026
xmid,,-1.4937400919975325,,
xmax,,1.564602837,1.0586750145,1.646649845
ystart,,6.629419790972346,6.928832296038211,4.995918198729749
yend,,1.5874329002049312,2.342386473218522,3.391906170130654
control__wt_glc__1,-0.0549213543,-0.083283112,-0.0046102245,0.08337238500000001
control__wt_glc__2,0.0549213543,0.083283112,0.0046102245,-0.08337238500000001
fur__wt_dpd__1,4.8122710862,0.203830637,0.7030172055,0.7158603250000001
fur__wt_dpd__2,5.8810477431,0.11085262200000001,0.8161369585,0.8566654450000001
fur__wt_fe__1,1.5915778259,-0.23105941400000002,-0.0984432415,-0.076995065
fur__wt_fe__2,1.7675988085,-0.096244466,-0.0146245195,-0.086717445
fur__delfur_dpd__1,3.9362464327,-0.0032069750000000004,0.5910067835,0.689803445
fur__delfur_dpd__2,4.3350167608,-0.23210683000000001,0.7714851735,0.621869415
fur__delfur_fe2__1,2.5617902167,-0.014860477,0.1582958355,0.365818715
fur__delfur_fe2__2,2.7211727721,0.045123739,0.09519432950000001,0.335810425
acid__wt_ph5__1,2.9498923196,0.251061009,0.1518490055,0.284257435
acid__wt_ph5__2,3.1355124444999998,0.272666334,0.22540910150000001,0.301657345
acid__delgadx_ph5__2,2.6097517973,0.184489379,0.2189185305,0.036205125000000005
acid__delgadw_ph5__1,3.0813398743000002,0.19103762300000002,0.1845077045,0.19517709500000002
acid__delgadw_ph5__2,2.8637598068,0.121011452,0.1457626175,0.183183425
acid__delgade_ph5__1,2.8431045448,0.369708727,0.16061627050000002,0.33218594500000004
acid__delgade_ph5__2,3.0352815386,0.14910642300000002,0.23216701250000002,0.239560985
oxidative__wt_pq__1,6.3606206993,0.604992704,0.4468107435,0.946614625
oxidative__wt_pq__2,5.9525123872000005,0.56096857,0.3896680745,0.9488081850000001
oxidative__deloxyr_pq__1,4.7928180056,0.283605908,0.3630092975,0.874908725
oxidative__deloxyr_pq__2,5.290614701,0.24482039800000002,0.36022816350000003,0.9672342150000001
oxidative__delsoxr_pq__1,8.3939631398,0.408850178,0.45338366350000003,1.071325345
oxidative__delsoxr_pq__2,8.3057640628,0.498401172,0.43859741750000003,1.168231695
oxidative__delsoxs_pq__1,6.9988828727,0.666404541,0.6504048325,1.135143795
oxidative__delsoxs_pq__2,7.6834345406,0.584651531,0.6203968145000001,1.020138575
nac_ntrc__wt_csn__1,3.1390464609,-0.185847181,0.3878049415,0.172544145
nac_ntrc__wt_csn__2,2.4418344755,0.06882711400000001,0.38617062950000003,0.213025175
nac_ntrc__wt_cytd__1,1.7906539291999999,-0.007426355000000001,0.1780138735,0.457530655
nac_ntrc__wt_cytd__2,2.0598351821,0.308951566,0.14013047450000002,0.597994515
nac_ntrc__wt_gln__1,3.3867127931,0.7310820960000001,0.38755840750000004,1.040972635
nac_ntrc__wt_gln__2,3.4943676553,0.229841537,0.3112008835,1.115534085
nac_ntrc__bw_delnac_csn__1,5.9970836842,0.09650227900000001,0.6216542455,0.215499185
nac_ntrc__bw_delnac_csn__2,6.5243719312,-0.049380176000000005,0.8497727805,-0.16648385500000001
nac_ntrc__bw_delnac_cytd__1,4.0801553408,0.29320609000000003,0.1636119455,0.46454559500000003
nac_ntrc__bw_delnac_cytd__2,3.8520379226,0.306515384,0.2066971445,0.423041565
nac_ntrc__bw_delnac_gln__1,4.0095747927,0.490068117,0.3080251985,0.8464916450000001
nac_ntrc__bw_delnac_gln__2,5.0395169657,0.6475787980000001,0.2967956055,0.8042016750000001
nac_ntrc__bw_delnac_nh4__1,3.2894359736,0.315069492,-0.2040379745,-0.302034215
nac_ntrc__bw_delnac_nh4__2,3.748332187,0.09419097200000001,-0.2513449025,-0.19284083500000002
misc__wt_no_te__1,2.7938992598,0.16287784800000002,0.4210455765,0.868944275
misc__wt_no_te__2,2.8017001311,-0.061250751000000006,0.3409092855,0.509379655
misc__bw_delcbl__1,4.6210570448,0.014857749000000002,0.26062700850000003,-0.339403675
misc__bw_delcbl__2,4.982422739,0.239576849,0.3284104245,-0.297203465
misc__bw_delfabr__1,4.586790739,0.07602905,0.12483548650000001,-0.6204796650000001
misc__bw_delfabr__2,4.5647681004,-0.134124709,0.1031144385,-0.5922961330000001
misc__bw_delfadr__1,3.1971798093,0.133560916,0.2262561375,-0.26224984500000004
misc__bw_delfadr__2,3.1470175259,0.13831092,0.2539545305,-0.136506935
misc__nitr_031__1,5.4839198548,0.37877904700000004,0.3646965855,0.036167395000000005
omics__wt_glu__1,1.4837479358,0.8524491200000001,0.2962516995,-0.13827825500000002
omics__wt_glu__2,1.1261802289,1.023283139,0.4666522205,-0.251474605
omics__wt_gly__1,2.4102675013,0.633948677,0.08866842550000001,-0.8723242170000001
omics__wt_gly__2,2.5959476009999998,0.44277443800000005,0.0568323675,-0.871424807
omics__wt_thr__1,1.8028906408,1.564602837,0.7135937785,-0.185728995
omics__wt_thr__2,1.7553135311,1.4608274460000001,0.7710917565000001,-0.34076356500000005
omics__bw_ac__1,5.5819931486000005,0.03155357,0.2626952735,0.647908585
omics__bw_ac__2,4.7206448777,0.24253618700000001,0.2125339715,0.605473425
omics__bw_fum__1,4.2520657822,0.13439061300000002,-0.0719943285,0.018456405000000002
omics__bw_fum__2,4.435533744,0.11352265800000001,-0.1321674075,-0.006356255000000001
omics__bw_glc__1,3.1419710357,0.27840900700000004,0.08772091650000001,0.164126605
omics__bw_glc__2,3.3067473083,0.35836902800000003,0.0866318205,0.15512309500000002
omics__bw_pyr__1,5.9886325387,-0.019881967,0.13049388650000002,0.644921705
omics__bw_pyr__2,6.7737685406,0.088863675,0.0750394705,0.659472645
ompr__wt_nacl__1,5.6182822229,0.612741642,0.8458476445,0.277552005
ompr__wt_nacl__2,4.9225200341,0.41034225900000004,0.7361582905,0.08413458500000001
ompr__bw_delompr_nacl__1,11.699365439,0.18563494,0.3376980425,0.009492215
ompr__bw_delompr_nacl__2,12.5520002686,0.34690908600000003,0.3812324995,-0.13246892500000002
minspan__wt_ade__1,2.0526283987,0.547471429,-0.23121805050000002,0.323090545
minspan__wt_glc__2,1.7444105583,-0.13446139000000001,-0.2809332425,-0.0050519250000000005
minspan__wt_glc__3,2.1180093763,-0.346968055,-0.2902247825,0.045105535
minspan__wt_glc__4,2.3037693900000003,-0.095137285,-0.2054288275,-0.07972467500000001
minspan__wt_glc_anaero__1,0.5430718926,0.11234563500000001,0.0389202145,-0.17243101500000002
minspan__wt_glc_anaero__2,1.0768203002,0.189093803,0.0609900175,-0.170063665
minspan__wt_trp__1,0.9661264139,0.26581206900000004,0.1072953325,0.631325145
minspan__bw_delcra_glc__2,1.8855902284,0.6129034120000001,0.0527145325,0.5065485750000001
minspan__bw_delcra_trp__1,0.7260067259,0.023217831,0.1089791855,0.906130685
minspan__bw_delmntr__1,2.0525707661,0.38751082400000003,0.2383428175,0.004072415
minspan__bw_delnac_ade__1,2.3497976965,-0.360458873,0.0018527365,0.073518865
minspan__bw_delnac_glc__1,2.8810932232,-0.17574820700000002,-0.3356794605,0.12347822500000001
cra_crp__wt_ac__1,2.6666993232,0.549963784,0.1917987605,-0.30622956500000004
cra_crp__wt_ac__2,2.5228344539,0.56395814,0.1532170935,-0.352816565
cra_crp__wt_fru__1,2.1944300244,0.677186123,0.2657675905,-0.26311180500000003
cra_crp__wt_fru__2,2.4584135408,0.886656984,0.3237425105,-0.088390225
cra_crp__delcra_ac__1,5.8112172082,0.179105066,-0.023381640500000002,0.08919740500000001
cra_crp__delcra_ac__2,5.928137647,0.096971865,-0.1429831305,0.021087685000000002
cra_crp__delcra_fru__1,3.7507257349,-0.014042926,0.10736111150000001,0.279636635
cra_crp__delcra_fru__2,3.8135364539000003,0.126897585,0.12499276150000001,0.32569436500000004
cra_crp__delcra_glc__1,3.0377308921,0.05477487700000001,-0.0261596815,-0.027273645000000003
cra_crp__delcra_glc__2,3.0212348421,0.150957329,-0.1007299425,-0.13678458500000001
rpoB__wt_031__1,5.5838354641,0.380386108,-0.056968540500000005,-0.018986005
rpoB__wt_044__1,5.1017131481,-0.15602279300000002,0.22376482050000002,-0.16863898500000002
rpoB__wt_lb__1,4.5927110258,0.364222078,-0.028158271500000002,0.377391115
rpoB__wt_lb__2,4.1991703064,0.001484213,0.0103283685,0.29310171500000004
rpoB__rpoBE546V_031__1,6.4414884985,0.287076663,-0.1267133255,0.34542376500000005
rpoB__rpoBE546V_044__1,6.7265494617,0.10451196,0.023719754500000002,0.433644805
rpoB__rpoBE546V_lb__1,5.5318576528,0.34194195400000005,-0.013294588500000001,0.154811065
rpoB__rpoBE546V_lb__2,5.0470184607,0.46837223400000005,-0.0162517615,0.184431905
rpoB__rpoBE546V_glc__1,3.235514733,0.12462606400000001,-0.5141145255,-0.25137586500000003
rpoB__rpoBE672K_glc__1,2.3992688635,-0.998665035,-0.2027603775,-0.868628418
rpoB__rpoBE672K_glc__2,3.6991500471,-0.842065606,-0.22850633750000002,-0.841749195
rpoB__rpoBE672K_lb__1,4.4006160039,-0.5386245040000001,-0.6724268015,-0.730282673
rpoB__rpoBE672K_lb__2,5.3086499811,-0.685603406,-0.5883223085,-0.70811133
crp__wt_fru__1,3.5145441609,-0.24782525700000002,-0.2614936275,-0.120886425
crp__wt_glyc__1,3.7930247132,-0.12939445600000002,-0.4111413085,-0.235195225
crp__wt_glyc__2,3.9417112379,-0.249605705,-0.31615505250000003,-0.226979175
crp__delar1_glyc__1,3.875962487,0.8171258180000001,0.6530569715,0.817711665
crp__delar1_glyc__2,4.3813607913,0.8996127610000001,0.6094381865,0.8890342950000001
crp__delar1ar2_glyc__1,2.2959967131,0.29162182400000003,0.41063416150000004,0.427391075
crp__delar1ar2_glyc__2,2.8055245264,-0.043012054,0.39263840650000004,0.49290713500000005
crp__delar1ar2_glyc__3,3.2027440574,-0.032757637,0.3384137365,0.45579148500000005
crp__delar2_glyc__1,3.3228960175,0.41684843200000005,0.23901305750000001,1.075854265
crp__delar2_glyc__2,2.6251325178,0.374419068,0.3881425055,0.8624663450000001
crp__delar2_glyc__3,1.7954213955,0.04753602,0.5417163865,0.782298315
crp__delcrp_fru__1,4.8150471307,-0.206410426,0.48734105450000004,0.7741806250000001
crp__delcrp_fru__2,5.0112169486,0.081900522,0.6076043145000001,0.780515025
crp__delcrp_fru__3,4.5073068848,0.065302442,0.4631423375,0.668204965
crp__delcrp_glc__1,4.4820245906,-0.076508639,0.6373608285,0.9036337950000001
crp__delcrp_glc__2,4.0516617216,-0.10487528800000001,0.6669930295000001,0.880205215
crp__delcrp_glc__3,4.4339746777,0.246519864,0.5979555295,0.9120195050000001
crp__delcrp_glyc__1,3.6559263968,-0.10534249700000001,0.4546922765,0.895131325
crp__delcrp_glyc__2,3.8878317158,-0.35140571,0.47694144850000003,0.8307353350000001
crp__delcrp_glyc__3,3.9712795018,0.07336704200000001,0.4892179915,0.894754805
