,yraQ
Cr_1,0.0012718795132870648
Cr_2,0.00440518590883967
Cr_3,0.009403122011776632
Cr_4,0.013055883970112134
Cr_5,0.01725737606800856
Cr_6,0.01770360788275888
Fe_1,-0.01156510506892997
Fe_2,-0.003278485555955425
Fe_3,0.003221441959997381
Fe_4,0.008122271977885327
Fe_5,0.014335127455825271
Fe_6,0.02769298317665937
Cd_1,0.003548636898010701
Cd_2,0.00790364302437754
Cd_3,0.010815703884655336
Cd_4,0.013145523642261445
Cd_5,0.00940197852242184
Cd_6,0.011175193187187944
Zn_1,0.0009793646707697203
Zn_2,0.003864656283724961
Zn_3,0.010325818578551816
Zn_4,0.011215768730588271
Zn_5,0.016827932613917497
Zn_6,0.019842560387598497
Cu_1,0.004576266788521819
Cu_2,0.006268024216827629
Cu_3,0.011994368696750976
Cu_4,0.018233535053216732
Cu_5,0.01900984309140893
Cu_6,0.026184678294085332
Pb_1,0.00023246571311417695
Pb_2,0.004108404211621872
Pb_3,0.009606909506881759
Pb_4,0.006379198482884495
Pb_5,0.014668448365965444
Pb_6,0.021474529699789583
