,menF
Cr_1,-0.010709956189391402
Cr_2,-0.013933807434019166
Cr_3,-0.011112903510904536
Cr_4,-0.012926936914553957
Cr_5,-0.017849725609380182
Cr_6,-0.025837321594755068
Fe_1,-0.00871449481499259
Fe_2,0.017102305394412227
Fe_3,0.0669552584442114
Fe_4,0.12488478297609433
Fe_5,0.1738768086695709
Fe_6,0.2259368164018428
Cd_1,0.00347648039853824
Cd_2,0.020661944961331075
Cd_3,0.040723521392343684
Cd_4,0.06869440393125885
Cd_5,0.059169131428637965
Cd_6,0.07794966822158356
Zn_1,-0.008549370244896777
Zn_2,-0.011786209491182543
Zn_3,0.008190041740133118
Zn_4,0.01742695642014735
Zn_5,0.017972592127321687
Zn_6,0.0082316112428142
Cu_1,0.006615581423765445
Cu_2,0.012541601330860278
Cu_3,0.022940996234561167
Cu_4,0.032124722817075554
Cu_5,0.023966798571808112
Cu_6,0.029510049848719418
Pb_1,0.010561130311366192
Pb_2,0.023470887344837127
Pb_3,0.030092214402803723
Pb_4,0.04385315371081306
Pb_5,0.055390212905978516
Pb_6,0.07444935289749229
