,ygjR
Cr_1,0.002469331602382485
Cr_2,0.005609406276664743
Cr_3,0.011030747352529988
Cr_4,0.015596787045084047
Cr_5,0.020392218187784986
Cr_6,0.022986088280659
Fe_1,-0.0033382747778295057
Fe_2,-0.009514611202243752
Fe_3,-0.01506073268478778
Fe_4,-0.028009077067745858
Fe_5,-0.02935959302604276
Fe_6,-0.030929941460249917
Cd_1,0.0047579770068974115
Cd_2,0.011255819578341302
Cd_3,0.017289436274794116
Cd_4,0.02424583999299758
Cd_5,0.02791581574524456
Cd_6,0.0361575226769074
Zn_1,0.0028502762066575874
Zn_2,0.011541806296482991
Zn_3,0.025934369645345186
Zn_4,0.04080861564960616
Zn_5,0.05408582996140885
Zn_6,0.06051227178508025
Cu_1,0.008820742285436894
Cu_2,0.007736968425886677
Cu_3,0.01304258957651448
Cu_4,0.032987193602074395
Cu_5,0.034987635627520115
Cu_6,0.0375177807796215
Pb_1,0.00034445871927393155
Pb_2,0.0014132814552958535
Pb_3,0.00276469420142762
Pb_4,0.005059711381808555
Pb_5,0.007945704473674483
Pb_6,0.01236979798729495
