,BSU21640
M9exp_1,10.9581
M9exp_2,10.546
M9exp_3,10.3583
M9tran_1,10.336
M9tran_2,10.1967
M9tran_3,10.5579
M9stat_1,9.556
M9stat_2,9.5893
M9stat_3,9.2927
MG-0.1_1,10.5542
MG-0.1_2,9.5301
MG-0.1_3,10.7193
MG-0.2_2,9.9563
MG-0.2_3,10.4189
MG+5_1,10.5564
MG+5_2,10.1734
MG+5_3,10.3501
MG+10_1,10.6778
MG+10_2,10.3043
MG+10_3,9.5339
MG+15_1,10.116
MG+15_2,11.3969
MG+15_3,10.5488
MG+25_1,10.3797
MG+25_2,10.2686
MG+25_3,10.6379
MG+45_1,10.3753
MG+45_2,9.3894
MG+45_3,10.5601
MG+60_2,9.7162
MG+60_3,9.832
MG+90_2,9.5858
MG+90_3,10.4418
MG+120_1,9.4271
MG+120_2,10.4845
MG+120_3,10.4398
MG+150_1,10.3966
MG+150_3,10.5408
GM-0.1_1,10.5035
GM-0.1_2,10.6721
GM-0.1_3,10.9408
GM-0.2_1,10.2702
GM-0.2_2,11.2505
GM-0.2_3,10.755
GM+5_1,10.2205
GM+5_2,10.2819
GM+5_3,10.5449
GM+10_2,10.2819
GM+10_3,9.3293
GM+15_1,10.6432
GM+15_2,10.359000000000002
GM+15_3,10.5345
GM+25_1,10.7539
GM+25_2,10.6853
GM+25_3,10.1014
GM+45_1,10.7991
GM+45_2,9.4013
GM+45_3,9.756
GM+60_1,10.4671
GM+60_2,9.5515
GM+60_3,9.5591
GM+90_1,10.7014
GM+90_2,10.5448
GM+90_3,10.6135
GM+120_1,9.5295
GM+120_3,10.3413
GM+150_1,10.1925
GM+150_2,9.4629
GM+150_3,10.3573
BT_1,8.6604
BT_2,8.4353
B36_1,9.2079
B36_2,9.1175
B60_1,9.8644
B60_2,10.7916
S0_1,9.8306
S0_2,9.7196
S0_3,9.6357
S1_1,11.1144
S1_2,10.9412
S1_3,11.1211
S2_1,10.5476
S2_2,9.8562
S2_3,9.5939
S3_1,10.1782
S3_2,10.3604
S4_1,10.3765
S4_2,9.604
S4_3,9.4744
S5_1,9.6656
S5_2,9.7073
S5_3,9.9936
S6_1,8.5463
S6_2,7.3785
S6_3,8.8449
S6/t_1,8.4876
S6/t_2,7.4912
S6_4,8.5215
S6_5,8.9381
S6_6,8.8877
S7_4,9.4532
S7_5,9.4177
S7_6,9.8992
S8_4,8.9634
S8_5,9.5254
G135_1,9.3031
G135_3,8.1864
G150_1,9.1654
G150_2,9.738
G150_3,9.3441
G180_1,9.5501
G180_2,9.6791
G180_3,8.8895
T-5.40H_1,11.3113
T-4.40H_1,10.7688
T-3.40H_1,10.7238
T-2.40H_1,10.4424
T-1.40H_1,10.2455
T-1.10H_1,10.2841
T-0.40H_1,10.1056
T0.0H_1,9.9367
T0.30H_1,9.8241
T1.0H_1,10.1109
T1.30H_1,10.1999
T2.0H_1,10.2218
T2.30H_1,11.0209
T3.0H_1,10.5609
T3.30H_1,10.8816
T4.0H_1,10.6453
T5.0H_1,9.7828
