,-0.17437860468445288,-0.1475511270406909,-0.12072364939692892,-0.09389617175316695,-0.06706869410940497,-0.04024121646564299,-0.013413738821881016,0.01341373882188096,0.04024121646564294,0.06706869410940491,0.09389617175316689,0.12072364939692887,0.14755112704069084,0.17437860468445282,0.2012060823282148,0.22803355997197677,0.25486103761573875,0.2816885152595007,0.3085159929032627,0.3353434705470246
thresh,-0.10730991057504792,0.10730991057504792,2,,,,,,,,,,,,,,,,,
unreg,1,1,2,3,6,52,1964,1764,78,5,3,2,0,0,0,1,0,1,0,0
marR,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
unreg_genes,['pagC'],['nmpC'],['slyA' 'ugtL'],[],[],[],[],[],[],[],[],['ydhJ' 'ydhI'],[],[],[],['STM3362'],[],['yhcN'],[],[]
marR_genes,[],[],[],[],[],[],[],[],[],[],[],[],['marB'],['marA' 'marR'],[],[],[],[],[],[]
