,rpsU
Cr_1,-0.0153961727522607
Cr_2,-0.029273582521677163
Cr_3,-0.03869237685052584
Cr_4,-0.04845682235935729
Cr_5,-0.04840774195193846
Cr_6,-0.05235379474604514
Fe_1,-0.0037229339704345954
Fe_2,-6.495264583826829e-05
Fe_3,0.01899180208721795
Fe_4,0.01872728914983952
Fe_5,0.02371586600536455
Fe_6,0.027069518260840985
Cd_1,0.0016823862943582508
Cd_2,-0.0007236609495951493
Cd_3,-0.0057509454458037675
Cd_4,-0.003620134069205069
Cd_5,-0.015782036347510846
Cd_6,-0.023834530035152783
Zn_1,-0.08817838179100149
Zn_2,-0.13857524069403734
Zn_3,-0.17676705719051014
Zn_4,-0.21417306228331656
Zn_5,-0.2451724563937185
Zn_6,-0.2738475184908853
Cu_1,0.006955016196365839
Cu_2,0.017695728611994855
Cu_3,0.029294385800162918
Cu_4,0.04686292201100295
Cu_5,0.059890924627771125
Cu_6,0.06574577794897953
Pb_1,-0.016310584144099284
Pb_2,-0.021958959810179902
Pb_3,-0.021369716011449914
Pb_4,-0.01884056927313071
Pb_5,-0.012009014696252384
Pb_6,0.0003085350627417424
