,PSPTO_RS18225
SRX1828913,0.1412337223
SRX1828914,0.2246445723
SRX1828915,-0.27391250640000003
SRX1828916,-1.0968953064
SRX1828917,0.1326787841
SRX1828918,-1.0160073236
SRX3983989,1.3126199514999999
SRX3983990,0.17841125160000001
SRX3983993,-0.4012521564
SRX3983994,-0.2666473234
SRX3983995,0.3552007052
SRX3983996,-1.2357233123
SRX3983997,-1.2736101069
SRX3983998,-0.024947793200000002
SRX3983999,0.6533526734
SRX3984000,0.7641987798000001
SRX3984001,-0.6133034686000001
SRX3984002,-1.027798712
SRX3984003,-1.0341554441
SRX3984004,-0.42511175100000004
SRX3984005,0.8213616337
SRX3984006,-0.5022637611
SRX3984007,0.0404628967
SRX3984008,0.4022794497
SRX3984009,0.8256190129000001
SRX3984010,-0.6760058600000001
SRX3984011,-1.2689737918000001
SRX3984012,-0.7637470561
SRX3984013,-0.3963488271
SRX3984014,0.3646923138
SRX3984015,-0.5741640605
SRX3984016,0.3994585765
SRX3984017,-0.8010285140000001
SRX3984019,-0.022817847800000002
SRX3984020,-0.5941027882000001
SRX3984021,-0.6994351187000001
SRX3984022,-0.9208813126000001
SRX3984023,0.9382714899000001
SRX3984024,0.0447144047
SRX3984025,0.24264446450000002
SRX3984026,-2.1157594221
SRX3984027,0.0222242073
SRX3984028,0.4157781245
SRX3984029,1.2272117585
SRX3984031,0.11884954600000001
SRX3984032,-1.2844677193
SRX3984034,0.1903138697
SRX3984035,-0.6059729194
SRX3984036,-1.1957039324
SRX3984037,-2.1157594221
SRX3984038,0.7699211063
SRX3984039,-0.48154814960000003
SRX3984040,0.8289705168
SRX3984041,-0.6992739501
SRX3984042,0.1166221483
SRX3984043,-0.8421668793
SRX3984045,0.5778659575
SRX3984046,0.2425904485
SRX3984047,-0.2790807194
SRX3984048,-0.7134436253
SRX3984049,-0.1436077745
SRX3984050,-0.6325903526000001
SRX3984051,-0.8106016612
SRX3984052,0.1778241636
SRX3984056,-0.8297581507
SRX3984057,-0.7586977923
SRX3984058,-0.20735900640000002
SRX3984059,0.1590842933
SRX3984061,0.1933080277
SRX3984062,0.24634700750000002
SRX3984063,-0.0253001454
SRX3984064,0.8034798748
SRX3984065,0.3134132664
SRX3984066,-0.1747117855
SRX3984067,-0.1621559307
SRX3984068,-0.2556563489
SRX3984069,-0.3320589861
SRX3984070,-1.4836706581
SRX3984071,0.0217196557
SRX3984073,0.8780777391
SRX3984074,0.5475718896
SRX3984077,0.5163800358
SRX3984078,0.7225828487
SRX3984079,0.3897332479
SRX3984080,-1.371175808
SRX3984082,-0.7005351209
SRX3984084,0.24581746170000002
