,yicC
Cr_1,-0.0058673492606371065
Cr_2,-0.02060751060957546
Cr_3,-0.024495461032152163
Cr_4,-0.015727700465335462
Cr_5,-0.010151785181223907
Cr_6,-0.0050622836337128035
Fe_1,-0.007107342372454708
Fe_2,-0.015311659486216109
Fe_3,-0.025276432082086242
Fe_4,-0.03298512928791557
Fe_5,-0.03053745221490138
Fe_6,-0.025218317506639037
Cd_1,-0.0015668347917412715
Cd_2,0.0021341762272332715
Cd_3,0.003487676323099891
Cd_4,0.0027498237729684264
Cd_5,0.025270425775712587
Cd_6,0.031187317733999492
Zn_1,-0.021090679734506856
Zn_2,-0.008567987475706093
Zn_3,0.041458990992173886
Zn_4,0.06947953789739557
Zn_5,0.09032615007587452
Zn_6,0.12091128776157405
Cu_1,0.0016372960437233386
Cu_2,0.004485834255813631
Cu_3,0.0063884636381347434
Cu_4,0.010425678064180991
Cu_5,0.01368077593198025
Cu_6,0.01690184236191998
Pb_1,0.00801280955995647
Pb_2,0.011133497514608258
Pb_3,0.015219613832343912
Pb_4,0.02444016869746469
Pb_5,0.028062274227286715
Pb_6,0.035909319623888
