,A,YgbI
R2,,0.597144690932417
xmin,,-2.8972589495000003
xmid,,1.1908555730473456
xmax,,3.9044118795
ystart,,0.7281951067895704
yend,,25.001860878159054
control__wt_glc__1,-0.00969226,0.0785546325
control__wt_glc__2,0.00969226,-0.0785546325
fur__wt_dpd__1,0.3727021935,0.0272103785
fur__wt_dpd__2,0.742053991,-0.1230322115
fur__wt_fe__1,0.0199265544,-0.5645261045000001
fur__wt_fe__2,-0.1077616386,-0.9664712925000001
fur__delfur_dpd__1,0.5278780463,0.0272601625
fur__delfur_dpd__2,0.23208009500000001,-0.0659990245
fur__delfur_fe2__1,0.3582687202,-0.4767812315
fur__delfur_fe2__2,-0.1566615683,-0.35061745850000003
acid__wt_ph5__1,0.6383568145,-0.09835916950000001
acid__wt_ph5__2,0.6856430989,-0.3421549515
acid__delgadx_ph5__2,0.1345014656,-0.21954871050000002
acid__delgadw_ph5__1,0.38434677910000004,-0.2765927755
acid__delgadw_ph5__2,0.4317399134,-0.3723729665
acid__delgade_ph5__1,0.6057914990000001,0.0146592505
acid__delgade_ph5__2,0.3673003837,-0.0960195445
oxidative__wt_pq__1,1.4682403234999999,-0.1395426585
oxidative__wt_pq__2,1.5822538449999999,-0.21278452050000002
oxidative__deloxyr_pq__1,0.9737629747000001,-0.061520157500000006
oxidative__deloxyr_pq__2,1.1309277135,-0.28156834950000004
oxidative__delsoxr_pq__1,1.5589592787000002,-0.5097612965
oxidative__delsoxr_pq__2,1.4944791033,-0.33941231850000003
oxidative__delsoxs_pq__1,1.401906993,-0.0298011215
oxidative__delsoxs_pq__2,1.5334161802000001,-0.3629459425
nac_ntrc__wt_csn__1,0.1263439482,0.2524186345
nac_ntrc__wt_csn__2,-0.4534879134,0.25209789450000003
nac_ntrc__wt_cytd__1,-0.4667643443,-0.4092629535
nac_ntrc__wt_cytd__2,-0.42026137560000004,-0.3336312925
nac_ntrc__wt_gln__1,0.048036170100000004,-0.0094309705
nac_ntrc__wt_gln__2,0.1682288963,-0.08377764950000001
nac_ntrc__bw_delnac_csn__1,0.6427782783,0.6560345075
nac_ntrc__bw_delnac_csn__2,0.6179179263,0.7540858505
nac_ntrc__bw_delnac_cytd__1,0.1357964515,0.0139186605
nac_ntrc__bw_delnac_cytd__2,-0.3458594601,0.0637010475
nac_ntrc__bw_delnac_gln__1,-0.2765208473,-0.0217182145
nac_ntrc__bw_delnac_gln__2,0.18871824650000002,0.0637045785
nac_ntrc__bw_delnac_nh4__1,0.7381634195,-0.2476270455
nac_ntrc__bw_delnac_nh4__2,0.7682737943,-0.2196919785
misc__wt_no_te__1,0.7879174865,-0.2333086655
misc__wt_no_te__2,0.3338363185,-0.4699815115
misc__bw_delcbl__1,0.6058626409,-0.3098771175
misc__bw_delcbl__2,0.20277002930000002,-0.4283447375
misc__bw_delfabr__1,0.1504305429,-0.23375132850000002
misc__bw_delfabr__2,0.24616304890000001,-0.16033173950000001
misc__bw_delfadr__1,0.8606976717,-0.3722961785
misc__bw_delfadr__2,0.1788546258,-0.42271290250000004
misc__nitr_031__1,0.6430123243,-0.3893421885
omics__wt_glu__1,0.2698167616,-0.7429914225
omics__wt_glu__2,-0.4271180368,-0.8214519235000001
omics__wt_gly__1,0.15950792900000002,-0.6929117935
omics__wt_gly__2,0.19587479570000002,-0.6424187295
omics__wt_thr__1,2.7494195842,-0.2137108165
omics__wt_thr__2,1.9986993335,-0.5034068965
omics__bw_ac__1,3.2212818065,0.6123079965
omics__bw_ac__2,3.0228150898,0.6842576515000001
omics__bw_fum__1,1.8597458988,0.5016255285
omics__bw_fum__2,1.7132893686,0.5970307745
omics__bw_glc__1,0.5035469840000001,0.3367803125
omics__bw_glc__2,0.4233809114,0.5554821975
omics__bw_pyr__1,1.7163836552,1.1604495035
omics__bw_pyr__2,1.4748704199,0.8111097955000001
ompr__wt_nacl__1,0.9996929204,-0.7997401875
ompr__wt_nacl__2,1.4698547925,-0.8908497905
ompr__bw_delompr_nacl__1,0.6021791064,-0.8829798965000001
ompr__bw_delompr_nacl__2,1.1436935508000001,-0.8205827315
minspan__wt_ade__1,0.2103722593,-0.49694595550000004
minspan__wt_glc__2,0.5706595167,-0.4928822075
minspan__wt_glc__3,0.3555705156,-0.5362858285000001
minspan__wt_glc__4,0.35418631310000004,-0.49010045550000003
minspan__wt_glc_anaero__1,-0.2174475169,-1.2272224065
minspan__wt_glc_anaero__2,-0.8736882684,-0.1317914145
minspan__wt_trp__1,0.2373680112,-0.4915949375
minspan__bw_delcra_glc__2,0.33742262510000004,-0.2269722895
minspan__bw_delcra_trp__1,1.1364345754,-0.7542912975
minspan__bw_delmntr__1,1.0831723814,-0.3081818525
minspan__bw_delnac_ade__1,0.13620948530000002,-0.1441208965
minspan__bw_delnac_glc__1,-0.264725186,-0.1993390985
cra_crp__wt_ac__1,1.6863410936,-0.6232816895000001
cra_crp__wt_ac__2,1.993283428,-0.5531507145
cra_crp__wt_fru__1,-0.038175284600000005,-0.8436350565
cra_crp__wt_fru__2,0.43348972020000004,-0.8335763375
cra_crp__delcra_ac__1,2.5904571113,0.5572290625
cra_crp__delcra_ac__2,2.4899234614,0.6944068525
cra_crp__delcra_fru__1,0.14290806820000002,-0.1345925845
cra_crp__delcra_fru__2,-0.18304261330000002,-0.2003226095
cra_crp__delcra_glc__1,0.3821883169,-0.34369159050000003
cra_crp__delcra_glc__2,-0.0738133857,-0.20435833450000002
rpoB__wt_031__1,-0.0925261492,0.1369638465
rpoB__wt_044__1,0.49174179440000004,-0.3090458405
rpoB__wt_lb__1,3.6342632139,-0.0194986665
rpoB__wt_lb__2,3.5267246734,-0.3257727425
rpoB__rpoBE546V_031__1,0.9950797599000001,0.1534012995
rpoB__rpoBE546V_044__1,0.33074328810000003,-0.5004681725
rpoB__rpoBE546V_lb__1,5.1325772232,-0.1756688365
