,A,RbsR,Crp
R2,,0.6436544884706424,0.009014690707767947
xmin,,-4.066171731500002,-9.852476477
xmid,,,
xmax,,5.645393448499997,1.6003325529999994
ystart,,-11.165569211942522,-2.380666118779783
yend,,16.78084228078997,1.4922089746892895
control__wt_glc__1,-0.5238689144480287,-0.052521581500000636,0.012478645999999928
control__wt_glc__2,0.5238689144480343,0.05252158149999975,-0.012478645999999928
fur__wt_dpd__1,-4.071331737821073,-0.5079648775000011,0.07757413100000042
fur__wt_dpd__2,-4.607320449777223,-0.3799357065000009,-0.0906821709999992
fur__wt_fe__1,0.5330710958186031,-0.17056264250000064,-0.030513672999999738
fur__wt_fe__2,-0.0712426344987964,-0.12278628950000092,0.0581907200000007
fur__delfur_dpd__1,-3.340254169318109,-0.7500504395000007,-0.10598198399999957
fur__delfur_dpd__2,-3.0342451724028376,-0.8699354245000008,-0.22346684100000047
fur__delfur_fe2__1,0.2589998239707932,0.08119369249999941,0.4364299129999996
fur__delfur_fe2__2,0.0074696065494703,-0.010543283500000557,0.36756339300000107
acid__wt_ph5__1,-0.2460837652344663,-0.516174635500001,0.3455225730000002
acid__wt_ph5__2,-0.0526340480348109,-0.20777950050000094,0.34313646300000045
acid__delgadx_ph5__2,-0.1788765967160158,-0.09354087650000098,0.3393877130000007
acid__delgadw_ph5__1,0.6677590900147667,-0.06285322750000066,0.3838637929999997
acid__delgadw_ph5__2,0.0018893753192592,0.030995102499998595,0.3398617829999999
acid__delgade_ph5__1,-0.4462836767248421,-0.12151191450000097,0.432408723
acid__delgade_ph5__2,-0.1723275498887612,-0.24065121750000085,0.4824361929999999
oxidative__wt_pq__1,-3.455256920329892,-0.7498062275000006,0.17662370300000066
oxidative__wt_pq__2,-4.291294649074209,-0.4893689715000007,0.24038529300000103
oxidative__deloxyr_pq__1,-3.5390946132259007,-0.0009036125000010387,0.5131550130000004
oxidative__deloxyr_pq__2,-3.526105207292585,-0.1119095875000009,0.5363373029999998
oxidative__delsoxr_pq__1,-4.116766021034263,-0.9303969355000006,0.3346725330000009
oxidative__delsoxr_pq__2,-4.013011975832278,-0.6926991525000008,0.3870598730000001
oxidative__delsoxs_pq__1,-4.181071991811171,-0.44051836150000057,0.5134629630000003
