,-0.11329238409314649,-0.08811629873911393,-0.06294021338508138,-0.037764128031048824,-0.01258804267701627,0.01258804267701627,0.03776412803104884,0.0629402133850814,0.08811629873911395,0.11329238409314649,0.13846846944717903,0.16364455480121162,0.18882064015524416,0.2139967255092767,0.2391728108633093,0.2643488962173418,0.2895249815713744,0.3147010669254069,0.3398771522794395,0.3650532376334721
thresh,-0.12588042677016276,0.12588042677016276,6,,,,,,,,,,,,,,,,,
unreg,0,1,5,64,1914,1637,81,3,0,0,0,0,0,0,0,0,0,0,0,0
RbsR,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp,0,0,0,12,245,250,25,3,1,0,0,0,0,0,0,0,0,0,0,0
dsrA,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp and dsrA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RbsR, Crp, and dsrA",0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
RbsR_genes,[],[],[],[],['purH'],['dcd' 'purD' 'udk'],['add'],[],[],[],[],[],[],[],[],[],[],[],[],[]
Crp_genes,[],[],[],"['pdhR' 'galP' 'ptsH' 'glpQ' 'melA' 'exuT' 'glpT' 'ygeA' 'hofO' 'lamB'
 'csiE' 'galS']","['prpB' 'fbaA' 'srlE' 'yfaE' 'dsdA' 'rhaD' 'ppdD' 'galT' 'manZ' 'paaF'
 'uidC' 'chiP' 'psuG' 'chbF' 'galK' 'crr' 'pgk' 'nanT' 'pck' 'srlD' 'dadX'
 'oxyR' 'ompR' 'ansB' 'fucU' 'ychH' 'caiA' 'fepA' 'cyaA' 'paaD' 'fucK'
 'gadB' 'epd' 'yahN' 'gadX' 'cstA' 'comR' 'gltA' 'serC' 'uxaC' 'manY'
 'melB' 'galM' 'aroA' 'gapA' 'lacY' 'nirD' 'glpC' 'ldtB' 'nanM' 'fucA'
 'pflB' 'ulaF' 'argG' 'aceE' 'galE' 'malM' 'paaH' 'gntU' 'aegA' 'psiE'
 'chbG' 'nirC' 'yaeQ' 'glgS' 'rpsF' 'nanS' 'zraS' 'aaeA' 'csgD' 'yhcH'
 'psuK' 'mhpC' 'hofB' 'gadC' 'focB' 'abgR' 'cirA' 'ugpA' 'dcuB' 'umpH'
 'hflC' 'lpd' 'gcd' 'yiaK' 'gatD' 'ygeW' 'paaZ' 'rhaT' 'dksA' 'mdh' 'ugpQ'
 'dadA' 'aaeX' 'rof' 'ulaD' 'tdcA' 'casA' 'hofC' 'rpoH' 'glpE' 'tdcB'
 'osmY' 'yeiW' 'priB' 'zraR' 'fucP' 'yiaL' 'yjcH' 'mazE' 'chbC' 'casC'
 'ugpC' 'gntK' 'nanC' 'ascF' 'ugpB' 'araE' 'fumC' 'lsrA' 'prpC' 'fiu'
 'uidB' 'pncB' 'xylA' 'aaeR' 'ygcW' 'marR' 'ascB' 'fucI' 'nanK' 'nirB'
 'aaeB' 'caiB' 'nrdA' 'rplI' 'mpl' 'ampE' 'hflK' 'xylF' 'sucD' 'manX'
 'fecE' 'ompA' 'yaeP' 'nrdB' 'xseA' 'acnB' 'yhgH' 'nfuA' 'caiT' 'hyfJ'
 'fecB' 'cdd' 'preT' 'chiQ' 'srlB' 'cpdB' 'mazF' 'paaG' 'malX' 'araF'
 'lsrD' 'fucR' 'sfsA' 'metK' 'manA' 'mtlR' 'gabD' 'entB' 'prpD' 'lgoR'
 'focA' 'cyoB' 'malY' 'serA' 'entC' 'ycdZ' 'cytR' 'tam' 'bhsA' 'fixA'
 'sucC' 'gadA' 'cysG' 'agp' 'ugpE' 'chbR' 'hicA' 'sgbU' 'mokB' 'csgF'
 'xylE' 'paaC' 'actP' 'paaE' 'dpiA' 'cyoC' 'ybiT' 'rseA' 'fumB' 'glgA'
 'plaR' 'araJ' 'cas2' 'yjhG' 'rseC' 'hyfC' 'caiE' 'ampD' 'xylB' 'citG'
 'srlA' 'cyoA' 'fecA' 'caiD' 'lacA' 'hyfG' 'mlc' 'citX' 'sodA' 'gcvH'
 'dpiB' 'fecD' 'mhpB' 'yeiP' 'rseB' 'entH' 'nanA' 'fumA' 'narQ' 'tdcC'
 'lyxK' 'csgE' 'citE' 'nlpE' 'rpsR' 'gltD' 'sucB' 'rpoE' 'puuC' 'xylR'
 'sgcB' 'entA' 'gcvP']","['sdhB' 'nadC' 'entD' 'hupA' 'acnA' 'glpF' 'ortT' 'sgbE' 'uidA' 'agaV'
 'sbmC' 'relA' 'rpsI' 'cas1' 'ompF' 'sdhD' 'hofM' 'lgoD' 'lsrK' 'cyoD'
 'uxuR' 'gcvT' 'nupC' 'glpX' 'lsrC' 'yjhH' 'citF' 'uxaA' 'hofP' 'sgcE'
 'nagC' 'caiC' 'rspA' 'glnA' 'hyfE' 'raiA' 'yiaN' 'uxuB' 'chbB' 'glgC'
 'bglG' 'cas3' 'gutQ' 'crp' 'patZ' 'idnD' 'nagE' 'sgcX' 'tnaA' 'arfB'
 'prpE' 'mglC' 'ynfK' 'hicB' 'csgG' 'aceF' 'fur' 'hflX' 'sucA' 'glpG'
 'agaW' 'preA' 'ulaC' 'ubiG' 'idnR' 'dsdX' 'lsrG' 'gltB' 'fucO' 'bglF'
 'sgbH' 'idnT' 'mhpE' 'rmf' 'dgoD' 'speC' 'proP' 'glpR' 'hpt' 'aspA'
 'glpD' 'gntP' 'mtlD' 'gutM' 'glgP' 'tdcF' 'hyfR' 'hyfB' 'idnK' 'rhaA'
 'mglB' 'sohB' 'rplM' 'lsrB' 'gatC' 'fadL' 'rpsO' 'grpE' 'dusB' 'ilvN'
 'mdtE' 'lhgO' 'xylG' 'entE' 'ebgA' 'nanE' 'kbaZ' 'hyfA' 'mhpA' 'mhpR'
 'puuB' 'malE' 'uxaB' 'ilvB' 'udp' 'idnO' 'tdcE' 'csqR' 'sdhC' 'fis'
 'sgcC' 'tdcD' 'sgcR' 'paaB' 'paaA' 'gatA' 'xylH' 'hofN' 'lsrF' 'modB'
 'feaB' 'puuD' 'guaB' 'mglA' 'paaK' 'deoB' 'glcC' 'citC' 'ompW' 'deoD'
 'fixB' 'yjhI' 'modA' 'rhaS' 'cyoE' 'gabT' 'malS' 'gadE' 'hlyE' 'araH'
 'glpA' 'hyfD' 'bglB' 'puuR' 'paaI' 'casE' 'chbA' 'hyfH' 'hfq' 'malI'
 'sgcQ' 'dgoT' 'glpK' 'rseD' 'fecC' 'modC' 'ykgR' 'guaA' 'nagB' 'envZ'
 'mdtF' 'casD' 'lacZ' 'ulaE' 'secB' 'yhfA' 'glpB' 'nagA' 'lsrR' 'gntT'
 'mtlA' 'pnp' 'gpsA' 'fixX' 'malG' 'dcuA' 'gdhA' 'fadD' 'agaA' 'paaJ'
 'srlR' 'ntrC' 'malF' 'puuE' 'exuR' 'glnL' 'rbfA' 'gatB' 'cspD' 'acs'
 'araC' 'sdhA' 'casB' 'ulaB' 'rimP' 'btsT' 'gyrA' 'nusA' 'hyfI' 'mhpF'
 'araD' 'dgoR' 'yiaM' 'csiD' 'gatZ' 'uxuA' 'cspE' 'dcuR' 'trxA' 'dgoK'
 'sgcA' 'gltF' 'rihA' 'fixC' 'rhaB' 'hyfF' 'ptsG' 'truB' 'yiaO' 'feaR'
 'prpR' 'tnaB' 'yqeF' 'melR' 'hupB' 'aldA' 'gabP' 'mhpD' 'rspB' 'tdcG'
 'rhaR' 'infB' 'ulaA' 'treC' 'lacI' 'malT' 'marB' 'caiF' 'marA' 'treB']","['malK' 'aldB' 'sodB' 'dgoA' 'murQ' 'araG' 'tsx' 'murP' 'araA' 'ebgC'
 'aceA' 'gatY' 'aer' 'araB' 'nupG' 'ppiA' 'aceK' 'flhC' 'putP' 'deoA'
 'flhD' 'dctA' 'trg' 'aceB' 'grcA']",['deoC' 'fadH' 'ptsI'],['uhpT'],[],[],[],[],[],[],[],[],[],[],[]
