,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A,rep19_idx,rep19_A,rep20_idx,rep20_A,rep21_idx,rep21_A
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,0.0,0.6151592138957115,3.0,0.0,-0.5116655099,1.0,-0.17086346360000002,2.0,0.6825289735000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,9.3618181012,2.9511821029136804,3.0,3.0,11.3213170239,4.0,10.7965559112,5.0,5.9675813685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,11.243645077466667,0.46513760188130576,3.0,6.0,11.0966460035,7.0,10.8697673208,8.0,11.7645219081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,4.761841714590836e-12,2.8561871614650824,21.0,9.0,-2.09533941,10.0,-2.1114228892,11.0,-3.6239941599,12.0,2.344747919,13.0,2.256864735,14.0,-0.047522656600000004,15.0,2.4339891966,16.0,-0.012487388700000001,17.0,-2.585392227,18.0,7.2181972933,19.0,3.1231077832,20.0,2.889912825,21.0,1.8574024385999999,22.0,0.615760811,23.0,2.0217540416,24.0,-0.5545123765000001,25.0,-3.4132081479,26.0,-2.5030386474,27.0,-1.9549425982000002,28.0,-3.4929853412,29.0,-2.3668912006
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,13.155398149214285,3.7031531051924236,21.0,30.0,9.4128911046,31.0,8.5348248165,32.0,8.4662199974,33.0,16.4821150024,34.0,13.3588427529,35.0,18.1188294958,36.0,13.624957065,37.0,14.8817986078,38.0,15.996837957,39.0,15.8341663244,40.0,14.0677231533,41.0,17.085521029,42.0,16.4015475765,43.0,18.2983883644,44.0,18.4550485812,45.0,9.9039692225,46.0,10.5718193224,47.0,9.653617574,48.0,9.3806641099,49.0,8.2212712856,50.0,9.5123077909
5,WT_vs_Del_ccpA__THY_None_WT_exponential,-9.25185853854297e-18,0.3638360890599346,3.0,51.0,-0.41992221890000003,52.0,0.2211725883,53.0,0.1987496306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,18.050571595599997,0.5147201501848094,4.0,54.0,18.5644692738,55.0,18.0199965074,56.0,18.2633244709,57.0,17.3544961303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,0.0,0.750121949086506,4.0,58.0,-0.2341428946,59.0,-0.3971286828,60.0,-0.4831954912,61.0,1.1144670686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,4.2784494646,0.5545644194599948,4.0,62.0,4.0816375842,63.0,3.6747175558,64.0,4.3633146592,65.0,4.9941280592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,2.287926361425,0.7630682169824111,4.0,66.0,1.6810125886,67.0,1.5775101132,68.0,3.0018387508,69.0,2.8913439931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
