,A,MalR2
R2,,0.30800710949739274
xmin,,-1.8580681881
xmid,,
xmax,,1.1250036037
ystart,,14.398795558744716
yend,,-2.816107648689145
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:1.0,-0.5116655099,-0.0116143772
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:2.0,-0.17086346360000002,-0.1667542079
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:3.0,0.6825289735000001,0.1783685851
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:1.0,11.3213170239,-0.5763120194
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:2.0,10.7965559112,-0.8770426214
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:3.0,5.9675813685,-0.3024145979
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:1.0,11.0966460035,-1.0123979919
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:2.0,10.8697673208,-0.9318235683
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:3.0,11.7645219081,-0.9251617104000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:1.0,-2.09533941,0.5578809640000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:2.0,-2.1114228892,0.1236447975
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:3.0,-3.6239941599,-0.262585942
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:4.0,2.344747919,0.0977431463
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:5.0,2.256864735,0.1745805393
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:6.0,-0.047522656600000004,-0.4118840945
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:7.0,2.4339891966,-0.1144539789
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:8.0,-0.012487388700000001,-0.36154384910000004
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:9.0,-2.585392227,-0.6858590011
