,ybfG
Cr_1,0.003678111422537281
Cr_2,0.01014647506027536
Cr_3,0.015498198095493434
Cr_4,0.020079547333658368
Cr_5,0.025554408153532833
Cr_6,0.02484169115011113
Fe_1,-0.01214948063983368
Fe_2,-0.030628099097519918
Fe_3,-0.04840568905402371
Fe_4,-0.06820315765366362
Fe_5,-0.08343602455967755
Fe_6,-0.09060977329817796
Cd_1,0.0026143456083348032
Cd_2,0.0065294166860458075
Cd_3,0.011046536610258022
Cd_4,0.016168385151050166
Cd_5,0.014019908667005957
Cd_6,0.01984917198315438
Zn_1,-0.01530900441164569
Zn_2,-0.034720716440764035
Zn_3,-0.044305274571099854
Zn_4,-0.040607618161078655
Zn_5,-0.03168768423200985
Zn_6,-0.02345281203441965
Cu_1,-0.0012805008279709097
Cu_2,0.005105822802947205
Cu_3,0.011641208853626659
Cu_4,0.012875892240355432
Cu_5,0.012842499903206746
Cu_6,0.017461415603104
Pb_1,-0.0032516826559308145
Pb_2,0.005611098167509359
Pb_3,0.013100637526223723
Pb_4,0.02218889910527672
Pb_5,0.02505360050983903
Pb_6,0.035222057766138994
