,macA
Cr_1,0.004134893478323437
Cr_2,0.0093693678341457
Cr_3,0.009238350184817909
Cr_4,0.009381249772770918
Cr_5,0.010701825580041034
Cr_6,0.009055207635599985
Fe_1,-0.008747909182452513
Fe_2,-0.031840707802315696
Fe_3,-0.05595102147749017
Fe_4,-0.08833650553979026
Fe_5,-0.11305861572504555
Fe_6,-0.12256985641209316
Cd_1,-0.00394716673308205
Cd_2,-0.003722330030774815
Cd_3,-0.0020724091214084995
Cd_4,-0.0002764881184570496
Cd_5,-0.0033641437951528732
Cd_6,0.0013166341537606825
Zn_1,-0.008808893315772547
Zn_2,-0.012223175004621905
Zn_3,-0.0021273692675994283
Zn_4,0.01383282736632913
Zn_5,0.027423840871839644
Zn_6,0.039805573797759584
Cu_1,-0.0026316011048769503
Cu_2,-0.00498725373407546
Cu_3,-0.005832302685492023
Cu_4,-0.008952149291072714
Cu_5,-0.011767682577530024
Cu_6,-0.011751893986029865
Pb_1,0.0002141677994522916
Pb_2,0.003596490348164867
Pb_3,0.008272576541797154
Pb_4,0.010834529378177736
Pb_5,0.022360139648288643
Pb_6,0.03508265601041183
