,yacH
Cr_1,0.006373406313793961
Cr_2,0.014764964497292388
Cr_3,0.023692821362023383
Cr_4,0.030446446511541832
Cr_5,0.03935234359571184
Cr_6,0.043667176600676726
Fe_1,-0.011198352133696472
Fe_2,-0.026871650337021945
Fe_3,-0.03408708337574415
Fe_4,-0.04528658200763841
Fe_5,-0.044730109936605165
Fe_6,-0.046340723548011886
Cd_1,0.002275557418398735
Cd_2,0.004820492139122528
Cd_3,0.0068452008263021
Cd_4,0.008998665437307539
Cd_5,0.009125695285367974
Cd_6,0.011420257637321863
Zn_1,-0.007662793708234819
Zn_2,-0.003366100670962178
Zn_3,0.01530067772264585
Zn_4,0.033336500830914086
Zn_5,0.05138662852095741
Zn_6,0.06402168482621139
Cu_1,0.004369102427552123
Cu_2,0.011740374499205244
Cu_3,0.019320330588138517
Cu_4,0.02152452765117177
Cu_5,0.025462159527591597
Cu_6,0.03587334179118675
Pb_1,0.009379086523099586
Pb_2,0.015810779395186686
Pb_3,0.021067385740960527
Pb_4,0.02619885711945536
Pb_5,0.03369187988023735
Pb_6,0.039450693411247004
