,yegE
Cr_1,-0.0015512197835316288
Cr_2,0.0007746026042072758
Cr_3,0.005509703573534639
Cr_4,0.011204748127459706
Cr_5,0.01954481609927989
Cr_6,0.02965092100039418
Fe_1,-0.008957682187504826
Fe_2,-0.02336424060928377
Fe_3,-0.034417236953228715
Fe_4,-0.04829892131764814
Fe_5,-0.05525639764230772
Fe_6,-0.056222690660505864
Cd_1,-0.0011149833771987492
Cd_2,-5.5023222189916014e-05
Cd_3,0.0012644980843098267
Cd_4,0.0024353917469985865
Cd_5,-0.0011252567881552588
Cd_6,0.0018649353228381601
Zn_1,0.004060937416601246
Zn_2,0.016566575323549233
Zn_3,0.031384114310352436
Zn_4,0.05172973894172537
Zn_5,0.07226254801360059
Zn_6,0.09039523435944856
Cu_1,0.004320069825864596
Cu_2,0.009909668316459385
Cu_3,0.01584491342221754
Cu_4,0.019239061465441458
Cu_5,0.022571857092242364
Cu_6,0.03054346899494928
Pb_1,0.006246468197596462
Pb_2,0.013436543471741823
Pb_3,0.019517971946224445
Pb_4,0.024500581425862384
Pb_5,0.028315424452237437
Pb_6,0.032818948131909345
