,entD
Cr_1,0.026456324465361163
Cr_2,-0.0883501425940654
Cr_3,-0.1585896173022102
Cr_4,0.005731011121391588
Cr_5,0.06978841296498836
Cr_6,0.0736075887729597
Fe_1,0.009248887484036863
Fe_2,-0.08903815772948959
Fe_3,-0.13705208540744848
Fe_4,-0.16411196612745735
Fe_5,-0.130011310253977
Fe_6,-0.09675794820083976
Cd_1,-0.0017812503197987262
Cd_2,-0.009794569423813206
Cd_3,-0.014830720599910047
Cd_4,-0.01245096925986618
Cd_5,-0.012034624687814535
Cd_6,-0.018392138403387756
Zn_1,-0.009025852153457792
Zn_2,-0.0010651482097608566
Zn_3,-0.027304848590006345
Zn_4,-0.042741860230865104
Zn_5,-0.024202840090033942
Zn_6,0.0018601200382105593
Cu_1,-0.01046625230843868
Cu_2,0.009809397822252186
Cu_3,0.009795063423943704
Cu_4,0.002103413940975819
Cu_5,-0.010937402447280723
Cu_6,-0.012284126633679015
Pb_1,-0.01016701646693103
Pb_2,0.027199417543711458
Pb_3,0.05505221185159771
Pb_4,0.054660755692657055
Pb_5,0.030287888618958606
Pb_6,0.0180483221944665
