,agaS
Cr_1,-0.003335952788372933
Cr_2,0.002326932797937027
Cr_3,0.009731694036325707
Cr_4,0.010774244365661316
Cr_5,0.017935813514975214
Cr_6,0.02316666004651514
Fe_1,-0.01915274665630761
Fe_2,-0.02607507002215512
Fe_3,-0.020590669759695916
Fe_4,-0.007169036079797031
Fe_5,0.003761407295813349
Fe_6,0.015549368042901959
Cd_1,-0.013761066689818658
Cd_2,-0.018813479885615127
Cd_3,-0.004742499317721459
Cd_4,0.013983579964582457
Cd_5,0.02076861691108059
Cd_6,0.023850406234586487
Zn_1,-0.018017704209708992
Zn_2,-0.025013557862266517
Zn_3,-0.0039849495019373465
Zn_4,0.004929530472105372
Zn_5,0.005442603000093858
Zn_6,0.009964538641375016
Cu_1,0.002872164032164812
Cu_2,0.0066312603637722475
Cu_3,0.009145304266519431
Cu_4,0.005474213544098642
Cu_5,0.007146884483583998
Cu_6,0.011693297687832022
Pb_1,0.003822771227805012
Pb_2,0.005014536754824866
Pb_3,0.018140006562404262
Pb_4,0.031240065390243182
Pb_5,0.03559675259026708
Pb_6,0.04019272731410788
