,PSPTOA0013
SRX1828913,-0.0754954196
SRX1828914,0.3710095147
SRX1828915,0.0394221071
SRX1828916,-0.0752758523
SRX1828917,0.0360733125
SRX1828918,-0.10872862
SRX3983989,0.9436618599000001
SRX3983990,0.6369442078
SRX3983993,1.4586139197999999
SRX3983994,1.4936722365000001
SRX3983995,0.47828596640000004
SRX3983996,2.1608722719
SRX3983997,1.5269482708000002
SRX3983998,0.4347233616
SRX3983999,0.6810270549
SRX3984000,0.7633119377
SRX3984001,1.5187214044
SRX3984002,1.4450836272
SRX3984003,1.4415405714
SRX3984004,0.5054040462
SRX3984005,0.7366264749
SRX3984006,1.461051709
SRX3984007,1.2462867368000001
SRX3984008,0.6323852653
SRX3984009,0.3312131069
SRX3984010,1.55304983
SRX3984011,0.4598360669
SRX3984012,0.5185906598
SRX3984013,0.2755698413
SRX3984014,0.5407806161000001
SRX3984015,1.3351405613
SRX3984016,0.6988879872
SRX3984017,1.627280483
SRX3984019,0.5402624456
SRX3984020,1.3532252866
SRX3984021,1.9582366006
SRX3984022,1.8173981264
SRX3984023,0.1345149217
SRX3984024,0.6773523558
SRX3984025,0.7435309068
SRX3984026,0.7323612156
SRX3984027,0.7770653853
SRX3984028,0.7791519334
SRX3984029,0.8999288766
SRX3984031,1.6363788234
SRX3984032,1.5182363079
SRX3984034,-0.0076681976
SRX3984035,0.7093795879
SRX3984036,1.8650209143
SRX3984037,2.1445621608
SRX3984038,1.5809118818
SRX3984039,1.9344615593
SRX3984040,0.7529121978000001
SRX3984041,1.5435349445000002
SRX3984042,1.7443286382
SRX3984043,1.1887425613
SRX3984045,0.5239945361
SRX3984046,0.0519354765
SRX3984047,1.5060376898999999
SRX3984048,1.4830324099
SRX3984049,1.4175121293
SRX3984050,1.3274395091
SRX3984051,1.4413132811
SRX3984052,0.8274370383
SRX3984056,1.5074426738
SRX3984057,1.6493207511999999
SRX3984058,1.3236302168
SRX3984059,0.2194359479
SRX3984061,0.2511123784
SRX3984062,0.2910941758
SRX3984063,0.5057767753
SRX3984064,0.6550160473000001
SRX3984065,0.44086263010000004
SRX3984066,0.6049206532
SRX3984067,0.4569146858
SRX3984068,0.5287575939
SRX3984069,1.1708314055
SRX3984070,1.3267826144
SRX3984071,1.4144408623
SRX3984073,0.6209832182
SRX3984074,0.7031991196
SRX3984077,0.6887216979
SRX3984078,0.6109790466
SRX3984079,2.4017965437
SRX3984080,-0.1787822006
SRX3984082,0.5919169299
SRX3984084,1.5792673032
SRX6997963,0.3815749606
SRX6997964,-0.3715041599
SRX6997965,-0.1943607404
SRX6997967,0.028491562800000002
SRX6997968,0.08311577760000001
SRX6997969,-0.41561103930000004
SRX6997971,-0.4100665234
SRX6997972,-0.8626316316
SRX6997973,-0.3592407445
SRX3159100,0.1575785329
SRX3159101,-0.7527947698
SRX3159102,-0.032671196900000005
SRX3159103,0.6278874338
SRX3159000,0.48994669690000003
SRX3159001,0.7760711171
SRX3159002,-0.10858185740000001
SRX3159003,0.10156438970000001
SRX3159004,-0.14976138290000002
SRX3159005,0.287120991
SRX3159006,0.6483657036
SRX3159007,-0.6321344560000001
SRX3159008,0.3448266591
SRX3159009,0.1188368197
SRX3159010,0.4093078854
SRX3159012,0.9469340968000001
SRX3159013,1.1697948275
SRX3159014,0.0823225194
SRX3159015,0.0527264989
SRX3159016,0.7853436347
SRX3159017,0.3550392511
SRX3159018,0.0538723595
SRX3159019,0.3673931406
SRX3159020,0.50942705
