,yhdJ
Cr_1,-0.007221750765560448
Cr_2,-0.010437001944550977
Cr_3,-0.009772320905141985
Cr_4,-0.0020802148006026206
Cr_5,0.007398070053341605
Cr_6,0.01965647865175733
Fe_1,0.0066456030574489865
Fe_2,0.0054902327939409645
Fe_3,0.02060018397594532
Fe_4,0.0147149171490901
Fe_5,0.0060926489597215505
Fe_6,0.03037112993843965
Cd_1,0.004506393909259392
Cd_2,0.0051971267269017825
Cd_3,0.008341389936005566
Cd_4,0.019270776367538968
Cd_5,0.021757165568222683
Cd_6,0.022588905284045956
Zn_1,-0.026122246390099944
Zn_2,-0.03929957972040836
Zn_3,-0.049300608396678165
Zn_4,-0.05267394347143383
Zn_5,-0.06683127553175466
Zn_6,-0.05438361608925065
Cu_1,0.013349287685775185
Cu_2,0.024824490381087718
Cu_3,0.02436511733944177
Cu_4,0.03074062070498369
Cu_5,0.03564936077906946
Cu_6,0.04141506582741068
Pb_1,0.005329641370768719
Pb_2,0.009930936523777616
Pb_3,0.005614211219163009
Pb_4,0.01097373459684177
Pb_5,0.015733754472605097
Pb_6,0.024582433919235126
