sample,BSU_tRNA_38
LBexp_1,15.0496
LBexp_2,15.2386
LBexp_3,14.5555
LBtran_1,12.3174
LBtran_2,13.1908
LBtran_3,12.5964
LBstat_1,13.2013
LBstat_2,13.1597
LBstat_3,13.1376
LBGexp_1,13.9995
LBGexp_2,14.1666
LBGexp_3,14.2597
LBGtran_2,11.7389
LBGtran_3,13.0859
LBGstat_1,13.5504
LBGstat_2,13.6859
LBGstat_3,11.783
S0_1,14.4524
S0_2,14.7531
S0_3,15.0978
S1_1,14.5931
S1_2,14.8024
S1_3,14.4927
S2_1,14.452
S2_2,13.7283
S2_3,13.2734
S3_1,14.578
S3_2,14.0309
S4_1,13.9961
S4_2,13.2782
S4_3,13.1612
S5_1,13.5401
S5_2,13.4371
S5_3,13.7376
S6_1,12.9901
S6_2,11.6604
S6_3,12.4576
S6/t_1,12.8627
S6/t_2,12.8747
S6_4,12.3993
S6_5,13.7399
S6_6,13.7271
S7_4,13.2005
S7_5,12.8231
S7_6,13.0302
S8_4,12.9855
S8_5,13.6896
G135_1,14.8373
G135_3,14.3134
G150_1,14.1337
G150_2,15.2113
G150_3,14.175999999999998
G180_1,14.3791
G180_2,14.9937
G180_3,13.8994
C30_1,13.6612
C30_2,14.6451
C90_1,12.9425
C90_2,13.1425
BI_1,13.6623
BI_2,13.5248
BC_2,13.2082
BC/t_1,13.4577
BC/t_2,13.3417
BC_1,12.1471
Sw_1,12.7218
Sw_2,12.9158
BT_1,14.2132
BT_2,13.7934
B36_1,12.6085
B36_2,12.5882
B60_1,12.9892
B60_2,13.6314
M9exp_1,14.7593
M9exp_2,14.165
M9exp_3,14.109000000000002
M9tran_1,13.417
M9tran_2,13.4781
M9tran_3,14.0785
M9stat_1,11.9207
M9stat_2,11.3961
M9stat_3,11.3145
M+G_1,12.9892
M+G_2,14.6732
M+G_3,14.5831
Glu_1,14.4257
Glu_2,14.8878
Glu_3,15.1277
Fru_1,14.9673
Fru_2,15.2143
Fru_3,14.0666
Mal_1,12.9621
Mal_2,14.5466
Mal_3,14.0623
G+S_2,14.5727
G+S_3,14.7141
Pyr_1,13.9302
Pyr_2,15.097
Pyr_3,14.1491
Gly_1,12.8728
Gly_2,13.9831
Gly_3,12.9321
Glucon_1,13.7687
Glucon_2,14.2295
Glucon_3,12.0878
aero_1,15.2396
aero_2,13.4432
aero_3,15.0168
nit_1,14.8649
nit_2,14.9056
nit_3,14.2255
ferm_1,14.0477
ferm_2,14.1801
ferm_3,14.5529
T-5.40H_1,14.413
T-4.40H_1,14.6631
T-3.40H_1,14.9638
T-2.40H_1,14.1352
T-1.40H_1,14.3607
T-1.10H_1,14.0
T-0.40H_1,14.5535
T0.0H_1,14.1154
T0.30H_1,13.6962
T1.0H_1,13.114
T1.30H_1,12.8142
T2.0H_1,12.0955
T2.30H_1,12.8018
T3.0H_1,12.7592
T3.30H_1,12.9232
T4.0H_1,12.8031
T5.0H_1,12.5538
HPh_1,15.1167
HPh_2,14.3724
HPh_3,14.4584
LPh_1,14.5753
LPh_2,14.8283
LPh_3,14.3457
LPhT_1,13.3044
LPhT_2,13.518
LPhT_3,13.8504
SMMPr_1,14.1191
SMMPr_2,13.7083
SMMPr_3,13.7997
HiTm_1,12.7564
HiTm_2,14.2526
HiTm_3,14.5573
LoTm_1,13.9578
LoTm_2,13.6443
LoTm_3,13.5879
HiOs_1,13.7744
HiOs_2,13.8392
HiOs_3,14.1201
BMM_1,15.1754
BMM_2,14.5389
BMM_3,13.8671
Heat_1,14.7637
Heat_2,14.7067
Heat_3,13.2755
Cold_1,15.523
Cold_2,14.0142
Cold_3,13.1609
Etha_1,11.8946
Etha_2,10.6378
Etha_3,11.4209
SMM_1,13.9087
SMM_2,14.3032
SMM_3,14.0447
Salt_1,14.3796
Salt_2,14.4896
Salt_3,14.4122
Mt0_1,15.2775
Mt0_3,14.9779
M0t45_1,14.4338
M0t45_2,14.981
M0t45_3,14.4062
M0t90_1,10.7701
M0t90_2,13.4025
M0t90_3,11.9771
M40t45_1,13.4254
M40t45_2,13.405
M40t45_3,14.6934
M40t90_1,11.7451
M40t90_2,12.7518
M40t90_3,12.3927
dia0_1,14.5764
dia0_2,14.7101
dia0_3,14.8306
dia5_1,13.1905
dia5_2,14.0897
dia5_3,14.1487
dia15_1,14.588
dia15_2,15.3625
dia15_3,12.7476
Diami_1,13.6902
Diami_2,13.3002
Diami_3,13.441
Paraq_1,14.9745
Paraq_2,15.4405
Paraq_3,13.2139
H2O2_1,14.4417
H2O2_2,14.222
H2O2_3,13.8981
Oxctl_1,13.8904
Oxctl_2,14.7964
Oxctl_3,15.5008
GM-0.1_1,14.1087
GM-0.2_1,13.6981
GM+5_1,14.2892
GM+15_1,14.3169
GM+25_1,15.1672
GM+45_1,14.7892
GM+60_1,15.0201
GM+90_1,14.7536
GM+120_1,13.5471
GM+150_1,14.4611
GM-0.1_2,14.7858
GM-0.2_2,14.0466
GM+5_2,14.4707
GM+10_2,14.3947
GM+15_2,14.4034
GM+25_2,15.0303
GM+45_2,13.8871
GM+60_2,13.6996
GM+90_2,14.6697
GM+150_2,13.7823
GM-0.1_3,14.4171
GM-0.2_3,14.6094
GM+5_3,14.6698
GM+10_3,13.5601
GM+15_3,14.2884
GM+25_3,13.9693
GM+45_3,13.5338
GM+60_3,12.9791
GM+90_3,13.7734
GM+120_3,13.7783
GM+150_3,14.0359
MG-0.1_1,14.4333
MG+5_1,14.744000000000002
MG+10_1,15.2144
MG+15_1,14.2688
MG+25_1,14.6879
MG+45_1,14.5576
MG+120_1,12.6594
MG+150_1,13.7355
MG-0.1_2,13.1214
MG-0.2_2,14.1893
MG+5_2,14.1926
MG+10_2,14.5511
MG+15_2,14.4461
MG+25_2,14.1817
MG+45_2,13.7624
MG+60_2,14.3043
MG+90_2,13.8081
MG+120_2,14.0119
MG-0.1_3,15.1352
MG-0.2_3,14.6645
MG+5_3,13.789
MG+10_3,13.0723
MG+15_3,14.9045
MG+25_3,14.6288
MG+45_3,14.9256
MG+60_3,14.1753
MG+90_3,14.4429
MG+120_3,13.5612
MG+150_3,14.6027
