,phoR
Cr_1,0.0013055259487671355
Cr_2,0.006401443775350461
Cr_3,0.011473118605167231
Cr_4,0.01396967162718144
Cr_5,0.014882878988367513
Cr_6,0.010241514263076438
Fe_1,-0.013538152333744185
Fe_2,-0.03567373865184678
Fe_3,-0.04699433063876686
Fe_4,-0.054258116237053365
Fe_5,-0.05827760627741905
Fe_6,-0.05133204694816389
Cd_1,-0.005650640537729928
Cd_2,-0.0037389688752409757
Cd_3,-0.00988342254617447
Cd_4,-0.015296311590430862
Cd_5,-0.019894397341718974
Cd_6,-0.008322438690113121
Zn_1,-0.005653560786466871
Zn_2,-0.02451856817124886
Zn_3,-0.03214348989220014
Zn_4,-0.03503872120446661
Zn_5,-0.02766322527045548
Zn_6,-0.021937926281601714
Cu_1,0.0011382790517942708
Cu_2,-0.0043076213916901935
Cu_3,0.000698707022584326
Cu_4,0.004622696565548621
Cu_5,0.0076349329394779794
Cu_6,0.009278391011933623
Pb_1,-0.0014244417019280311
Pb_2,-0.0018640812921245926
Pb_3,0.004572306864732986
Pb_4,0.015205487238137685
Pb_5,0.016699089694298504
Pb_6,0.019951616951800283
