,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X
0,LB__LBexp,-2.6452333333333335,0.22434627996321518,3.0,0.0,-2.9007,1.0,-2.4803,2.0,-2.5547,,,,,,,,,,
1,LB__LBtran,-1.0707,0.2842616928113952,3.0,3.0,-1.1908,4.0,-0.7461,5.0,-1.2752,,,,,,,,,,
2,LB__LBstat,-0.016999999999999998,0.27776765470443093,3.0,6.0,0.2223,7.0,0.0483,8.0,-0.3216,,,,,,,,,,
3,LB__LBGexp,-3.1546333333333334,0.10068804960536946,3.0,9.0,-3.2623,10.0,-3.0628,11.0,-3.1388,,,,,,,,,,
4,LB__LBGtran,-1.7348500000000002,0.12070312754854355,2.0,12.0,-1.6495000000000002,13.0,-1.8202,,,,,,,,,,,,
5,LB__LBGstat,-0.37423333333333336,0.3491422966833628,3.0,14.0,-0.18,15.0,-0.16540000000000002,16.0,-0.7773,,,,,,,,,,
6,Life Cycle__S0,-0.43216666666666675,0.3112822888205067,3.0,17.0,-0.4067,18.0,-0.7554000000000001,19.0,-0.13440000000000002,,,,,,,,,,
7,Life Cycle__S1,-0.4737666666666667,0.2569480946287272,3.0,20.0,-0.4504,21.0,-0.7416,22.0,-0.2293,,,,,,,,,,
8,Life Cycle__S2,-1.3593666666666666,0.317790974279216,3.0,23.0,-1.287,24.0,-1.7071,25.0,-1.084,,,,,,,,,,
9,Life Cycle__S3,-2.1915,0.08061017305526634,2.0,26.0,-2.2485,27.0,-2.1345,,,,,,,,,,,,
10,Life Cycle__S4,-2.436033333333333,0.20899917065226206,3.0,28.0,-2.1959,29.0,-2.5769,30.0,-2.5353,,,,,,,,,,
11,Life Cycle__S5,-2.6331,0.3010577851509573,3.0,31.0,-2.9716,32.0,-2.5324,33.0,-2.3953,,,,,,,,,,
12,Life Cycle__S6,-2.1929624999999997,0.6220955988488771,8.0,34.0,-2.6987,35.0,-0.9324,36.0,-2.5729,37.0,-2.1896,38.0,-1.5977999999999999,39.0,-2.44,40.0,-2.4133,41.0,-2.699
13,Life Cycle__S7,-2.1539,0.11734883893758821,3.0,42.0,-2.0854,43.0,-2.0869,44.0,-2.2894,,,,,,,,,,
14,Life Cycle__S8,-1.8378,0.23037538931057724,2.0,45.0,-2.0007,46.0,-1.6749,,,,,,,,,,,,
15,Life Cycle__G135,-4.4319500000000005,0.1679378605318049,2.0,47.0,-4.5507,48.0,-4.3132,,,,,,,,,,,,
16,Life Cycle__G150,-4.0818,0.7535474503971199,3.0,49.0,-4.1298,50.0,-4.8102,51.0,-3.3054,,,,,,,,,,
17,Life Cycle__G180,-4.5138,0.594809322388276,3.0,52.0,-3.8287,53.0,-4.8985,54.0,-4.8142,,,,,,,,,,
18,Stress Time Course__C30,-0.5244,0.16051323932934627,2.0,55.0,-0.6379,56.0,-0.41090000000000004,,,,,,,,,,,,
19,Stress Time Course__C90,-0.241,0.3620386719675123,2.0,57.0,-0.497,58.0,0.015,,,,,,,,,,,,
20,Biofilm__BI,-1.1489,0.3775950211536165,2.0,59.0,-1.4159000000000002,60.0,-0.8819,,,,,,,,,,,,
21,Biofilm__BC,-2.9852250000000002,0.58409748258888,4.0,61.0,-3.2292,62.0,-3.137,63.0,-2.1306,64.0,-3.4441,,,,,,,,
22,Biofilm__Sw,-0.67905,0.14276485912156392,2.0,65.0,-0.78,66.0,-0.5781000000000001,,,,,,,,,,,,
23,Life Cycle__BT,-4.3675,0.24310331137193494,2.0,67.0,-4.1956,68.0,-4.5394,,,,,,,,,,,,
24,Life Cycle__B36,-3.3782,0.03337544007200514,2.0,69.0,-3.4018,70.0,-3.3546,,,,,,,,,,,,
25,Life Cycle__B60,-3.6551,0.28100423484353415,2.0,71.0,-3.8538,72.0,-3.4564,,,,,,,,,,,,
26,M9__M9exp,-9.25185853854297e-18,0.22269205194617972,3.0,73.0,0.189,74.0,0.0565,75.0,-0.24550000000000002,,,,,,,,,,
27,M9__M9tran,-0.04623333333333334,0.25803860822236147,3.0,76.0,-0.3211,77.0,-0.008400000000000001,78.0,0.1908,,,,,,,,,,
28,M9__M9stat,-2.1683333333333334,0.3581187140227851,3.0,79.0,-2.2982,80.0,-1.7634,81.0,-2.4434,,,,,,,,,,
29,Supplement__M+G,-0.1638666666666667,0.24218472976910277,3.0,82.0,-0.23420000000000002,83.0,0.1057,84.0,-0.36310000000000003,,,,,,,,,,
30,Supplement__Glu,0.2768333333333334,0.34317146346008054,3.0,85.0,0.6617000000000001,86.0,0.0027,87.0,0.1661,,,,,,,,,,
31,Supplement__Fru,-0.47750000000000004,0.9813779139556789,3.0,88.0,-1.583,89.0,0.2909,90.0,-0.1404,,,,,,,,,,
