,A,EvgA
R2,,0.011786269917912096
xmin,,-8.060500858
xmid,,-0.23048147377221992
xmax,,3.2868997456
ystart,,0.5047621742860353
yend,,3.462403572397032
SRX1125282,1.5451491332,0.0050076192000000005
SRX1125283,-0.9182982016000001,-0.1929683601
SRX1125284,-0.6915520023,-0.4130141909
SRX1125285,-0.40712418300000003,-0.5390056188
SRX1125286,-0.38669192880000003,-1.0651675988
SRX1125287,-0.4861115997,-1.3141261632
SRX1125288,0.37442290710000004,-0.0387209617
SRX1125289,-0.8258966360000001,-0.1214191622
SRX1125290,0.00289332,-0.2873633483
SRX1125291,-0.9765894832,-0.567281618
SRX1125292,-0.6444487072,-0.9681224179000001
SRX1125293,1.0970819897,-0.7409791495
SRX1125294,-1.9195720403,0.0337133425
SRX1125295,-0.2540629258,-0.3869933666
SRX1125296,-1.0663331422,-0.7010396402
SRX1125297,-0.3456105326,-0.632669381
SRX1125298,0.7556697686,-0.7630364225
SRX1125299,-0.2716995465,-0.8009511723
SRX5694250,-2.9837834808,-2.3569467217
SRX5694251,2.2062862364,0.18735363100000002
SRX5694252,-1.6435820836000001,-3.0103935072
SRX5694253,-0.8936337528,0.0548002909
SRX5694254,4.1182941425,-0.9046514218
SRX5694255,7.6488298840999995,-0.6827013327
SRX5694256,-0.8915694224,-0.9929885753000001
SRX5694257,-0.3267983501,-0.5862668991000001
SRX5694258,-0.6460096983,-0.1051004569
SRX5694259,5.8569319638,-0.163258977
SRX5694260,-0.2928153046,-0.049988984
SRX5694261,-1.3724321502,-5.0680041041
SRX5694262,-2.1449166691,-2.9797182132
SRX5694263,-1.9643398833,-0.27834651190000004
SRX5694264,-2.0207754601,-0.2511568214
SRX5694265,-1.8567299665,-0.6663051818
SRX5694267,0.9736944787,0.2049155868
SRX5694268,-1.8246693874000002,-1.1329389215
SRX5694269,-0.9539521255000001,-0.33968261510000003
SRX5694271,-1.3640909346,0.365778732
SRX5694273,-0.7028090192,-2.1405034638
SRX5694274,-1.3536952069,-0.15343091550000001
SRX5694275,-2.5457376016,-2.4898298191
SRX5694276,1.783986428,-0.0162636123
SRX5694277,-1.6591975107999999,-0.25345946750000004
SRX5694278,-1.561183748,-0.6980296007
SRX5694279,-1.8348916690000001,-0.2558281345
SRX5694280,-1.8926560753000001,-2.4780226325
SRX5694281,-1.9226214480000001,-0.3799001582
SRX5694282,2.8416888456000002,-0.4781849359
SRX5694283,-0.595569062,-1.4903587884
