,xseA
Cr_1,0.0006094120861112735
Cr_2,0.0026173478323998933
Cr_3,0.007248357497212574
Cr_4,0.014389868270304343
Cr_5,0.023301775410951613
Cr_6,0.0313677749472473
Fe_1,-0.005783567700336784
Fe_2,-0.0256237397629751
Fe_3,-0.04878924164711748
Fe_4,-0.07139747138372922
Fe_5,-0.09053956810233578
Fe_6,-0.10739836395495417
Cd_1,0.0044286187176184365
Cd_2,0.011148731142052656
Cd_3,0.016410910117004497
Cd_4,0.020115096157216888
Cd_5,0.019469944693183056
Cd_6,0.023393959942140503
Zn_1,-0.0017781948814854266
Zn_2,-0.003858437562215661
Zn_3,0.00035157027813666474
Zn_4,0.005626369374046084
Zn_5,0.01023781171372868
Zn_6,0.014883919917118875
Cu_1,0.005020263808447304
Cu_2,0.007955290759496405
Cu_3,0.011477145247443669
Cu_4,0.011161659519532964
Cu_5,0.01169434341188708
Cu_6,0.018885036289400317
Pb_1,0.011632788927522104
Pb_2,0.0222447421375732
Pb_3,0.03166407695104145
Pb_4,0.03612774963650529
Pb_5,0.03451824658043499
Pb_6,0.03256924635380677
