,A,CcpN
R2,,0.010661657430935945
xmin,,-2.682689495944646
xmid,,
xmax,,1.6279564201293164
ystart,,2.183524245336903
yend,,-1.1006797706110771
amb:ctrl:1,-0.6079772472064129,0.017135542273351234
amb:ctrl:2,0.17054315310760632,-0.0617464779055954
amb:ctrl:3,0.4374340940988009,0.04461093563224328
amb:amb:1,-0.33802954325792034,0.07429913317965031
amb:amb:2,-0.5006182993732474,0.23421049055461385
amb:amb:3,-0.9573915250107148,0.32072259540470505
ave1:ctrl_5m:1,0.30350457517460155,-0.0033434454754308622
ave1:vdave1_5m:1,-0.4754699823104322,-0.032187077176351934
ave1:ctrl_20m:1,0.14931025920642227,0.2437393074103511
ave1:vdave1_20m:1,0.5999786474879035,0.07643160256294212
ave1:supernatant_5m:1,0.58379160316681,-0.07735689287209269
ave1:vnave1_20m:1,0.4719849277164642,0.1400671627177772
ave1:supernatant_20m:1,0.5502195003856939,0.07903954416054937
ave1:ctrl_5m:2,-0.3035045751745955,0.00334344547543175
ave1:vdave1_5m:2,0.0010074152100185746,-0.03201772255973534
ave1:ctrl_20m:2,-0.3836466386755151,0.15533306338302744
ave1:vdave1_20m:2,-0.4403530745106768,0.10088916825818384
ave1:supernatant_5m:2,0.1751901595656775,0.021647964077764925
ave1:vnave1_20m:2,0.8750643598689262,0.15377986431659352
ave1:supernatant_20m:2,0.8488817375847144,0.2150413788901844
biofilm_time:8h:1,0.01718098526671846,-0.024721011474608368
biofilm_time:8h:2,0.1276351322388247,-0.0958322443616746
biofilm_time:8h:3,-0.09553308302772667,0.07683003708797642
biofilm_time:8h:4,-0.04928303447782064,0.043723218748307424
biofilm_time:12h:1,1.9853560660204377,-0.1359078710990751
biofilm_time:12h:2,1.1814438683381605,-0.145016474048675
biofilm_time:12h:3,0.2821214260640102,0.006083913241052841
biofilm_time:12h:4,0.3724092120881653,-0.030699928452218476
biofilm_time:16h:1,-1.9264821625896171,-0.02568500691694631
biofilm_time:16h:2,-1.7056430763491668,-0.16760582609544006
biofilm_time:16h:3,-2.951740744718584,0.037703662324181764
biofilm_time:16h:4,-3.4155682775095566,0.11421553107924255
biofilm_time:20h:1,-3.120564645174128,-0.21624906663922785
biofilm_time:20h:2,-1.0983952574046538,-0.2669117874607521
biofilm_time:20h:3,-3.612180020227527,-0.2344597686811349
biofilm_time:20h:4,-1.22077429788528,-0.35268682219714353
biofilm_time:24h:1,-3.127032076352056,-0.4640763189359189
biofilm_time:24h:2,0.2625526160023627,-0.4877157426499688
biofilm_time:24h:3,0.0681253124494446,-0.6464540840969724
biofilm_time:24h:4,0.8980574800557589,-0.6644604175473807
biofilm_time:28h:1,-4.421936799080923,-0.30913529846266563
biofilm_time:28h:2,0.5846777122180605,-0.6927158608145225
biofilm_time:28h:3,2.41384383445045,-0.8431832140188886
biofilm_time:28h:4,-2.1995711757085665,-0.7118851743683132
biofilm_time:32h:1,7.052946106106372,-0.9645279953200454
biofilm_time:32h:2,1.1116336768257489,-0.6274054167488394
biofilm_time:32h:3,0.6985183150109129,-0.3958115324328864
biofilm_time:32h:4,2.8022997529133824,-0.7065988001131727
codY:wt:1,0.0493159040644645,0.0996596601804436
codY:wt:2,-0.04931590406444853,-0.0996596601804436
codY:ctrl:1,0.8874101112626811,0.17506559754859108
codY:ctrl:2,1.109342738066894,-0.05974215858572851
codY:codYR61K:1,1.1472937763429771,0.15800794897324089
codY:codYR61K:2,0.6441012017341731,-0.022141709945504573
codY:codYR61H:1,0.8252523459742107,0.07868967234282476
codY:codYR61H:2,1.2102312138900335,-0.0929757136304934
codY:codYF71Y:1,1.1565675764061638,-0.12355419124524315
codY:codYF71Y:2,0.5115101810018206,-0.04944857693642035
decay:wt:1,-0.5813497862461693,0.012411146835846765
decay:wt:2,0.11221558572990907,0.03858819202450458
decay:wt:3,0.4691342005162549,-0.050999338860353134
decay:delpnpA:1,0.10508280219148956,0.9915018858765404
decay:delpnpA:2,-0.5484557199531177,1.0547839785508746
decay:delpnpA:3,-1.0829385108393048,1.045344402401974
ecm_tasA:deltasA:1,-0.21823079893531766,-0.10965340445055284
ecm_tasA:deltasA:2,-1.3304913482585865,-0.05108018731299513
ecm_tasA:deltasA:3,-0.868367739084792,-0.05080276546729934
ecm_tasA:delcssRS:1,-0.1504288695286788,0.12339972478444584
ecm_tasA:delcssRS:2,-0.16908987611111342,0.2178652144975297
ecm_tasA:delcssRS:3,-0.21004122286919333,0.05026062005435605
ecm_tasA:wt:1,0.01796439835673808,0.062436310788267065
ecm_tasA:wt:2,-0.01796439835674031,-0.062436310788266176
heatshock:wt_37C:1,-0.5745750334094795,-0.16884343976460414
heatshock:wt_37C:2,-0.37003950908788064,-0.006822652440863664
heatshock:wt_37C:3,0.944614542497366,0.1756660922054678
heatshock:wt_48C:1,-0.6706045024452554,0.026833557985257
heatshock:wt_48C:2,-0.22331813960111266,0.3814686719726268
heatshock:wt_48C:3,0.94826921611259,0.6906440708123833
heatshock:wt_53C:1,-6.444999974989611,0.7396770548368048
heatshock:wt_53C:2,-5.2809288096951095,0.6083024430061643
heatshock:wt_48_53C:1,-2.723892512862762,0.2747450470525612
heatshock:wt_48_53C:2,-2.145486888781879,0.7207569207100786
heatshock:wt_48_53C:3,-4.1074157670609885,1.353073221711309
heatshock:delrelA_37C:1,1.3637935850716827,-0.009641647575779013
heatshock:delrelA_37C:2,0.6711388543719227,0.17497075856964184
heatshock:delrelA_48C:1,0.3490967621457192,0.8577364031147559
heatshock:delrelA_48C:2,-1.3457525715774328,1.038176912439189
heatshock:delrelA_48C:3,-1.6467587985838483,-0.20000479573528815
heatshock:ppGpp_null_37C:1,0.33650950781503275,0.8390552572914958
heatshock:ppGpp_null_37C:2,1.2028836155234766,-0.12144970485886565
heatshock:ppGpp_null_37C:3,0.6023106366099583,0.6324222796482548
heatshock:ppGpp_null_48C:1,0.5105166464258393,1.1372449261936757
heatshock:ppGpp_null_48C:2,0.9128064721743046,-0.27165039739714203
heatshock:ppGpp_null_48C:3,0.11681520333519045,0.4694135606461956
ldar:yfiJKplus:1,4.546646116094925,-1.3922579734836102
ldar:yfiJKplus:2,6.682088882006222,-1.3126374975262545
ldar:yfiJ_A152E:1,4.719860514209584,-1.1474014805121575
ldar:yfiJ_A152E:2,8.054322661289708,-1.4292693419429652
ldar:wt:1,0.1601583769337405,0.03184571347003917
ldar:wt:2,-0.5630994224959543,0.020030621661195624
ldar:wt:3,0.4029410455622087,-0.051876335131236566
