,dxr
Cr_1,0.007813223789303402
Cr_2,0.02025374062935848
Cr_3,0.03436249944335894
Cr_4,0.042095687347898536
Cr_5,0.05265153452022863
Cr_6,0.06199281024875657
Fe_1,-0.012301005057907849
Fe_2,-0.02727069431608692
Fe_3,-0.03215078514781329
Fe_4,-0.036409256543734184
Fe_5,-0.04221781908058898
Fe_6,-0.04278856798477305
Cd_1,0.00963821806459886
Cd_2,0.013597878785140585
Cd_3,0.01792378218736022
Cd_4,0.019474280590181317
Cd_5,0.015395617652851806
Cd_6,0.014607453092855818
Zn_1,-0.004731208733449261
Zn_2,-0.010911715259064527
Zn_3,0.0018365999061111609
Zn_4,0.02271346328822829
Zn_5,0.02975257334766268
Zn_6,0.039841456175264064
Cu_1,0.000541319594434668
Cu_2,-0.001108316523210839
Cu_3,0.001715383151435359
Cu_4,0.00674515687834125
Cu_5,0.01500817296952115
Cu_6,0.02723243444406088
Pb_1,0.0066423437527500075
Pb_2,0.004719154702549668
Pb_3,0.01906147611263054
Pb_4,0.02366545538251012
Pb_5,0.0319379642226986
Pb_6,0.03877901524711825
