,A,Fur
R2,,0.020071400906802372
xmin,,-3.5846333333000002
xmid,,0.5714641510802005
xmax,,2.1017666667
ystart,,-9.956278172718712
yend,,-18.82096881824135
LBexp_1,3.8387087688,0.5060666667
LBexp_2,8.8432860395,0.9839666667
LBexp_3,8.9057904715,0.6250666667
LBtran_1,-16.2983867044,1.0262666667
LBtran_2,-14.4341145887,0.9841666667000001
LBtran_3,-13.9691975516,0.3133666667
LBstat_1,-28.6632596873,0.8277666667
LBstat_2,-26.4532788156,-0.042533333300000004
LBstat_3,-25.8936528095,-0.4541333333
LBGexp_1,2.4849017454,0.4413666667
LBGexp_2,3.9100593356,1.2405666667
LBGexp_3,1.8876360476,0.7689666667
LBGtran_2,-28.2570734551,0.8921666667
LBGtran_3,-24.8034127461,1.4529666667
LBGstat_1,-33.1000748891,2.1017666667
LBGstat_2,-31.046641145,1.5287666667000002
LBGstat_3,-30.0650521413,1.1931666667
S0_1,-20.9051791625,-0.9576333333
S0_2,-20.2068917565,-0.8682333333000001
S0_3,-19.5102190034,-0.9080333333
S1_1,-11.889233533,0.5164666667
S1_2,-9.4202240653,0.3291666667
S1_3,-10.2605389599,0.45386666670000003
S2_1,-2.9805410510000003,-0.2036333333
S2_2,-5.4373473831,-0.6741333333
S2_3,-4.2571332553,-0.8514333333
S3_1,-20.4804558681,0.8020666667
S3_2,-18.7547102096,0.7328666667
S4_1,-8.8020664404,0.41606666670000003
S4_2,-10.4719249328,0.0672666667
S4_3,-8.0602638021,-0.2923333333
S5_1,-11.2396750253,-0.22943333330000001
S5_2,-16.8296689373,0.2154666667
S5_3,-10.8172239935,0.2176666667
S6_1,-18.3970945817,-0.8881333333
S6_2,-24.2246577754,-2.9302333333
S6_3,-15.2713059935,-0.8359333333000001
S6/t_1,-18.488248781,-1.1749333333
S6/t_2,-21.3173300656,-3.5846333333000002
S6_4,-17.5711324581,-1.4028333333
S6_5,-18.1868351245,-0.9265333333
S6_6,-15.730720164200001,-0.9434333333
S7_4,-18.2428117397,-0.7758333333
S7_5,-19.5173022232,-0.9270333333
S7_6,-17.9688373113,-1.0414333333
S8_4,-18.3603436824,-1.1910333333
S8_5,-20.6439565195,-1.6718333333
G135_1,-8.8417168939,0.0377666667
G135_3,-14.8250050458,-1.6950333333
G150_1,-6.0271090384,-0.5062333333
G150_2,-3.0264184671,0.4520666667
G150_3,-9.9500036227,-0.3670333333
G180_1,-14.990013627,0.44066666670000004
G180_2,-16.0780324661,0.6914666667
G180_3,-18.7814124981,-0.0269333333
C30_1,-20.8782672118,0.8012666667
C30_2,-20.61176292,0.8902666667
C90_1,-18.9629872855,1.5175666667
C90_2,-17.1408305009,1.6334666667
BI_1,5.1412929666,0.6576666667000001
BI_2,4.4447351782,0.4914666667
BC_2,-25.8111540211,1.9519666667000002
BC/t_1,-25.0579449172,1.3434666667
BC/t_2,-24.7165633588,1.9772666667
BC_1,-24.4277713029,1.2842666667
Sw_1,-20.9221262539,0.2007666667
Sw_2,-21.3723840369,0.41146666670000004
BT_1,-12.2365913181,-1.6064333333
BT_2,-13.3156273462,-2.3145333333
B36_1,6.3894532011,-0.9195333333000001
B36_2,5.8444813595,-1.1218333333
B60_1,6.7972765966,-0.9800333333000001
B60_2,5.6016347536,-0.5451333333
M9exp_1,0.6137241534,0.2919666667
M9exp_2,0.3664779865,-0.0767333333
M9exp_3,-0.98020214,-0.2152333333
M9tran_1,-7.4943860355,-0.4071333333
M9tran_2,-7.5987574152,-0.3012333333
M9tran_3,-4.1997099307,-0.0893333333
M9stat_1,-23.4260297336,-0.5894333333
M9stat_2,-19.3172130192,-0.5867333333
M9stat_3,-19.4598024018,-0.9250333333
M+G_1,-8.4500696064,-0.7889333333
M+G_2,-12.0682377441,-0.4410333333
M+G_3,-11.0789022363,-0.4283333333
Glu_1,-10.3050936969,0.08146666670000001
Glu_2,-8.9175545072,-0.1208333333
Glu_3,-7.9254278006,-0.06883333330000001
Fru_1,-11.5600907367,-0.0856333333
Fru_2,-13.8262329941,0.1844666667
Fru_3,-12.2536129415,-0.5194333333
Mal_1,-12.1419266807,-1.8240333333
Mal_2,-13.683373375,-0.7748333333
Mal_3,-13.9195638274,-0.6854333333
G+S_2,-11.043462909,-0.5388333333
G+S_3,-9.9560382849,-0.059733333300000004
Pyr_1,-12.174989211,-0.5901333333000001
Pyr_2,-6.8473136832,-0.3306333333
Pyr_3,-6.9376204417,-0.6359333333
Gly_1,-8.1256645624,-2.2826333333
Gly_2,-7.7987505677,-1.7725333333000002
Gly_3,-10.2361793978,-3.0277333333
Glucon_1,-9.8781612706,-0.9580333333000001
Glucon_2,-4.713829011,-0.5464333333
Glucon_3,-11.2478612123,-1.5839333333
aero_1,-4.5942128025999995,0.4021666667
aero_2,-3.8058195757,-0.7278333333
aero_3,-2.5954865743999997,-0.2275333333
nit_1,3.780006549,-0.7874333333
nit_2,5.1003153878,-0.5330333333
nit_3,3.7589372453000003,-0.8413333333
ferm_1,-10.613975802,-0.6959333333000001
ferm_2,-11.3785449327,-0.6716333333000001
ferm_3,-11.014689622,-0.2972333333
T-5.40H_1,2.6611200909,0.4635666667
T-4.40H_1,0.042798992300000005,0.4609666667
T-3.40H_1,-2.085424652,0.7764666667
T-2.40H_1,-4.5843561732,0.5433666667
T-1.40H_1,-6.0463729017,1.2761666667
T-1.10H_1,-7.1962183435,1.2517666667
T-0.40H_1,-5.6331940935,1.7176666667
T0.0H_1,-7.7977975558,1.4865666667
T0.30H_1,-17.7143670052,1.6814666667
T1.0H_1,-20.7246816729,0.7975666667
T1.30H_1,-21.9031094715,0.5147666667
T2.0H_1,-23.2198221772,-0.0797333333
T2.30H_1,-26.7503908631,0.4284666667
T3.0H_1,-27.0080124751,-0.0749333333
T3.30H_1,-27.1127403399,0.0265666667
T4.0H_1,-27.962466998,0.2525666667
T5.0H_1,-25.0075647962,-0.2591333333
HPh_1,-26.0285096329,0.1552666667
HPh_2,-26.3683400211,-0.2395333333
HPh_3,-25.9488769074,0.0357666667
LPh_1,-27.7054120304,0.0163666667
LPh_2,-27.1967979422,0.1857666667
LPh_3,-26.9523479078,-0.2755333333
LPhT_1,-24.3809156868,1.5000666667
LPhT_2,-25.7080400077,0.9212666667
LPhT_3,-26.3285805835,1.1352666667
SMMPr_1,-16.5842999329,-0.2878333333
SMMPr_2,-13.2877187945,-0.2889333333
SMMPr_3,-12.5438369121,-0.09843333330000001
HiTm_1,-23.8208305999,-1.8101333333
HiTm_2,-26.5993644054,-0.16663333330000002
HiTm_3,-25.273278572,-0.1832333333
LoTm_1,-5.2163176524,-0.1589333333
LoTm_2,-5.8118360776,-0.2578333333
LoTm_3,-5.6600981566,-0.2424333333
HiOs_1,5.0644748006,-0.025033333300000002
HiOs_2,4.5689726458,-0.1387333333
HiOs_3,5.4272105236,-0.1177333333
BMM_1,-10.5166998721,0.37626666670000003
BMM_2,-14.6510026359,0.2306666667
BMM_3,-13.1697607851,0.46486666670000004
Heat_1,-31.204511274,1.3423666667
Heat_2,-31.6961360977,0.7249666667
Heat_3,-30.2522414184,0.7512666667
Cold_1,-29.6594653319,1.4178666667
Cold_2,-27.521782642,1.6511666667
Cold_3,-26.5020475653,1.0093666667
Etha_1,-25.5158837747,0.11676666670000001
Etha_2,-25.228227836,0.2234666667
Etha_3,-27.0602606742,0.3203666667
SMM_1,-11.704661589,-0.0385333333
SMM_2,-11.4366342472,-0.0648333333
SMM_3,-9.9642543082,-0.0080333333
Salt_1,-4.1275230103,0.0031666667
Salt_2,-3.5169851911,-0.1576333333
Salt_3,-3.1899236923,-0.19943333330000002
Mt0_1,2.0981169531,0.5714666667
Mt0_3,-0.7493766894,0.5757666667
M0t45_1,-6.1649459561,0.8816666667
M0t45_2,5.6778006864,0.2897666667
M0t45_3,3.3601274033,1.4415666667
M0t90_1,-13.7475703989,-0.0692333333
M0t90_2,-26.1354375168,1.1543666667
M0t90_3,-7.7109763749999995,0.6745666667
M40t45_1,-6.5657799197,0.3133666667
M40t45_2,-10.1595255913,1.0941666667
M40t45_3,3.8390245894,1.4649666667
M40t90_1,-15.1557793839,-0.3622333333
M40t90_2,-23.6026026162,0.7828666667
M40t90_3,-10.6950366023,0.5590666667
dia0_1,3.6510631847,0.2312666667
dia0_2,5.2963519981000005,0.8749666667
dia0_3,9.2932973143,0.8596666667
dia5_1,-0.2415761347,-0.6424333333000001
dia5_2,-2.3302310147,-0.1175333333
dia5_3,1.4588871547,-0.0197333333
dia15_1,-9.0043775191,1.2257666667
dia15_2,0.056701515,1.7600666667
dia15_3,1.20298857,1.9710666667
Diami_1,-12.569180668,0.44676666670000004
Diami_2,-10.9122134468,0.8892666667
Diami_3,-15.3202657998,0.7046666667
Paraq_1,2.8994948532,0.8535666667
Paraq_2,3.1241078388,1.3633666667
Paraq_3,1.0389717732000001,-0.053233333300000005
H2O2_1,3.6501249733,1.0693666667
H2O2_2,4.2224698746,1.3237666667
H2O2_3,2.7705013206,1.0817666667
Oxctl_1,-10.521810043,0.009466666700000001
Oxctl_2,-14.2120374436,0.1693666667
Oxctl_3,-13.1219512323,0.7934666667
GM-0.1_1,-3.0009619381,-0.3118333333
GM-0.2_1,-4.2431386709,-0.4877333333
GM+5_1,0.2199183317,-0.27743333330000003
GM+15_1,6.2381992313,-0.1990333333
GM+25_1,7.0088744166,0.0391666667
GM+45_1,3.3877395137,0.3435666667
GM+60_1,3.2608167626,0.1708666667
GM+90_1,-9.1132535948,0.2617666667
GM+120_1,-25.7434449353,-0.6412333333
