,Value,list
TF,Fur,
reg_genes,80,"['fecD' 'ydhU/2' 'ywiE' 'dctP' 'nasF' 'nasD' 'yfmB' 'yoaJ' 'gltA' 'S477'
 'S683' 'gltB' 'yfkM' 'fecF' 'catD' 'S502' 'catE' 'ydhU/1' 'ykoP' 'S682'
 'nasB' 'fecE' 'S1544' 'nasE' 'S247' 'S260' 'nasC' 'pfeT' 'S255' 'S273'
 'efeB']"
comp_genes,55,['S512' 'glcD' 'S513' 'glcF' 'S514' 'S1229']
both_genes,49,"['S1267' 'yusV' 'fhuB' 'S153' 'S119' 'hmoA' 'dhbE' 'fpbP' 'yfhA' 'fbpB'
 'btr' 'feuB' 'dhbF' 'dhbB' 'yfiY' 'S1230' 'fbpC' 'yxeB' 'dhbA' 'yfhC'
 'besA' 'S287' 'ywjA' 'fecC' 'ybdZ' 'feuC' 'yfiZ' 'fpbQ' 'efeU' 'feuA'
 'fpbN' 'ykuO' 'fhuD' 'S1523' 'fpbO' 'ycgT' 'ybbA' 'yhfQ' 'S130' 'ywjB'
 'S1228' 'efeO' 'yusU' 'fhuC' 'dhbC' 'fhuG' 'ykuN' 'ykuP' 'S120']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,38,
comp_ops,24,
both_ops,23,
