,ydaO
Cr_1,-0.0018211489982327145
Cr_2,0.004557568896105356
Cr_3,0.00694700647041196
Cr_4,0.011241926184804985
Cr_5,0.013855444912461172
Cr_6,0.012291329919680663
Fe_1,0.004874826701985039
Fe_2,-0.0013637277866997992
Fe_3,-0.012893572962086186
Fe_4,-0.019354858552527388
Fe_5,-0.020099479887181047
Fe_6,-0.03083412274961438
Cd_1,-0.00022980324570089596
Cd_2,0.003206162220005871
Cd_3,0.00893155068814437
Cd_4,0.011749391068871877
Cd_5,0.013156002191673741
Cd_6,0.0184616645485613
Zn_1,-0.011900544555950068
Zn_2,-0.01719591989644349
Zn_3,-0.009234334278893115
Zn_4,0.007157301666215373
Zn_5,0.024236492532706832
Zn_6,0.02126970580437645
Cu_1,-0.0052010892475201275
Cu_2,-0.010002230388649386
Cu_3,-0.00816859861111579
Cu_4,-0.0005095930313303317
Cu_5,-0.002262485457341761
Cu_6,-0.0047425629328041
Pb_1,0.003735050634210886
Pb_2,0.01180116694823235
Pb_3,0.018040271334199286
Pb_4,0.025900559198796715
Pb_5,0.03604652688704503
Pb_6,0.05105439028106798
