,talA
Cr_1,-0.0018257516834144247
Cr_2,0.0038605278492733733
Cr_3,0.015512430152449012
Cr_4,0.02492267777937544
Cr_5,0.035118514709946265
Cr_6,0.04337313518107105
Fe_1,-0.010810962811401748
Fe_2,-0.037383044601382975
Fe_3,-0.07299314475979055
Fe_4,-0.1194120691109249
Fe_5,-0.15956739136771186
Fe_6,-0.18525244816169373
Cd_1,0.007447299198662217
Cd_2,0.012482461216424302
Cd_3,0.016580784712691362
Cd_4,0.020113155538466616
Cd_5,0.016126722536717115
Cd_6,0.01862549659638129
Zn_1,-0.005616328146613019
Zn_2,-0.017251864746850906
Zn_3,-0.01966666490524426
Zn_4,-0.01592661150000395
Zn_5,-0.012713072614907249
Zn_6,-0.01087052091223868
Cu_1,0.012976562289268516
Cu_2,0.029990822871863707
Cu_3,0.04935449850116655
Cu_4,0.06079044062005249
Cu_5,0.07419121415823349
Cu_6,0.08907112253207193
Pb_1,0.00861953166443629
Pb_2,0.02305341755825569
Pb_3,0.03925597478168048
Pb_4,0.05826939755206135
Pb_5,0.07679885732954148
Pb_6,0.09346833579959364
