,ydgI
Cr_1,-0.003979293409955793
Cr_2,-0.003714889473350088
Cr_3,-0.0033537967370558005
Cr_4,-0.004344329596290256
Cr_5,0.00608356660322031
Cr_6,0.020900016154801374
Fe_1,-0.004225040454734493
Fe_2,0.016787093872816673
Fe_3,0.05346468155922534
Fe_4,0.09120014371596677
Fe_5,0.13693601803366146
Fe_6,0.17059035178669493
Cd_1,0.007197499479568607
Cd_2,0.013417778753440069
Cd_3,0.020000230066577813
Cd_4,0.025162344686454736
Cd_5,0.028778955727043882
Cd_6,0.043313083994949764
Zn_1,-0.0027032696604263307
Zn_2,-0.00679718159992786
Zn_3,-0.005841800382085156
Zn_4,0.0017802342036022433
Zn_5,0.008563462801200265
Zn_6,0.013978247054796163
Cu_1,0.0043090778968632535
Cu_2,0.00752607789522725
Cu_3,0.0163538141678817
Cu_4,0.023020744604545187
Cu_5,0.031127053589618932
Cu_6,0.04074182768978768
Pb_1,0.002038302368686492
Pb_2,0.011190327722507871
Pb_3,0.018719489652394432
Pb_4,0.016725511205762853
Pb_5,0.02433078781823831
Pb_6,0.03406833086662129
