,sanA
Cr_1,-0.015841036977672814
Cr_2,-0.023401236452625238
Cr_3,-0.028606988529996526
Cr_4,-0.03442698211105892
Cr_5,-0.042534348981628514
Cr_6,-0.04884121212217117
Fe_1,-0.023501927526273253
Fe_2,-0.04671777091419173
Fe_3,-0.06603445803621104
Fe_4,-0.08050099640425025
Fe_5,-0.07037487313110151
Fe_6,-0.057561812368740174
Cd_1,0.004294319502561625
Cd_2,0.006253368394425484
Cd_3,0.012430939188067066
Cd_4,0.015605490558790363
Cd_5,0.017918710928458315
Cd_6,0.026088452648069468
Zn_1,-0.048630153691798364
Zn_2,-0.06766968663661263
Zn_3,-0.06047910399773501
Zn_4,-0.05007465906904112
Zn_5,-0.0311864908091496
Zn_6,-0.01103080611262931
Cu_1,0.011240038520050014
Cu_2,0.02184384140588014
Cu_3,0.028263265578341957
Cu_4,0.03572212867882566
Cu_5,0.037864621851644034
Cu_6,0.04479936112220697
Pb_1,-0.001100749646744913
Pb_2,0.0007097578942715286
Pb_3,-0.00407551777308753
Pb_4,-0.011733406381357716
Pb_5,-0.024698013582661164
Pb_6,-0.023272729265446462
