locus,gene_weight,gene_name,gene_product,cog,regulator,RpoE,PlaR,Crp,IHF,link
b3576,0.3441222388747982,yiaL,DUF386 domain-containing protein YiaL,Carbohydrate transport and metabolism,"RpoD,PlaR,omrA,omrB,RpoE,IHF,Crp",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12280
b3575,0.3434262093036897,yiaK,2%2C3-diketo-L-gulonate reductase,Energy production and conversion,"RpoD,PlaR,YiaJ,RpoE,IHF,Crp",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12279
b3577,0.2857543740749198,yiaM,2%2C3-diketo-L-gulonate:Na(+) symporter - membrane subunit,Carbohydrate transport and metabolism,"RpoD,PlaR,RpoE,IHF,Crp",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12281
b3579,0.254323234878638,yiaO,2%2C3-diketo-L-gulonate:Na(+) symporter - periplasmic binding protein,Carbohydrate transport and metabolism,"RpoD,PlaR,RpoE,IHF,Crp",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12283
b3581,0.2505245660647828,sgbH,3-keto-L-gulonate-6-phosphate decarboxylase SgbH,Carbohydrate transport and metabolism,"RpoD,PlaR,RpoE,Crp,IHF",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12285
b3578,0.2283229946625973,yiaN,2%2C3-diketo-L-gulonate:Na(+) symporter - membrane subunit,Inorganic ion transport and metabolism,"RpoD,PlaR,RpoE,IHF,Crp",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12282
b3582,0.2254870899105909,sgbU,putative L-xylulose 5-phosphate 3-epimerase,Carbohydrate transport and metabolism,"RpoD,PlaR,RpoE,Crp,IHF",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12286
b3580,0.1843691203810313,lyxK,L-xylulose kinase,Carbohydrate transport and metabolism,"RpoD,PlaR,RpoE,Crp,IHF",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12284
b3583,0.1592552397069897,sgbE,L-ribulose-5-phosphate 4-epimerase SgbE,Carbohydrate transport and metabolism,"RpoD,PlaR,RpoE,Crp,ppGpp,IHF",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12287
b3574,-0.2047986432450677,plaR,DNA-binding transcriptional repressor YiaJ,Transcription,"RpoD,PlaR,YiaJ,IHF,Crp,Crp,IHF,PlaR,RpoD",False,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12278
