,A,PlaR,Crp,RpoE,ihfB
R2,,0.020857940365868077,0.01082765456496304,0.0019109543072783897,0.0
xmin,,-6.5268699980000005,-9.852476477,-1.5045065694999993,-2.3858350260000005
xmid,,,,2.209467544130536,
xmax,,0.9999572759999982,1.6003325529999994,4.026148923400429,1.6466498449999991
ystart,,2.037877532014254,-1.0512973937367676,0.8268752242592257,0.8158475829212216
yend,,0.3578100923529973,1.0784590171174289,-0.12185955884175703,0.8158475829212216
control__wt_glc__1,-0.2559060620751833,-0.060424185999999665,0.012478645999999928,-0.0180984844999994,0.08337238499999877
control__wt_glc__2,0.2559060620751716,0.060424185999999665,-0.012478645999999928,0.01809848450000029,-0.08337238500000055
fur__wt_dpd__1,-0.6120683951974745,0.012336588000001036,0.07757413100000042,1.6799141284999999,0.7158603249999995
fur__wt_dpd__2,-0.6582934248900639,-0.15501474300000062,-0.0906821709999992,1.8721906775000008,0.8566654449999991
fur__wt_fe__1,0.6042459943540058,-0.08070733400000041,-0.030513672999999738,0.05634871050000001,-0.0769950650000002
fur__wt_fe__2,0.2472273029272155,-0.031910115000000516,0.0581907200000007,0.03247298950000044,-0.08671744500000145
fur__delfur_dpd__1,0.1531425628526928,-0.16107571600000006,-0.10598198399999957,1.8852421845000011,0.6898034449999989
fur__delfur_dpd__2,0.0865124347378019,-0.1403633969999989,-0.22346684100000047,2.2885473535000003,0.621869414999999
fur__delfur_fe2__1,0.135789639520465,0.2833351239999997,0.4364299129999996,0.825044998500001,0.3658187149999996
fur__delfur_fe2__2,0.6584363708927456,0.20980080400000034,0.36756339300000107,0.8119283305000007,0.33581042499999825
acid__wt_ph5__1,-0.5077636431212366,0.05536951499999887,0.3455225730000002,1.3801301595000002,0.2842574349999989
acid__wt_ph5__2,-0.4331231305425285,0.112080740999998,0.34313646300000045,1.3659476374999997,0.3016573449999989
acid__delgadx_ph5__2,-1.2756934583102972,0.10391957499999993,0.3393877130000007,1.6935235095000003,0.03620512499999862
acid__delgadw_ph5__1,-0.4721749260369888,0.07805950499999881,0.3838637929999997,1.3510059774999998,0.19517709499999825
acid__delgadw_ph5__2,-0.5792900428010309,0.04662369499999919,0.3398617829999999,1.4930185214999998,0.1831834249999993
acid__delgade_ph5__1,-0.2448209892907907,-0.017943350999999552,0.432408723,1.2834220644999998,0.3321859449999991
acid__delgade_ph5__2,-0.1687594160266195,0.22173497799999972,0.4824361929999999,1.2782140675000004,0.2395609849999989
oxidative__wt_pq__1,1.0028293651536024,-0.24033792700000056,0.17662370300000066,1.8363188925,0.9466146249999988
oxidative__wt_pq__2,0.6237556694973708,-0.16190366900000086,0.24038529300000103,1.9161123275000005,0.948808184999999
oxidative__deloxyr_pq__1,0.0087278880270009,0.3030134019999995,0.5131550130000004,1.203835379500001,0.8749087249999992
oxidative__deloxyr_pq__2,0.0440320111858474,0.432786483000001,0.5363373029999998,1.3073953484999998,0.9672342149999996
oxidative__delsoxr_pq__1,-0.142943485510671,-0.08464089300000044,0.3346725330000009,1.4388277835000007,1.0713253449999982
oxidative__delsoxr_pq__2,0.4695154920687094,-0.06296599400000069,0.3870598730000001,1.3490506795000012,1.1682316949999991
oxidative__delsoxs_pq__1,-0.2753029358619406,0.020981136999999702,0.5134629630000003,2.031289665500001,1.1351437949999994
oxidative__delsoxs_pq__2,0.3106492984681779,-0.14040053300000022,0.5104807529999995,2.0190356855000005,1.020138574999999
nac_ntrc__wt_csn__1,0.1996357896151313,0.31262668899999996,-0.0727968299999997,1.4478974045000008,0.17254414499999982
