,-0.2005990397421314,-0.16716586645177617,-0.13373269316142095,-0.10029951987106572,-0.0668663465807105,-0.03343317329035528,-5.551115123125783e-17,0.03343317329035517,0.06686634658071039,0.10029951987106561,0.13373269316142083,0.16716586645177606,0.20059903974213128,0.2340322130324865,0.2674653863228417,0.30089855961319695,0.33433173290355217,0.3677649061939074,0.4011980794842626,0.43463125277461784
thresh,-0.1170161065162433,0.1170161065162433,9,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,0,121,3222,115,2,0,0,0,0,0,0,0,0,0,0,0
RpoE,0,0,0,0,0,3,106,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp,0,0,0,0,0,12,429,21,0,0,0,0,0,0,0,0,0,0,0,0
IHF,0,0,0,0,0,11,128,6,0,0,0,0,0,0,0,0,0,0,0,0
RpoE and Crp,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp and IHF,0,0,0,0,0,1,60,3,0,0,0,0,0,0,0,0,0,0,0,0
"PlaR, Crp, and IHF",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RpoE, Crp, and IHF",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"RpoE, PlaR, Crp, and IHF",0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,2,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
RpoE_genes,[],[],[],[],[],['yiiS' 'degP' 'uspD'],"['ydhI' 'yghF' 'ecpR' 'rrrD' 'waaC' 'cca' 'fkpA' 'wzc' 'yicJ' 'bamE'
 'sbmA' 'waaL' 'ydhJ' 'pdxA' 'yfeX' 'ptsN' 'malQ' 'fabZ' 'yfeY' 'surA'
 'lptD' 'rclC' 'yieE' 'fadM' 'sixA' 'yaiW' 'prfB' 'yeaY' 'rclB' 'plsB'
 'yraP' 'bamC' 'apaH' 'lptA' 'recJ' 'bamB' 'opgH' 'der' 'yqjA' 'mscM'
 'lpxA' 'bamD' 'ibaG' 'mzrA' 'opgG' 'rsmA' 'waaF' 'lptB' 'rpoN' 'lhr'
 'bacA' 'bepA' 'ytfJ' 'rfaD' 'insK' 'clpX' 'tufA' 'fusA' 'rpoD' 'yfeK'
 'dnaE' 'yidQ' 'rapZ' 'essD' 'ydiV' 'psd' 'bamA' 'ftnB' 'yicI' 'rseP'
 'rutR' 'rclA' 'yfgD' 'ydhK' 'hpf' 'narW' 'ybfG' 'dsbC' 'skp' 'recR'
 'lpxD' 'hcr' 'rnlB' 'hcp' 'yoaC' 'yfeS' 'lpxP' 'yieF' 'apaG' 'lpxB' 'lon'
 'gspB' 'narV' 'rnhB' 'wzb' 'eptB' 'yggN' 'ybaB' 'gspA' 'phoQ' 'yhjJ'
 'wza' 'rzpD' 'greA' 'ahpF' 'ygiM']",[],[],[],[],[],[],[],[],[],[],[],[],[]
Crp_genes,[],[],[],[],[],"['ansB' 'glpD' 'fur' 'caiF' 'psuK' 'srlB' 'entB' 'entC' 'ugpA' 'gntT'
 'uxaB' 'lacA']","['ugpB' 'gcvT' 'glpK' 'hofO' 'ugpQ' 'proP' 'mhpC' 'ugpC' 'ycdZ' 'chbC'
 'ugpE' 'nagE' 'ntrC' 'cytR' 'glpE' 'oxyR' 'sgcQ' 'gntK' 'sgcE' 'glnL'
 'gcvP' 'nanC' 'hupA' 'araE' 'dctA' 'gatY' 'hyfF' 'bglF' 'aaeB' 'aegA'
 'mglA' 'puuB' 'psiE' 'puuC' 'gadB' 'galS' 'patZ' 'mazE' 'speC' 'gadC'
 'pck' 'mokB' 'sgcR' 'acnB' 'prpR' 'hlyE' 'ilvN' 'ppdD' 'preA' 'gcvH'
 'melA' 'manY' 'mglB' 'glpX' 'mlc' 'aaeA' 'uxaA' 'fumC' 'mpl' 'cyaA'
 'glpF' 'caiC' 'lsrA' 'idnT' 'modC' 'fucO' 'zraS' 'fucK' 'xylE' 'malM'
 'xylG' 'entH' 'srlD' 'yaeQ' 'idnK' 'entA' 'treC' 'infB' 'lamB' 'hicA'
 'pnp' 'idnD' 'umpH' 'galP' 'preT' 'sohB' 'fixA' 'rhaA' 'fucI' 'ychH'
 'dcuA' 'lsrK' 'malF' 'chbF' 'manZ' 'chbG' 'fecD' 'hyfH' 'gpsA' 'hyfR'
 'lsrD' 'rspB' 'hyfB' 'gatZ' 'prpE' 'caiE' 'relA' 'btsT' 'malK' 'mhpF'
 'lsrR' 'cyoD' 'rpsI' 'araH' 'ygcW' 'srlA' 'araG' 'glpG' 'fucA' 'nagC'
 'hyfG' 'rhaB' 'nusA' 'nagA' 'cpdB' 'melR' 'mhpE' 'gyrA' 'melB' 'raiA'
 'modA' 'aldA' 'agp' 'yfaE' 'priB' 'dgoA' 'galK' 'serC' 'yjhG' 'cyoB'
 'hyfC' 'agaV' 'mglC' 'sdhB' 'acnA' 'manX' 'trxA' 'nagB' 'malG' 'sgcA'
 'ilvB' 'guaA' 'rof' 'agaW' 'dadX' 'nlpE' 'chiP' 'dgoD' 'sgcC' 'rplM'
 'araA' 'comR' 'focB' 'aaeX' 'lacI' 'chiQ' 'cyoE' 'rimP' 'rpsF' 'chbR'
 'ebgA' 'hofC' 'exuT' 'aaeR' 'idnR' 'puuR' 'fbaA' 'malS' 'ybiT' 'gntU'
 'yahN' 'lpd' 'gabD' 'ubiG' 'cdd' 'uxuA' 'rbsB' 'entD' 'cstA' 'srlR'
 'dpiA' 'arfB' 'xylH' 'guaB' 'puuE' 'yqeF' 'gadA' 'araF' 'dgoT' 'araD'
 'sdhA' 'modB' 'udp' 'deoC' 'tnaA' 'mtlA' 'csqR' 'sfsA' 'aceE' 'ygeW'
 'casE' 'glnA' 'xylA' 'metK' 'rpsR' 'manA' 'malT' 'ppiA' 'gabT' 'truB'
 'yhgH' 'cas1' 'mhpD' 'citC' 'abgR' 'nadC' 'dksA' 'glpR' 'cspD' 'mazF'
 'araC' 'rbfA' 'rplI' 'hicB' 'gutQ' 'fecB' 'ascB' 'treB' 'nanT' 'nanK'
 'lacY' 'aspA' 'csiE' 'xylR' 'trg' 'chbB' 'dadA' 'cspE' 'pdhR' 'rihA'
 'yhfA' 'hupB' 'galT' 'tnaB' 'gabP' 'gatA' 'citE' 'hflK' 'ldtB' 'uxuB'
 'malY' 'pncB' 'ampE' 'ompW' 'aceF' 'xylB' 'hyfJ' 'hflC' 'marR' 'nrdB'
 'bglG' 'lacZ' 'sdhD' 'ynfK' 'hfq' 'gntP' 'lsrG' 'fecE' 'feaB' 'rhaS'
 'secB' 'deoA' 'mdh' 'casC' 'galM' 'glcC' 'murP' 'lhgO' 'srlE' 'hofB'
 'bglB' 'crp' 'araJ' 'glgS' 'lsrB' 'ompA' 'ygeA' 'caiB' 'lsrF' 'narQ'
 'dcuR' 'fucP' 'entE' 'hyfI' 'citF' 'marA' 'fixC' 'yjhH' 'serA' 'grpE'
 'pgk' 'cyoC' 'idnO' 'uxaC' 'ptsG' 'zraR' 'hflX' 'nanM' 'caiA' 'uxuR'
 'dgoR' 'fucR' 'fadD' 'murQ' 'fucU' 'gatC' 'hofM' 'ampD' 'rbsD' 'araB'
 'uidC' 'nanE' 'galE' 'tam' 'nupC' 'aroA' 'puuD' 'caiD' 'rbsA' 'fadH'
 'csiD' 'ptsI' 'yaeP' 'exuR' 'malI' 'lsrC' 'crr' 'glpC' 'dsdA' 'malX'
 'gadE' 'prpB' 'cas3' 'aldB' 'rbsR' 'ascF' 'rhaT' 'dpiB' 'deoB' 'xseA'
 'casD' 'yeiP' 'agaA' 'glgP' 'fadL' 'psuG' 'nupG' 'rbsK' 'fepA' 'yjhI'
 'dgoK' 'hyfD' 'mtlR' 'rpoS' 'uidA' 'rbsC' 'xylF' 'nanS' 'mhpA' 'nrdA'
 'fixB' 'sgcX' 'hofN' 'mtlD' 'rpsO' 'rhaR' 'yhcH' 'glpA' 'rmf' 'argG'
 'gapA' 'ebgC' 'gatB' 'deoD' 'cirA' 'feaR' 'uidB' 'prpD' 'fumA' 'gadX'
 'lgoD' 'dsdX' 'mdtF' 'chbA' 'glgA' 'hyfA' 'prpC' 'ortT' 'ptsH' 'fiu'
 'marB' 'casB' 'putP' 'mhpB' 'aer' 'caiT' 'cas2' 'hofP' 'sbmC' 'gatD'
 'rhaD' 'rspA' 'sdhC' 'nfuA' 'cyoA' 'fixX' 'nanA' 'fecC' 'glgC']","['kbaZ' 'mhpR' 'glpB' 'mdtE' 'sgcB' 'casA' 'citG' 'tsx' 'malE' 'ykgR'
 'fumB' 'gdhA' 'hyfE' 'epd' 'gutM' 'citX' 'grcA' 'uhpT' 'dcuB' 'fecA'
 'yeiW']",[],[],[],[],[],[],[],[],[],[],[],[]
IHF_genes,[],[],[],[],[],"['nrfA' 'yjbF' 'ilvA' 'cysH' 'nrfB' 'glnP' 'glnQ' 'atoD' 'ilvE' 'ilvD'
 'hycE']","['ubiA' 'narJ' 'nrfE' 'nrfF' 'cysI' 'pstS' 'carA' 'tyrP' 'fimB' 'narI'
 'glnH' 'mtr' 'pspB' 'hypA' 'hycD' 'fimD' 'sra' 'narH' 'hycH' 'fimH'
 'fimG' 'pspE' 'ibpB' 'pstB' 'hycG' 'atoB' 'hypE' 'fimI' 'ssuA' 'ompC'
 'hypD' 'nrfC' 'pstC' 'yjbG' 'fimA' 'fimC' 'prmC' 'glcD' 'glcE' 'carB'
 'yeiL' 'hycA' 'yjbE' 'dppC' 'pstA' 'hypB' 'narK' 'hemF' 'fimF' 'glcA'
 'adiA' 'nuoI' 'proW' 'ndh' 'nuoF' 'nrfG' 'nuoB' 'sufE' 'hycB' 'fhlA'
 'dppA' 'dppF' 'uspA' 'nrfD' 'pspG' 'amiA' 'hemA' 'nuoH' 'sufS' 'hycF'
 'ihfA' 'dppD' 'hipA' 'ssuB' 'prfA' 'pspC' 'yjbH' 'rtcA' 'proV' 'hipB'
 'dppB' 'ulaG' 'yadV' 'nuoE' 'nuoJ' 'sufB' 'glcF' 'sufD' 'nuoA' 'htrE'
 'hycI' 'nuoG' 'norW' 'phoU' 'atoE' 'ihfB' 'proX' 'fliA' 'nuoL' 'tcyJ'
 'rtcB' 'cysJ' 'ilvG' 'fliZ' 'dps' 'hycC' 'glcB' 'sufC' 'nuoC' 'sufA'
 'uspB' 'norV' 'folA' 'fnr' 'patA' 'dcuD' 'ssuE' 'osmE' 'hypC' 'pspA'
 'nuoM' 'nuoK' 'atoA' 'ssuD' 'nuoN' 'narG' 'ilvM' 'glcG']",['pspD' 'ssuC' 'ubiC' 'dmsC' 'dmsA' 'dmsB'],[],[],[],[],[],[],[],[],[],[],[],[]
RpoE and Crp_genes,[],[],[],[],[],[],['lgoR' 'bhsA'],[],[],[],[],[],[],[],[],[],[],[],[],[]
