locus,comp,gene_name,product,operon,TF,PerR,link
USA300HOU_RS11550,0.224631387,dpS,DNA starvation/stationary phase protection protein,dpS,PerR,True,
USA300HOU_RS02020,0.170788025,ahpC,alkyl hydroperoxide reductase subunit C,"ahpF,ahpC",PerR,True,
USA300HOU_RS02015,0.164909344,ahpF,alkyl hydroperoxide reductase subunit F,"ahpF,ahpC",PerR,True,
USA300HOU_RS10275,0.124187204,ftnA,non-heme ferritin,ftnA,"PerR, Fur",True,
USA300HOU_RS04245,-0.11028996,,hypothetical protein,,,False,
USA300HOU_RS13875,-0.150366826,,hypothetical protein,,"VraR, VraS2, WalR",False,
