,A,PerR
R2,,0.3181362716646504
xmin,,5.9779206839
xmid,,10.309574172298511
xmax,,11.18981788
ystart,,-3.093596772507283
yend,,8.107524163690869
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,2.77267391,9.2966026453
USA300_LAC_U01-Set001_CAMHB_Control_1,-0.240457365,9.4089704617
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,0.09847776800000001,9.3422117499
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,0.331010643,9.3229995979
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,-0.535780825,9.7048564104
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,1.989073108,9.3262154593
USA300_LAC_U01-Set001_CAMHB_Control_2,0.240457365,9.3389228397
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,1.120152841,9.200356862
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,-0.28150371500000004,9.3714105951
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,-1.1339400880000001,9.6160643148
USA300_TCH1516_U01-Set000_CAMHB_Control_1,0.411303287,8.8549081286
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,1.833969924,8.3081191808
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,1.016040866,8.5956592469
USA300_LAC_U01-Set001_R10LB_PreCulture_1,0.788126674,10.2960406326
USA300_LAC_U01-Set001_R10LB_PreCulture_2,0.621067039,10.2282281487
USA300_LAC_U01-Set001_R10LB_Control_1,4.077704205,10.838128877
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,3.838912089,10.9979484783
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,2.309484028,10.6877224773
USA300_LAC_U01-Set001_R10LB_Control_2,3.859029653,10.6134847885
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,3.698944415,10.8988640378
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,2.421878766,10.780379021
USA300_TCH1516_U01-Set000_R10LB_Control_1,-5.849012819,9.8394934523
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,-4.913372649,10.2715653622
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,-5.103390464,10.131110201
USA300_TCH1516_U01-Set000_R10LB_Control_2,-6.222759756,9.7902919212
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,-4.20264963,10.1965076292
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,-4.857343359,10.3210489615
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,-3.133379721,7.3091990505
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,-2.583537317,7.2266803606
USA300_TCH1516_U01-Set000_CAMHB_Control_2,-0.411303287,8.4360249504
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,1.303940932,8.348177576
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,0.5595774090000001,8.1499111561
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,-3.649272828,8.4060960575
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,-3.033491451,8.5283564291
USA300_LAC_U01-Set004_CAMHB_Control_1,-0.869576717,10.092551609
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,-0.288675932,10.3069011567
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,0.23931041300000003,10.3191262852
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,6.907517441,11.0506514466
USA300_LAC_U01-Set004_CAMHB_Control_2,-0.8656140640000001,10.2302033861
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_2,-1.6765962939999999,10.1227719579
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_2,0.888793068,10.3293578337
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_2,6.654131063,10.9670576724
USA300_LAC_U01-Set004_R10LB_Control_1,1.395656193,10.2528169472
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_1,0.715533965,10.9949661011
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_1,-0.7925573300000001,10.9069778827
USA300_LAC_U01-Set004_R10LB_Control_2,1.781656101,10.284438186
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_2,0.596812585,10.9175779383
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_2,-0.398768279,10.7382099703
