,Value,list
TF,PerR,
reg_genes,17,"['USA300HOU_RS04535' 'USA300HOU_RS09795' 'USA300HOU_RS06785'
 'USA300HOU_RS04520' 'USA300HOU_RS08010' 'USA300HOU_RS09785'
 'USA300HOU_RS10095' 'USA300HOU_RS04525' 'USA300HOU_RS04530'
 'USA300HOU_RS04515' 'USA300HOU_RS10105' 'USA300HOU_RS09790'
 'USA300HOU_RS10100']"
comp_genes,6,['USA300HOU_RS13875' 'USA300HOU_RS04245']
both_genes,4,"['USA300HOU_RS02015' 'USA300HOU_RS02020' 'USA300HOU_RS11550'
 'USA300HOU_RS10275']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,11,
comp_ops,4,
both_ops,3,
