gene_id,USA300HOU_RS14920
name,<i> Not Available </i>
operon,<i> Not Available </i>
product,hypothetical protein
cog,<i> Not Available </i>
regulator(s),
link,"<a href=""https://aureowiki.med.uni-greifswald.de/SAUPAN000098000"">AureoWiki</a>"
