,-0.2213198338137986,-0.19181052263862547,-0.16230121146345233,-0.1327919002882792,-0.10328258911310606,-0.07377327793793292,-0.04426396676275979,-0.014754655587586651,0.014754655587586485,0.04426396676275962,0.07377327793793276,0.1032825891131059,0.13279190028827903,0.16230121146345217,0.1918105226386253,0.22131983381379844,0.2508291449889716,0.28033845616414477,0.30984776733931785,0.33935707851449093
thresh,-0.08852793352551944,0.08852793352551944,21,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,0,2,29,1611,1419,23,1,0,0,1,0,0,0,0,0,0
RpoS,0,0,0,0,0,1,1,96,88,3,0,0,0,0,0,0,0,0,0,0
GadX,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0
GadE,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0
ppGpp,0,0,0,0,0,3,4,358,387,13,1,0,0,0,0,0,0,0,0,0
RpoS and GadX,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
RpoS and FliZ,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0
RpoS and GadE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
RpoS and ppGpp,0,0,0,0,0,0,2,41,54,6,1,1,0,0,0,0,0,0,0,0
GadX and ppGpp,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
GadX and GadW,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FliZ and ppGpp,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
GadE and ppGpp,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
"RpoS, GadX, FliZ, GadE, ppGpp, and GadW",1,0,1,0,0,0,0,1,1,0,0,2,0,0,2,0,0,0,0,0
"GadX, ppGpp, and GadW",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RpoS, GadX, GadE, and ppGpp",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"RpoS, FliZ, and ppGpp",0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
"RpoS, GadE, and ppGpp",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"RpoS, GadX, GadE, ppGpp, and GadW",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"RpoS, GadX, and ppGpp",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"RpoS, GadX, ppGpp, and GadW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],['cnu'],[],[],[],[],[],[]
RpoS_genes,[],[],[],[],[],['fumC'],['dkgB'],"['murQ' 'pphA' 'sucA' 'actP' 'evgA' 'ydhY' 'ydbK' 'ydcS' 'yffP' 'artP'
 'ydcU' 'ravA' 'astE' 'pqiB' 'ynfF' 'dhaM' 'baeS' 'yhfG' 'puuP' 'baeR'
 'ilvY' 'insC-5' 'rhaR' 'yafP' 'htrE' 'ompF' 'astC' 'yciE' 'ddpC' 'mutS'
 'eno' 'mdtB' 'pqiC' 'insN' 'gapA' 'pstB' 'glk' 'luxS' 'bsmA' 'dinB'
 'envC' 'mdtD' 'ynfG' 'hofM' 'puuC' 'fbaA' 'yjcH' 'crr' 'ldcC' 'gpmA'
 'mdtC' 'appY' 'ddpX' 'dmsD' 'viaA' 'lsrA' 'pgi' 'insD-5' 'ihfA' 'ydcT'
 'gpmM' 'pgk' 'lpd' 'astA' 'dgcC' 'ytfK' 'puuE' 'ygiB' 'rpoH' 'puuR' 'fau'
 'pykF' 'fic' 'acs' 'puuB' 'ybiI' 'pstC' 'yciZ' 'mpl' 'pfkA' 'aceE' 'astB'
 'dhaL' 'rseD' 'tpiA' 'rssA' 'yqiH' 'galK' 'ydhV' 'ynfH' 'patD' 'topA'
 'lsrC' 'hyaF' 'tolC' 'alkB']","['phoU' 'ada' 'artI' 'xapA' 'sohB' 'mtn' 'speB' 'ihfB' 'pfkB' 'btuF'
 'yafN' 'cpxR' 'yibQ' 'aldB' 'asr' 'lsrB' 'xthA' 'araG' 'ynfE' 'znuA'
 'pykA' 'pstA' 'gyrB' 'murP' 'mdtA' 'epd' 'gor' 'hyaB' 'rraA' 'rhaS'
 'frdC' 'araH' 'hyaE' 'ddpD' 'ddpB' 'ppx' 'lsrD' 'sucB' 'metK' 'lsrG'
 'astD' 'adhE' 'ygiC' 'cpxA' 'pdeC' 'dhaK' 'sucC' 'galM' 'yddG' 'aceF'
 'lsrF' 'ydhX' 'ppk' 'yciG' 'ydbD' 'yhjG' 'ymjE' 'mglB' 'proP' 'frdD'
 'yciF' 'sucD' 'yciT' 'yffO' 'galE' 'btsT' 'ddpA' 'pdhR' 'xapB' 'yqiI'
 'hyaA' 'oxyR' 'galT' 'hyaC' 'araF' 'frdB' 'hofO' 'ddpF' 'hyaD' 'hofN'
 'ompN' 'frdA' 'blr' 'ydhW' 'csiE' 'ydhU' 'ydhT' 'yafO']",['nhaR' 'appC' 'appB'],[],[],[],[],[],[],[],[],[],[]
GadX_genes,[],[],[],[],[],[],[],['ydeN' 'murI' 'lon' 'ydeM' 'dtpA' 'btuB'],['cadB' 'hns' 'glnK' 'amtB'],[],[],[],[],[],[],[],[],[],[],[]
GadE_genes,[],[],[],[],[],[],[],['fabZ' 'skp' 'purA' 'lpxD' 'rcsA' 'cyoD' 'lpxA' 'cyoC'],['cyoA' 'cyoB' 'gnd' 'fliC' 'cyoE'],[],[],[],[],[],[],[],[],[],[],[]
