,A,GadE,GadX,GadW,FliZ,RpoS
R2,,0.40857340919800733,0.3294040120783752,0.30771839161705905,0.15317904377015834,0.05853738305880152
xmin,,-10.6456861873,-9.8758005074,-7.983339262,-7.7701512291,-8.919357295
xmid,,-3.7870081920056338,-3.503881135069248,-1.8719068709452875,-2.9488175490314275,0.7574974931665535
xmax,,8.414435029,6.3348834177,5.316441055,7.4908694885,4.1241387708
ystart,,-3.2500703381368616,-3.9893806276194064,-2.8540678739325824,1.330760609912549,-0.966918929148336
yend,,7.498628085445624,7.068130798877485,6.842467194891335,-4.82571366088321,5.474230700577163
aat__00m_00s__1,0.46432026330000004,0.0621393482,-0.12482847,-0.060934301,-0.43579520190000004,0.12389400360000001
aat__00m_30s__1,1.3095050847,-0.0775836905,-0.2006028142,-0.21450649870000002,-0.5382080575,0.0917269352
aat__01m_00s__1,1.3170383946,-0.3037116648,-0.453886748,-0.3494689643,-0.4823932846,0.2668871882
aat__02m_00s__1,1.6391351795,-0.6782840429,-0.5297956462,-0.4113986553,-0.16600564140000001,0.6346371772
aat__05m_00s__1,1.0809675544,-1.4889721360000001,-0.9186168223000001,-0.7466130893,-0.10728578300000001,0.7311205703
aat__10m_00s__1,0.2780610533,-2.4019165461,-1.090569979,-0.8276321425000001,-0.5209684572000001,0.047843636
aat__00m_00s__2,0.2772020904,0.041719227000000005,0.168993417,-0.0400976885,0.045775212100000004,-0.011411859
aat__00m_30s__2,-0.2075766063,-0.424849611,-0.0410269929,-0.1383482034,-0.5175268041000001,0.1487334191
aat__01m_00s__2,0.3633514197,-0.44893103030000003,-0.3590915656,-0.3404777443,-0.36882859300000004,0.5719214457
aat__02m_00s__2,0.9899860468,-1.0487204906,-0.6117241531000001,-0.4329814007,-0.1727245725,0.7703039475
aat__05m_00s__2,0.7031783426,-1.6855790384,-0.8113224360000001,-0.7615936194,-0.2567759103,0.9491057834000001
aat__10m_00s__2,-0.5969148656000001,-1.4300344111,-0.3007966758,-0.4184312479,-0.7357566647,0.7949646441
aat__00m_00s__3,-0.7415223537000001,-0.1038585752,-0.044164947,0.1010319895,0.3900199898,-0.1124821446
aat__00m_30s__3,-0.3943938141,0.0621604285,-0.0560384067,-0.18504000180000002,0.6252236095,0.0485519624
aat__01m_00s__3,0.1864907678,-0.19929222430000001,-0.3621821525,-0.3245291436,0.5601646057,0.2451175693
aat__02m_00s__3,-0.027703975000000002,-0.3393068897,-0.256270286,-0.2932593882,0.9582005801000001,0.5595453177
