,yaiB
Cr_1,0.003344804359970557
Cr_2,0.009590987906037496
Cr_3,0.018819430991106587
Cr_4,0.02714928211276987
Cr_5,0.03171052337860866
Cr_6,0.03605484152771673
Fe_1,-0.01294363088237564
Fe_2,-0.042575957364845006
Fe_3,-0.08777687088639298
Fe_4,-0.14156408825998967
Fe_5,-0.18886360840287075
Fe_6,-0.22827655834446006
Cd_1,0.025592968858132014
Cd_2,0.054435416882010416
Cd_3,0.08597728955382779
Cd_4,0.1139607664878242
Cd_5,0.13910751747432248
Cd_6,0.16148875487385864
Zn_1,-0.02216399085449221
Zn_2,-0.04751033377634208
Zn_3,-0.06592637589877327
Zn_4,-0.07393269251404554
Zn_5,-0.07968000015898319
Zn_6,-0.08440938464772905
Cu_1,0.007514216081413505
Cu_2,0.015172207422346097
Cu_3,0.022347463822809364
Cu_4,0.02653625865472634
Cu_5,0.0340584657421894
Cu_6,0.04131245284684286
Pb_1,0.013058202224985292
Pb_2,0.028282135048846586
Pb_3,0.04447050375723871
Pb_4,0.05536289931562583
Pb_5,0.06335682561723541
Pb_6,0.07446033704279284
