,A,Fnr,ihfB
R2,,0.016295545570659487,0.013492965928271206
xmin,,-2.574525767,-2.385835026
xmid,,-1.829498496841701,0.2506942258138779
xmax,,2.044364118,1.646649845
ystart,,-0.3474647097762915,0.9387648713667629
yend,,3.099080607092191,-1.3632554969904054
control__wt_glc__1,-0.1238769445,-0.052632,0.08337238500000001
control__wt_glc__2,0.1238769445,0.052632,-0.08337238500000001
fur__wt_dpd__1,-4.7698307944,-0.22332754900000001,0.7158603250000001
fur__wt_dpd__2,-5.2878122001,-0.207263208,0.8566654450000001
fur__wt_fe__1,-0.23265362480000001,-0.5591243690000001,-0.076995065
fur__wt_fe__2,-0.2161471715,-0.518033721,-0.086717445
fur__delfur_dpd__1,-4.4783287299,-0.358693874,0.689803445
fur__delfur_dpd__2,-4.4442305013,-0.349967695,0.621869415
fur__delfur_fe2__1,-5.9014231426,-0.27282969900000004,0.365818715
fur__delfur_fe2__2,-5.9027886686,-0.26540585,0.335810425
acid__wt_ph5__1,0.17489987270000001,-0.524846931,0.284257435
acid__wt_ph5__2,0.2115008799,-0.539491976,0.301657345
acid__delgadx_ph5__2,0.5519935658,-0.480809823,0.036205125000000005
acid__delgadw_ph5__1,0.0998444315,-0.5694477410000001,0.19517709500000002
acid__delgadw_ph5__2,-0.1020886196,-0.545782447,0.183183425
acid__delgade_ph5__1,0.6918264273,-0.49659595500000003,0.33218594500000004
acid__delgade_ph5__2,0.5866046035,-0.5235996460000001,0.239560985
oxidative__wt_pq__1,-6.3172751221,-0.277983604,0.946614625
oxidative__wt_pq__2,-6.4924711633,-0.403604734,0.9488081850000001
oxidative__deloxyr_pq__1,-4.1258148828,-0.117314808,0.874908725
oxidative__deloxyr_pq__2,-4.2224968906,-0.052995724,0.9672342150000001
oxidative__delsoxr_pq__1,-5.7881401111,-0.46957113400000006,1.071325345
oxidative__delsoxr_pq__2,-5.8609757427,-0.475574296,1.168231695
oxidative__delsoxs_pq__1,-6.6152925341,-0.138763319,1.135143795
oxidative__delsoxs_pq__2,-6.4956652483,-0.142115652,1.020138575
nac_ntrc__wt_csn__1,1.4595729151,-0.158711963,0.172544145
nac_ntrc__wt_csn__2,1.2807573478,-0.20401648900000002,0.213025175
nac_ntrc__wt_cytd__1,2.6145230835,-0.22330206500000002,0.457530655
nac_ntrc__wt_cytd__2,2.4724139956,-0.148782092,0.597994515
nac_ntrc__wt_gln__1,1.8849967386,-0.133928986,1.040972635
nac_ntrc__wt_gln__2,2.2487370376,-0.07252378100000001,1.115534085
nac_ntrc__bw_delnac_csn__1,-3.1841151146,-0.17298681200000002,0.215499185
nac_ntrc__bw_delnac_csn__2,-1.9893997683,-0.207335707,-0.16648385500000001
nac_ntrc__bw_delnac_cytd__1,0.7757038637,-0.39908493100000003,0.46454559500000003
nac_ntrc__bw_delnac_cytd__2,1.1676978131,-0.458070531,0.423041565
nac_ntrc__bw_delnac_gln__1,-1.2336241989,-0.387752121,0.8464916450000001
nac_ntrc__bw_delnac_gln__2,-1.7442835680000002,-0.318289392,0.8042016750000001
nac_ntrc__bw_delnac_nh4__1,2.9699693942,-0.40746298400000003,-0.302034215
nac_ntrc__bw_delnac_nh4__2,3.2399935247,-0.431925496,-0.19284083500000002
misc__wt_no_te__1,-4.3162219003,-0.574722853,0.868944275
misc__wt_no_te__2,-3.3004812392,-0.434576408,0.509379655
misc__bw_delcbl__1,3.1773893374,-0.544797561,-0.339403675
misc__bw_delcbl__2,2.6353606825,-0.510121476,-0.297203465
misc__bw_delfabr__1,4.0864810969,-0.54688357,-0.6204796650000001
misc__bw_delfabr__2,3.8387953488,-0.5969020620000001,-0.5922961330000001
misc__bw_delfadr__1,1.8236362532000001,-0.631839469,-0.26224984500000004
misc__bw_delfadr__2,1.7114496959,-0.5991148660000001,-0.136506935
misc__nitr_031__1,2.6150347657,-0.44621574300000005,0.036167395000000005
omics__wt_glu__1,1.1317710048,0.683629718,-0.13827825500000002
omics__wt_glu__2,1.3668613453,0.7885854680000001,-0.251474605
omics__wt_gly__1,0.5653038353000001,0.206760041,-0.8723242170000001
omics__wt_gly__2,0.5481249629,0.183314323,-0.871424807
omics__wt_thr__1,1.0139656172,-0.542585261,-0.185728995
omics__wt_thr__2,0.5078546561,-0.607156115,-0.34076356500000005
omics__bw_ac__1,2.268901451,0.045715161000000004,0.647908585
omics__bw_ac__2,1.6203277205000002,0.09762738400000001,0.605473425
omics__bw_fum__1,2.8492534879,-0.18848155800000002,0.018456405000000002
omics__bw_fum__2,3.8886110339,-0.242270962,-0.006356255000000001
omics__bw_glc__1,0.7839266606,-0.234511247,0.164126605
omics__bw_glc__2,0.5601961767,-0.20882609800000002,0.15512309500000002
omics__bw_pyr__1,4.5331857473,0.087242941,0.644921705
omics__bw_pyr__2,3.9750587196,0.022124095,0.659472645
ompr__wt_nacl__1,-4.7021961708,-0.769651592,0.277552005
ompr__wt_nacl__2,-4.6112694516,-0.646367331,0.08413458500000001
ompr__bw_delompr_nacl__1,-2.6420034804,-1.035417797,0.009492215
ompr__bw_delompr_nacl__2,-2.7184873264,-0.98364399,-0.13246892500000002
minspan__wt_ade__1,1.6262854175,-0.57964238,0.323090545
minspan__wt_glc__2,0.7933756415000001,-0.946672155,-0.0050519250000000005
minspan__wt_glc__3,0.7939073382,-0.70245124,0.045105535
minspan__wt_glc__4,1.5530230296,-0.6560544730000001,-0.07972467500000001
minspan__wt_glc_anaero__1,4.2636823127,-1.37524121,-0.17243101500000002
minspan__wt_glc_anaero__2,4.7198254015,-1.519285843,-0.170063665
minspan__wt_trp__1,0.9587218906,-1.857965349,0.631325145
minspan__bw_delcra_glc__2,1.8098739508000001,-1.7740696470000001,0.5065485750000001
minspan__bw_delcra_trp__1,1.8594109578,-1.679262271,0.906130685
minspan__bw_delmntr__1,3.064752742,-1.5296943330000001,0.004072415
minspan__bw_delnac_ade__1,1.8935218465,-0.241030033,0.073518865
minspan__bw_delnac_glc__1,2.8637487389,-0.724032275,0.12347822500000001
cra_crp__wt_ac__1,2.3655411754,0.563029258,-0.30622956500000004
cra_crp__wt_ac__2,2.5868586422,0.5452901480000001,-0.352816565
cra_crp__wt_fru__1,3.3177799848,0.5749984380000001,-0.26311180500000003
cra_crp__wt_fru__2,2.2470862961,0.562240048,-0.088390225
cra_crp__delcra_ac__1,-4.6677127455,-0.350516384,0.08919740500000001
cra_crp__delcra_ac__2,-4.8506893184,-0.297698038,0.021087685000000002
cra_crp__delcra_fru__1,-0.6986886031,-0.48628780600000004,0.279636635
cra_crp__delcra_fru__2,-0.5435965654,-0.53814686,0.32569436500000004
cra_crp__delcra_glc__1,1.0931718521,-0.5029783950000001,-0.027273645000000003
cra_crp__delcra_glc__2,1.3089164153000001,-0.572787414,-0.13678458500000001
rpoB__wt_031__1,2.2462796297,-0.43926326200000004,-0.018986005
rpoB__wt_044__1,1.742774794,-0.355462483,-0.16863898500000002
rpoB__wt_lb__1,3.4593014712,-0.431275444,0.377391115
