,A,CsgD,ihfB,MlrA,MqsA,CpxR,RstA,hns,BtsR,FliZ,Cra,rcsB,OmpR,BasR,Crp,RcdA
R2,,0.9253469360083425,0.30706318630199125,0.2720404854181644,0.1205734740317772,0.08296186143568685,0.08085121799349426,0.07296304195710368,0.06935943642874931,0.0515427650818695,0.03458381295816848,0.024976559745523375,0.022680502773700373,0.022503081936117386,0.008752833548848593,0.003773437863311857
xmin,,-6.009046678,-2.385835026,-4.383892915,-2.9400867125000003,-8.11516967,-3.2572300145,-1.997976621,-4.8343927655000005,-2.1896761165,-7.2746930645,-8.931931499000001,-7.3287963615,-2.432550671,-9.852476477,-2.1774955545
xmid,,-4.905175173986374,,,,-3.9245097700830263,,0.3268692750708756,-0.10773792369990941,0.3205729387848337,0.13758289921340638,,,1.7641095036954366,,2.957712762477402e-05
xmax,,3.544520973,1.646649845,2.896931835,3.4520734315,1.489093841,3.4919983735,2.38016355,2.0558524395,7.1670466815000005,2.0021776035,1.9262978510000002,2.2841397175,2.112470233,1.6003325529999999,2.1948871245
ystart,,-12.471420336757967,-11.602047056158082,-8.119593314395644,-9.239912312699385,-9.600559412140388,-7.5778932723408445,-2.0818536605983207,-1.9352513267997506,-1.9371382434776532,-2.461616758233809,-11.224235219191778,-9.236409568294894,-2.662933785322572,0.9565574280491833,-2.5640377703881945
yend,,8.484114319788972,3.214596595172681,3.2146335217918747,3.43772791905357,1.1187036624383553,2.6385896602740515,-8.778781068603958,-7.5518212802710645,-5.2561193062056875,-9.181385587653425,-0.8045312571283467,-0.856912394676413,-14.169807805398442,-3.2183264515738705,-4.819280075463887
ecoli_00001,0.1296167908,0.173800594,0.08337238500000001,0.053814721,0.0951254435,-0.016455943,-0.0321274015,0.11716061,-0.030428714500000002,-0.1284050565,0.0308891915,-0.008349429,-0.0126966675,0.12579705700000002,0.012478646000000001,-0.1090069385
ecoli_00002,-0.1296167908,-0.173800594,-0.08337238500000001,-0.053814721,-0.0951254435,0.016455943,0.0321274015,-0.11716061,0.030428714500000002,0.1284050565,-0.0308891915,0.008349429,0.0126966675,-0.12579705700000002,-0.012478646000000001,0.1090069385
ecoli_00003,1.7979974521000002,1.503557971,0.7158603250000001,2.156611474,0.2052261635,0.48361660700000003,-0.1451883045,-0.21220296,-0.8834644935,1.0272767965,-1.1877552405,0.16426901500000002,0.8978087645,0.638463302,0.077574131,0.031102321500000002
ecoli_00004,2.0125101835,1.606618766,0.8566654450000001,2.379413549,0.1673056595,0.481963148,-0.1512956355,-0.15081341,-0.9988224215,1.0981969385,-1.1737682105,0.258153597,0.9841469155,0.78198625,-0.090682171,-0.1831453775
ecoli_00005,-0.3497526495,-0.24798381700000002,-0.076995065,-0.483044342,-0.0459012445,-0.34823233600000003,-0.2104048105,-0.56740864,-0.2289080135,-0.2973695505,-0.3327269625,-0.042768621,-0.3913158705,-0.313534189,-0.030513673,-0.2896344335
ecoli_00006,-0.2610860471,-0.42883168,-0.086717445,-0.382607242,-0.1298279515,-0.46786989100000004,0.0507762815,-0.57501992,-0.3180537375,0.1051134615,-0.2594009255,0.023468409000000003,-0.1608317955,-0.44303303800000005,0.05819072,-0.5538037435000001
ecoli_00007,1.7781004445000002,1.428734697,0.689803445,1.9163033010000001,-0.10034419650000001,0.46443511400000004,-0.4748647425,0.028218820000000002,-0.5710975955,0.5904138855000001,-1.0912162295,0.042059161000000005,1.0269929655,0.580348423,-0.105981984,0.0614104865
ecoli_00008,2.5952570586,1.484758005,0.621869415,2.073619744,-0.5130909975,0.45899736500000005,-0.3020122805,0.13773749,-0.6268760275,0.6879863725,-1.0673563795,0.147229135,0.7465730295,0.46509844100000003,-0.22346684100000003,0.0391804045
ecoli_00009,0.19392777800000002,-0.13282348,0.365818715,0.133144772,-0.1114477405,-0.205701605,0.06758122550000001,-0.38894031,-0.1238448285,0.6539038715000001,-0.5522316355,0.13577835900000002,-0.0156485235,0.161149871,0.436429913,-0.12042662450000001
ecoli_00010,0.159921102,-0.26457476700000004,0.335810425,0.12668463600000002,0.0193456055,-0.16910454,0.1063544865,-0.41893693,-0.38736219850000003,0.4289630795,-0.5848465775,0.09420763700000001,-0.07211176250000001,0.212933471,0.367563393,0.1877776665
ecoli_00011,0.5756851194,0.373596704,0.284257435,0.607499753,-0.1563614605,-0.122076266,0.42733937050000004,-0.14121664,-0.0055871365,0.2596557335,-0.23737093050000002,0.12053480800000001,0.48080166950000003,0.35300585500000004,0.345522573,0.10383371450000001
ecoli_00012,1.0758431373,0.41242641700000005,0.301657345,0.678673139,-0.21453679450000002,-0.09064453500000001,0.4950164005,-0.11730537,-0.0464852105,0.6502983585000001,-0.24076136350000002,0.125488184,0.4476175195,0.216072954,0.343136463,-0.1284748675
ecoli_00014,-1.4972637618,-0.230651515,0.036205125000000005,0.750872828,-0.4357155835,-0.035502778000000006,0.6027205335,0.03221592,0.0290192295,0.6585149755,-0.2069328745,0.25919108700000004,0.47636920650000003,0.150603852,0.33938771300000004,-0.3766341805
ecoli_00015,0.4257108068,0.28694551700000004,0.19517709500000002,0.635287379,-0.3956383545,-0.10232901400000001,0.4482828575,-0.05329888,0.1555294585,0.5825865305,-0.28221490650000003,0.15171188600000002,0.30114342450000003,0.28917133100000003,0.383863793,-0.08869141950000001
ecoli_00016,0.39648358770000003,0.35533118500000005,0.183183425,0.5193036999999999,-0.1887478035,0.016478089,0.4141111475,-0.07889036,-0.1696210985,0.8773572265,-0.2312081875,0.06164682900000001,0.36205020450000003,0.5012949640000001,0.33986178300000003,0.1346789125
