,-0.12418222555440582,-0.11038420049280517,-0.09658617543120453,-0.08278815036960388,-0.06899012530800323,-0.05519210024640259,-0.04139407518480194,-0.027596050123201293,-0.013798025061600647,0.0,0.013798025061600647,0.02759605012320128,0.04139407518480194,0.0551921002464026,0.06899012530800323,0.08278815036960387,0.09658617543120453,0.11038420049280519,0.12418222555440582,0.13798025061600644
thresh,-0.0896871629004042,0.0896871629004042,1,,,,,,,,,,,,,,,,,
unreg,1,5,5,8,6,7,12,95,949,2447,758,140,41,24,6,4,4,2,1,0
unreg_genes,['OpaR'],"['PN96_RS12290' 'PN96_RS12305' 'PN96_RS12325' 'PN96_RS18285'
 'PN96_RS12285']",['PN96_RS12300' 'PN96_RS12315' 'PN96_RS12295' 'tviC' 'PN96_RS12310'],[],[],[],[],[],[],[],[],[],[],[],[],[],['putP' 'nrfD' 'PN96_RS03335' 'PN96_RS03745'],['ttrA' 'PN96_RS03740'],['PN96_RS16045'],[]
