,new_1599179_1599282
M9exp_1,8.701
M9exp_2,8.7432
M9exp_3,8.0886
M9tran_1,12.668
M9tran_2,12.2508
M9tran_3,12.9169
M9stat_1,12.9693
M9stat_2,13.33
M9stat_3,13.0936
MG-0.1_1,8.2855
MG-0.1_2,6.9688
MG-0.1_3,7.9572
MG-0.2_2,7.3642
MG-0.2_3,7.9286
MG+5_1,8.2979
MG+5_2,7.3045
MG+5_3,7.9967
MG+10_1,8.2523
MG+10_2,7.4445
MG+10_3,8.0145
MG+15_1,7.7849
MG+15_2,8.2978
MG+15_3,7.879
MG+25_1,8.3045
MG+25_2,7.4355
MG+25_3,7.7539
MG+45_1,7.874
MG+45_2,6.9387
MG+45_3,7.8637
MG+60_2,7.7408
MG+60_3,7.9901
MG+90_2,7.1775
MG+90_3,7.7504
MG+120_1,8.7778
MG+120_2,11.2217
MG+120_3,9.4421
MG+150_1,11.7996
MG+150_3,11.4349
GM-0.1_1,8.5985
GM-0.1_2,7.7756
GM-0.1_3,8.6375
GM-0.2_1,8.8007
GM-0.2_2,8.2794
GM-0.2_3,8.4053
GM+5_1,8.4405
GM+5_2,7.7549
GM+5_3,8.8336
GM+10_2,7.6003
GM+10_3,8.0868
GM+15_1,8.4982
GM+15_2,7.7886
GM+15_3,8.4282
GM+25_1,8.6556
GM+25_2,7.7142
GM+25_3,8.3787
GM+45_1,8.6906
GM+45_2,7.1694
GM+45_3,8.0502
GM+60_1,8.6817
GM+60_2,7.5004
GM+60_3,8.2611
GM+90_1,9.0634
GM+90_2,8.6746
GM+90_3,9.0187
GM+120_1,9.5344
GM+120_3,9.103
GM+150_1,9.9795
GM+150_2,12.0644
GM+150_3,8.8936
BT_1,14.859000000000002
BT_2,14.0609
B36_1,13.4536
B36_2,13.2043
B60_1,13.5758
B60_2,13.2049
S0_1,7.6956
S0_2,8.3053
S0_3,8.3323
S1_1,10.5406
S1_2,10.0076
S1_3,10.6033
S2_1,14.7044
S2_2,15.1335
S2_3,14.5427
S3_1,13.2917
S3_2,14.011
S4_1,14.1616
S4_2,13.6026
S4_3,13.9978
S5_1,12.8756
S5_2,13.5902
S5_3,13.7078
S6_1,12.3737
S6_2,10.6243
S6_3,12.8732
S6/t_1,12.8537
S6/t_2,9.5243
S6_4,11.854
S6_5,12.7259
S6_6,12.9665
S7_4,10.823
S7_5,11.2583
S7_6,11.4409
S8_4,10.348
S8_5,10.4716
G135_1,8.8052
G135_3,7.9094
G150_1,7.8610000000000015
G150_2,8.5002
G150_3,8.2762
G180_1,8.2083
G180_2,8.7464
G180_3,8.1612
T-5.40H_1,12.6873
T-4.40H_1,12.3835
T-3.40H_1,12.4146
T-2.40H_1,12.71
T-1.40H_1,12.653
T-1.10H_1,12.62
T-0.40H_1,11.2365
T0.0H_1,12.1951
T0.30H_1,11.2362
T1.0H_1,12.3964
T1.30H_1,12.9833
T2.0H_1,12.9436
T2.30H_1,14.2794
T3.0H_1,14.868
T3.30H_1,15.6709
T4.0H_1,15.6172
T5.0H_1,15.7486
LBexp_1,7.7854
LBexp_2,8.3509
LBexp_3,7.7343
LBtran_1,8.4792
LBtran_2,8.0831
LBtran_3,8.0401
LBstat_1,10.7728
LBstat_2,10.2449
LBstat_3,10.1792
LBGexp_1,7.3438
LBGexp_2,8.4601
LBGexp_3,7.6716
LBGtran_2,8.2892
LBGtran_3,8.38
LBGstat_1,9.3089
LBGstat_2,9.6631
LBGstat_3,8.6499
Mt0_1,7.9317
Mt0_3,7.3662
M0t45_1,8.581
M0t45_2,8.0252
M0t45_3,8.7241
M0t90_1,9.7709
M0t90_2,10.8743
M0t90_3,11.5105
M40t45_1,8.4926
M40t45_2,8.2271
