,PSPTOA0053
SRX1828913,0.2260269358
SRX1828914,-1.3272146362
SRX1828915,-0.2554743466
SRX1828916,-1.5314745768
SRX1828917,0.0294474108
SRX1828918,-1.4315499326
SRX3983989,0.5725062185
SRX3983990,-0.45435687360000004
SRX3983993,-0.5387969169
SRX3983994,-0.6389615906
SRX3983995,0.18346738440000002
SRX3983996,-0.5987856117
SRX3983997,-0.4557461772
SRX3983998,0.0425327598
SRX3983999,0.2758686978
SRX3984000,0.43696484420000004
SRX3984001,-0.6393417398
SRX3984002,-0.26624465880000003
SRX3984003,0.026081718
SRX3984004,0.35300466480000003
SRX3984005,0.3613483489
SRX3984006,-0.049347979
SRX3984007,-0.31929235170000003
SRX3984008,0.2674429439
SRX3984009,0.1003408574
SRX3984010,-0.4472622411
SRX3984011,0.2212522734
SRX3984012,0.1023484098
SRX3984013,0.07361473190000001
SRX3984014,0.1982056565
SRX3984015,-0.1578508085
SRX3984016,0.10430014480000001
SRX3984017,-0.5971860664
SRX3984019,-0.22237733910000002
SRX3984020,-0.2698261442
SRX3984021,-0.1427683045
SRX3984022,-0.2178886927
SRX3984023,0.1555005163
SRX3984024,0.4870745372
SRX3984025,0.11668049999999999
SRX3984026,-0.1551245373
SRX3984027,0.3039120803
SRX3984028,0.08437993270000001
SRX3984029,0.29182414760000003
SRX3984031,-0.2511458176
SRX3984032,-0.36963873880000003
SRX3984034,-0.1375815398
SRX3984035,-1.1710070298
SRX3984036,0.3074909469
SRX3984037,0.5167990274
SRX3984038,0.408658524
SRX3984039,0.2820360239
SRX3984040,0.4077005832
SRX3984041,0.0500567749
SRX3984042,-0.3823584634
SRX3984043,-1.050164419
SRX3984045,-0.0478400077
SRX3984046,-0.039356010600000005
SRX3984047,0.4418922149
SRX3984048,0.0411810709
SRX3984049,-0.1977091816
SRX3984050,-0.3248895947
SRX3984051,0.391719384
SRX3984052,0.1394899961
SRX3984056,-0.0393331116
SRX3984057,0.0720548465
SRX3984058,-0.3070119076
SRX3984059,0.17140931610000001
SRX3984061,0.1141760343
SRX3984062,0.16394472340000002
SRX3984063,-0.20897424080000002
SRX3984064,-0.046518451700000005
SRX3984065,0.2991113734
SRX3984066,0.2876388019
SRX3984067,0.028984121
SRX3984068,0.2552226447
SRX3984069,-0.45013142700000003
SRX3984070,0.0885611327
SRX3984071,-0.1305689274
SRX3984073,0.26660772580000003
SRX3984074,0.34711684930000003
SRX3984077,0.0727780688
SRX3984078,-0.0280004461
SRX3984079,-0.4221892553
SRX3984080,0.021437034100000002
SRX3984082,0.06483001790000001
SRX3984084,-0.41155194040000004
SRX6997963,0.4856172548
SRX6997964,-0.2108282991
SRX6997965,-0.3878045194
SRX6997967,0.7106719806
SRX6997968,0.1322589135
SRX6997969,-0.27803182130000004
SRX6997971,-1.1962892354
SRX6997972,-0.1219196522
SRX6997973,-0.579119405
SRX3159100,0.4437272009
SRX3159101,-0.2860611819
SRX3159102,-0.4870364587
SRX3159103,0.3293704398
SRX3159000,0.59635867
SRX3159001,1.0892605396
SRX3159002,-0.42894682430000003
SRX3159003,-0.27623740410000003
SRX3159004,0.08393929300000001
SRX3159005,0.46996672
SRX3159006,-0.0691205327
SRX3159007,-0.2504548245
SRX3159008,-0.2757073445
SRX3159009,1.3248214118
SRX3159010,1.6874539988000001
SRX3159012,0.8283914415
SRX3159013,1.2329585788
SRX3159014,0.49794278750000004
SRX3159015,0.8816422634000001
SRX3159016,0.4204310519
SRX3159017,-0.0210168393
SRX3159018,0.45908709880000004
SRX3159019,0.6873855317
SRX3159020,1.1245976391
SRX3159021,0.1950494888
SRX3159022,0.4990082776
SRX3159023,1.0614498984
SRX3159024,0.49828035610000004
SRX3159025,0.37251276600000005
SRX3159026,-0.8758796015
SRX3159027,0.5573088543
SRX3159028,-0.32728736820000004
SRX3159029,0.8639894201
SRX3159030,0.0781373862
SRX3159034,0.2610978123
SRX3159036,-1.6019425764
SRX3159037,-0.0538651838
SRX3159041,-0.2405053681
SRX3159042,0.2087687557
SRX3159043,0.19038160610000002
SRX3159045,-0.5528296317
SRX3159047,0.5891034077
SRX3159048,-0.12517231010000002
SRX3159049,0.7522837632
SRX3159050,0.3104689268
SRX3159051,0.3109327371
SRX3159052,-0.1429024805
SRX3159053,-0.6979138726
SRX3159054,-0.398016676
SRX3159055,-0.7610664083
SRX3159056,0.1679311563
SRX3159057,-0.3564977556
SRX3159058,-0.3526370568
SRX3159060,-0.5147931321
SRX3159061,0.2488612358
SRX3159062,-0.370331534
SRX3159063,0.056374079300000005
SRX3159066,-0.28969108650000003
SRX3159069,-0.3934336162
SRX3159070,0.5722447642
SRX3159071,0.4661243664
SRX3159073,-0.16998251720000002
SRX3159074,0.1594941292
SRX3159075,0.6156228256
SRX3159076,0.3007396039
SRX3159080,0.06399396930000001
SRX3159082,0.8754441543
SRX3159083,0.13568979650000002
SRX3159086,-0.10364828350000001
SRX3159087,1.5896852661
SRX3159088,0.27514269150000004
SRX3159089,0.7325760245
SRX3159090,0.4987023479
SRX3159091,1.1246493794
SRX3159092,0.1100122594
SRX3159093,0.4356893115
SRX3159094,-0.153465598
SRX3159095,0.3641181217
SRX3159096,-0.8207994970000001
SRX3159097,0.030209965800000002
SRX3159098,0.4895642363
SRX3159099,0.9693792595
SRX3158988,0.1465658461
SRX3158989,-0.07259984850000001
SRX3158990,0.6789512771
SRX3158991,-0.38952321
SRX3158992,0.0087587011
SRX3158996,-0.1553245472
SRX3644656,0.1630727573
SRX3644657,-0.2447849266
SRX3644658,0.0817121693
SRX3644659,-0.2221367898
SRX3644660,-0.6939489173000001
SRX3644661,-0.4770024358
SRX3644662,-0.4516504127
SRX3644663,-0.7271269438
SRX3644664,-0.3107946552
SRX3644665,-0.1594601955
SRX3644666,-0.5468895755000001
SRX3644667,-0.15638136
SRX3644668,-0.5823119131
SRX3644669,0.0209270779
SRX3644670,-0.2473891114
SRX3644671,-0.6962320619
SRX3644672,0.09990195760000001
SRX3644673,-0.2053477873
