,crl
Cr_1,-0.0013978172772623051
Cr_2,-0.0017867169361988789
Cr_3,-0.0013052182464075542
Cr_4,-0.002328961936555811
Cr_5,-0.0027119464739069625
Cr_6,-0.0019995855222895782
Fe_1,-0.011201554647349251
Fe_2,-0.020951369001134427
Fe_3,-0.021470292958952097
Fe_4,-0.015338150146128444
Fe_5,0.005597970433280025
Fe_6,0.02992746494557725
Cd_1,0.004417034392669028
Cd_2,0.0121538635902458
Cd_3,0.020248622983744826
Cd_4,0.027425442453140242
Cd_5,0.030663638423805636
Cd_6,0.039124960670305485
Zn_1,0.0007375387344564055
Zn_2,0.006620244281364324
Zn_3,0.019982050056097357
Zn_4,0.04291190862909471
Zn_5,0.06157237523205395
Zn_6,0.0698405602561844
Cu_1,0.005699052655170723
Cu_2,0.01813405867400866
Cu_3,0.030967457857622862
Cu_4,0.048788205621078565
Cu_5,0.06354037404305114
Cu_6,0.0814892965890254
Pb_1,0.010636388791210323
Pb_2,0.021257718975003347
Pb_3,0.03038268066928318
Pb_4,0.046647145170546384
Pb_5,0.05509875992460852
Pb_6,0.06874062591874207
