,A,TyrR
R2,,0.01905769289195769
xmin,,-1.2883983205
xmid,,-0.26034480629231244
xmax,,1.3603575015
ystart,,-0.8459018276760222
yend,,-2.5044102960097483
control__wt_glc__1,-0.2604490212,-0.013665821500000001
control__wt_glc__2,0.2604490212,0.013665821500000001
fur__wt_dpd__1,-6.7805459946,0.2372705715
fur__wt_dpd__2,-7.2551803355,0.2144618295
fur__wt_fe__1,0.2085953221,-0.2094055145
fur__wt_fe__2,0.3423167829,-0.1401520825
fur__delfur_dpd__1,-5.7253440939,0.4641555805
fur__delfur_dpd__2,-6.3081737521,0.3560445855
fur__delfur_fe2__1,-0.025300897200000002,-0.0046515385
fur__delfur_fe2__2,-0.28482525680000004,0.1115370935
acid__wt_ph5__1,0.2253755563,0.4554529725
acid__wt_ph5__2,0.2580114154,0.4329676275
acid__delgadx_ph5__2,0.1272480792,0.25970277750000004
acid__delgadw_ph5__1,0.1930428542,0.2580061515
acid__delgadw_ph5__2,0.0336741863,0.3397442915
acid__delgade_ph5__1,0.1633134664,0.42658473750000003
acid__delgade_ph5__2,0.120198681,0.5591984375
oxidative__wt_pq__1,-1.8306130144,0.5790745905
oxidative__wt_pq__2,-1.8987949125,0.7776006915
oxidative__deloxyr_pq__1,0.5087735278000001,0.5373671085
oxidative__deloxyr_pq__2,0.3249883334,0.5716996565
oxidative__delsoxr_pq__1,-4.6440160898,0.5703988655000001
oxidative__delsoxr_pq__2,-4.8901683616,0.5850806585
oxidative__delsoxs_pq__1,-3.7117165169,0.8316336805000001
oxidative__delsoxs_pq__2,-3.5792063119,0.8802041045000001
nac_ntrc__wt_csn__1,-2.4410770066,0.2917764695
nac_ntrc__wt_csn__2,-2.28309327,0.46867717550000004
nac_ntrc__wt_cytd__1,-1.9527079600000001,0.2436163875
nac_ntrc__wt_cytd__2,-1.7805741783,0.2330885885
nac_ntrc__wt_gln__1,-2.9259328964,0.4566444555
nac_ntrc__wt_gln__2,-3.3812937458,0.5161178025000001
nac_ntrc__bw_delnac_csn__1,-2.2802671448,0.6919031155
nac_ntrc__bw_delnac_csn__2,-1.5850095461,1.0115252545
nac_ntrc__bw_delnac_cytd__1,0.0462555489,0.5691446395
nac_ntrc__bw_delnac_cytd__2,0.0853620431,0.5082102665
nac_ntrc__bw_delnac_gln__1,-1.9245688068,0.6617300285000001
nac_ntrc__bw_delnac_gln__2,-1.9132440509,0.6677304075
nac_ntrc__bw_delnac_nh4__1,1.3371101499,0.2358795675
nac_ntrc__bw_delnac_nh4__2,0.8970029261,0.1811410755
misc__wt_no_te__1,3.4469350666,0.5086060325
misc__wt_no_te__2,1.0591750438,0.3377065705
misc__bw_delcbl__1,0.7135071638,0.0999083845
misc__bw_delcbl__2,0.7848389227,0.2122382595
misc__bw_delfabr__1,1.059065918,0.0314557945
misc__bw_delfabr__2,0.8919778406000001,0.0507784515
misc__bw_delfadr__1,0.1625370851,0.1779888675
misc__bw_delfadr__2,0.0897212164,0.0835865575
misc__nitr_031__1,-1.041042811,0.5321509425000001
omics__wt_glu__1,-1.4425387056,-0.5881515765
omics__wt_glu__2,-0.8098628796,-0.4362977685
omics__wt_gly__1,-1.5196172734,-0.2774754695
omics__wt_gly__2,-1.371786993,-0.4093984275
omics__wt_thr__1,-5.9330632231,0.1991198035
omics__wt_thr__2,-5.8599852705,0.1915242125
omics__bw_ac__1,-0.9621855572,0.1805167125
omics__bw_ac__2,-1.1236125295,0.034956942500000004
omics__bw_fum__1,-3.4338034841000002,-0.0714448745
omics__bw_fum__2,-3.3908527168,-0.2446832955
omics__bw_glc__1,-1.2073542372000001,0.0108116875
omics__bw_glc__2,-1.3879895338,-0.037956617500000005
omics__bw_pyr__1,-0.6376445917,0.0620543405
omics__bw_pyr__2,-1.0165852962,-0.1918728055
ompr__wt_nacl__1,-5.351694161,0.5277852155
ompr__wt_nacl__2,-5.1567511881,0.6226296115000001
ompr__bw_delompr_nacl__1,-0.4322646002,0.22332366750000002
ompr__bw_delompr_nacl__2,-0.4502477917,0.2693933335
minspan__wt_ade__1,0.7492814908000001,0.23427269650000002
minspan__wt_glc__2,-0.4828969252,0.0260527735
minspan__wt_glc__3,-0.0497769921,0.007418127500000001
minspan__wt_glc__4,-0.6358550215000001,0.06828514050000001
minspan__wt_glc_anaero__1,-0.4639668648,0.4543060855
minspan__wt_glc_anaero__2,-0.0642426913,0.5469077525
minspan__wt_trp__1,-5.2619689258,0.6323808355
minspan__bw_delcra_glc__2,-0.9892945034,0.9042222795
minspan__bw_delcra_trp__1,-3.1432575143,0.7950444155
minspan__bw_delmntr__1,-3.0440669097,0.9494814435000001
minspan__bw_delnac_ade__1,1.3545999572,0.2003963355
minspan__bw_delnac_glc__1,-0.7426183860000001,0.009272549500000001
cra_crp__wt_ac__1,-0.9446212350000001,-0.5438430825
cra_crp__wt_ac__2,-0.8714271286,-0.5030586475000001
