,ybfE
Cr_1,0.003927755332340107
Cr_2,0.009134513662029066
Cr_3,0.01866809031554599
Cr_4,0.021008755847800452
Cr_5,0.01421384461858021
Cr_6,0.015933509798575562
Fe_1,-0.0189533595313678
Fe_2,-0.016815647235553424
Fe_3,0.013291047460337851
Fe_4,0.04260994797063563
Fe_5,0.06755140417493752
Fe_6,0.07579141005891626
Cd_1,-0.003355428708047761
Cd_2,-0.0006464640066313112
Cd_3,0.006075537792739826
Cd_4,0.012135162664908194
Cd_5,0.016838858764533497
Cd_6,0.025289357774402357
Zn_1,-0.021525186391853583
Zn_2,-0.04827914789541424
Zn_3,-0.0570325157022557
Zn_4,-0.038326862716601184
Zn_5,-0.021345595502162404
Zn_6,-0.010784752442991378
Cu_1,0.005588431891737955
Cu_2,0.008944566743481758
Cu_3,0.013154529355366179
Cu_4,0.013461164046403393
Cu_5,0.014527705980384619
Cu_6,0.028316799879986594
Pb_1,0.00038802351563268903
Pb_2,0.003448038408924887
Pb_3,0.01200284932695788
Pb_4,0.01659756849137956
Pb_5,0.026808223233932008
Pb_6,0.038530893373265485
