,apt
Cr_1,-0.005600613558426443
Cr_2,-0.01172960221872199
Cr_3,-0.012406497596670105
Cr_4,-0.01578946765465137
Cr_5,-0.024135318710940414
Cr_6,-0.040522873975629314
Fe_1,-0.009723504241804458
Fe_2,-0.013233100530389985
Fe_3,-0.015502255448495943
Fe_4,-0.03401825495608537
Fe_5,-0.0490501765287655
Fe_6,-0.06395914263144976
Cd_1,-0.003713128612475236
Cd_2,0.0003035885247566092
Cd_3,0.007646391509631106
Cd_4,0.020480396002172902
Cd_5,0.035621195822470884
Cd_6,0.04760988589050552
Zn_1,-0.018849392506451963
Zn_2,-0.03163321601772026
Zn_3,-0.05115232042505264
Zn_4,-0.04689765996791095
Zn_5,-0.044600234390041335
Zn_6,-0.0447304850731956
Cu_1,0.006410912294242779
Cu_2,0.011427638299871574
Cu_3,0.014759531772792238
Cu_4,0.020446557613614327
Cu_5,0.02749050395171753
Cu_6,0.03328827166971066
Pb_1,-0.0021437098984812093
Pb_2,0.0043914387339238714
Pb_3,0.009550749558386999
Pb_4,0.01122255757984188
Pb_5,0.01932178210967044
Pb_6,0.027611504261405483
