,yqjH
Cr_1,-0.007008297510203935
Cr_2,-0.0001033760713108904
Cr_3,0.03100824239284863
Cr_4,0.071694845086904
Cr_5,0.11454615373349256
Cr_6,0.15378447091229666
Fe_1,-0.02537431508746538
Fe_2,-0.0628991208605782
Fe_3,-0.10320495381995436
Fe_4,-0.1466843289372829
Fe_5,-0.1811411627833595
Fe_6,-0.2121982661942907
Cd_1,0.004900945910350165
Cd_2,0.011116717246731852
Cd_3,0.02158712618578613
Cd_4,0.025734918204592824
Cd_5,0.029219550049138364
Cd_6,0.03664462918483105
Zn_1,0.004358544529461803
Zn_2,0.020993069663967398
Zn_3,0.049005021434198257
Zn_4,0.08083760104619275
Zn_5,0.11788751323625432
Zn_6,0.15565478504940872
Cu_1,0.009076600711352495
Cu_2,0.02563235469778978
Cu_3,0.04332989493822832
Cu_4,0.059489474057324326
Cu_5,0.07531474628682018
Cu_6,0.08203607535436169
Pb_1,-0.005647286425061431
Pb_2,-0.0025687667776202786
Pb_3,0.005978159767217815
Pb_4,0.023371807804973086
Pb_5,0.0442461865746951
Pb_6,0.06440305325591336
