,nudF
Cr_1,-0.01501330098321041
Cr_2,-0.021247148327215283
Cr_3,-0.018193493376146726
Cr_4,-0.018733043703115137
Cr_5,-0.02148649558735633
Cr_6,-0.024945163122452974
Fe_1,-0.023419730912276504
Fe_2,-0.04487456682525511
Fe_3,-0.058577708443877184
Fe_4,-0.07336775855765916
Fe_5,-0.08305543569322904
Fe_6,-0.0885846258948792
Cd_1,0.00345820446594798
Cd_2,0.006286602337521543
Cd_3,0.01401240989929043
Cd_4,0.024929601961039608
Cd_5,0.020830515537656042
Cd_6,0.017819347654863926
Zn_1,0.006291965580240264
Zn_2,0.014573390614377096
Zn_3,0.02824755294815657
Zn_4,0.03814995185305296
Zn_5,0.03891815978793669
Zn_6,0.04622460004328618
Cu_1,0.005330217114516994
Cu_2,0.006472602359071893
Cu_3,0.01304165934364746
Cu_4,0.019505681332719148
Cu_5,0.020780229492179964
Cu_6,0.02402966159445695
Pb_1,0.013838600572484141
Pb_2,0.015326144854445469
Pb_3,0.014692802174914385
Pb_4,0.01488735987146054
Pb_5,0.015118191158983434
Pb_6,0.024105860085132696
