,rfaH
Cr_1,0.0010454917996568275
Cr_2,0.0009758275520645463
Cr_3,0.0068578420296495106
Cr_4,0.015962672874996916
Cr_5,0.02298546638226609
Cr_6,0.023159053887225004
Fe_1,-0.0006151317025416125
Fe_2,0.023395180919057797
Fe_3,0.0703369945698699
Fe_4,0.13327645603230673
Fe_5,0.16529654747013112
Fe_6,0.17798898360073595
Cd_1,0.006305131254546028
Cd_2,0.012728491083321204
Cd_3,0.02189836969208201
Cd_4,0.03392797384749717
Cd_5,0.039993781800875434
Cd_6,0.04641153538331503
Zn_1,-0.09917821355684073
Zn_2,-0.10644460867548022
Zn_3,-0.09013612217566404
Zn_4,-0.08680479308401771
Zn_5,-0.09333055180532587
Zn_6,-0.08615148811245253
Cu_1,-0.0008500643502525575
Cu_2,0.0006051324625001973
Cu_3,0.0016649918059117065
Cu_4,0.009813834377325666
Cu_5,0.02490111686682796
Cu_6,0.03685928880725008
Pb_1,-0.004736991431177695
Pb_2,0.001780895840713647
Pb_3,0.019306345800577995
Pb_4,0.034321189455323975
Pb_5,0.050406967120443236
Pb_6,0.06479931956662699
