,plsC
Cr_1,0.0012764254354998852
Cr_2,0.004557720084673248
Cr_3,0.009232905726592426
Cr_4,0.012953328160925358
Cr_5,0.015470445139504609
Cr_6,0.018649067692092843
Fe_1,-0.01250485192061108
Fe_2,-0.026510576950655076
Fe_3,-0.03324550870365617
Fe_4,-0.044495293909251915
Fe_5,-0.05609170156241447
Fe_6,-0.06616466260335843
Cd_1,0.002080007137688879
Cd_2,0.005109932892805016
Cd_3,0.00799196581433912
Cd_4,0.01225814154916366
Cd_5,0.012856750400431306
Cd_6,0.02020313513923504
Zn_1,-0.0051792820417824225
Zn_2,-0.015666708885065002
Zn_3,-0.022395778904753867
Zn_4,-0.022419533550634304
Zn_5,-0.01596228518309302
Zn_6,-0.005085254282803925
Cu_1,0.0036596039171330297
Cu_2,0.011259604649884665
Cu_3,0.02166876106286576
Cu_4,0.03236010074303283
Cu_5,0.04144733827538784
Cu_6,0.05193632640923752
Pb_1,0.00945167530313752
Pb_2,0.01852453175051719
Pb_3,0.02928974332576547
Pb_4,0.043058082047890335
Pb_5,0.0589189011484748
Pb_6,0.07861562043910181
