,A,RhaS,Crp
R2,,0.8544670492763361,0.0007953283665780297
xmin,,-4.1608837747,-9.852476477
xmid,,0.6340782932976391,-0.3629579516946951
xmax,,10.324971899,2.5388323397
ystart,,0.0552536612770147,0.8426226382291551
yend,,21.85444476731896,1.9572137412216155
SRX1125282,1.297254565,0.1559464392,0.0344951212
SRX1125283,-0.9915284603000001,-1.2943332342,0.1435731223
SRX1125284,-0.3666261725,-0.0244464141,0.2534372822
SRX1125285,-0.6540560027,-0.2446954761,0.283920339
SRX1125286,-1.5851340071000002,-0.5715504805,0.3175329239
SRX1125287,-1.7472219038999999,-0.2982579912,0.17602055360000002
SRX1125288,-0.6668584207,-0.6498991328,0.005256366
SRX1125289,-0.44954116520000004,-0.49613167410000003,0.2819816342
SRX1125290,0.1455073051,-0.4562478869,0.2801678667
SRX1125291,-0.6597301025,-0.4607452087,0.4762089513
SRX1125292,-0.7355121683,-0.7080985149,0.5370175003000001
SRX1125293,0.2958907134,-0.37938521000000003,0.5086233319
SRX1125294,-0.6303961443,0.49395269350000004,-0.039751487200000005
SRX1125295,-0.4540130261,0.1103576821,0.2905320638
SRX1125296,-0.6344549962,-0.3093073778,0.1859933018
SRX1125297,-0.19683930230000002,-0.3706392966,0.3699621097
SRX1125298,0.3522375539,-0.2575600661,0.5483756585
SRX1125299,-0.3181164526,-0.1378492343,0.50143841
SRX5694250,0.21904164110000002,1.0533264913,-0.4516798918
SRX5694251,4.0981840921,-0.6182510106,-1.8893970692000002
SRX5694252,0.3811261414,0.9137553769000001,-0.1701238306
SRX5694253,0.9825053736,0.3222919566,0.1340371706
SRX5694254,3.6732983005,1.3663094437,-0.8477189713000001
SRX5694255,2.9863603585,-0.6518627683,0.1307715067
SRX5694256,0.9169105296000001,0.5846756117,-0.2340068764
SRX5694257,0.045320590800000005,0.6444835789000001,-0.33700626310000004
SRX5694258,0.40641006020000003,0.5933599835000001,-0.2857852433
SRX5694259,0.8845621906000001,-0.25400293150000003,-2.9247054987
SRX5694260,0.7705159339000001,-0.621227345,0.0899715865
SRX5694261,2.4836556108,0.2081334488,-1.6070723407
SRX5694262,0.4074435091,-0.2808610561,-0.5390842036
SRX5694263,0.9797454711,-0.0613317061,-0.0980165268
SRX5694264,1.2520000334999999,1.1339327287,0.2016373309
SRX5694265,0.7827658663,0.11612524900000001,-0.2490351859
SRX5694267,1.0616736048,0.2326326575,0.0411821817
SRX5694268,0.8168169995000001,0.7190348546,0.0231238538
SRX5694269,0.6422524905,-0.0600638609,0.0476350313
SRX5694271,0.44794788350000003,0.5971501771000001,0.24713669740000002
SRX5694273,2.2937582128000003,-0.31743418230000003,-1.5465123927
SRX5694274,0.3511607982,0.1080574955,0.2066153554
SRX5694275,-0.2994239103,-0.6896972699,-0.5157335737000001
SRX5694276,0.8888687677,-0.22633512220000002,-1.8223907651
SRX5694277,0.7422541364,0.1425462115,0.36042412560000003
SRX5694278,0.8091478126,-0.9170067418000001,-1.3002511837
SRX5694279,-0.5769059223,0.3206040841,0.3379205155
SRX5694280,0.5035459791,-0.5561742617000001,-0.6834405493
SRX5694281,0.7126009416,0.25160160400000003,0.1656640608
SRX5694282,1.7225946866,0.38619183760000003,-0.9934080376000001
SRX5694283,0.6815940249,-0.857901294,-0.3443110079
SRX5694284,0.6649878683,-0.37695823100000003,-0.9407234058
SRX5694285,1.1845055865,-1.0411396062,-0.0040549861000000005
SRX5694286,0.517818827,-0.38670251920000004,-0.1478341465
SRX5694287,0.7764848527,-0.1359458161,-0.1558928562
SRX5694288,1.5842599975,0.5547010882,0.2764607147
SRX5694289,2.5512747865,0.5255540244,-0.14661147630000002
SRX5694290,1.7869221583,0.44897940420000004,0.2201400917
SRX5694291,4.2033393902,-0.3129076603,0.1874058842
SRX5694292,0.07058955260000001,0.3298156412,0.0513472187
SRX5694293,0.9313493960000001,0.5798486284000001,0.3866879371
SRX5694294,3.2988731431,1.2253294415,-0.0602559214
SRX5694295,3.1752892639,0.8475972923,-1.4743546362
SRX5694296,1.3268398409,0.5771807493000001,-0.13444608700000002
SRX5694297,3.7847112198,1.1105028046,-1.621907484
SRX5694298,-0.0550541876,0.0209205241,-0.0376343135
SRX5694299,-0.7075904256000001,-1.0829155506,-0.0810478849
SRX5694300,0.2140454622,-0.0694671931,0.1296583874
SRX5694301,1.4211388885,0.1850300527,0.2017965224
SRX5694302,2.0663940553,0.178532938,0.1490464558
SRX5694303,1.9918279477,0.3930951334,0.2623448043
SRX5694304,-0.1331386121,-0.007260122000000001,-0.22631582460000002
SRX5694305,5.2789953552,0.2569565891,-1.9945889461
SRX5694306,1.3828240141,0.2914199588,-0.303318389
SRX5694307,1.6515988406000002,0.0556293821,-0.9213934478
SRX5694308,-0.3197528967,-0.6550794444,-0.5542551321
SRX5694309,0.9489417329000001,-0.3235753641,-2.4371824129
SRX5694310,2.3034600615,-0.3952824817,-0.6975730314
SRX5694311,0.6367241216,-0.24749050620000002,-2.788252041
SRX5694312,2.0514037995,0.6782926656,-0.46271994780000003
SRX5694313,1.0695273233,-1.7508108804,-1.0117169578
SRX5694315,0.221440627,0.3618525139,-0.1729404675
SRX5694317,-0.9108400076000001,0.1365270143,0.2138522692
SRX5694319,2.1252161628,0.16427983740000002,0.22403181360000002
SRX5694320,4.4627893928,-0.5427959721,-0.09237995040000001
SRX5694321,5.7037362667,1.8689884512,-0.38942819040000004
SRX5694322,2.2781178657,1.347569282,-1.1362642293
SRX5694323,5.2052321718,1.3423488480999999,-0.41342659340000004
SRX5694324,1.9167716934,0.3138591506,-1.6036324816
SRX5694325,1.1557675406,-0.2660318484,-0.5104274184
SRX5694326,1.2068557274,0.2927468743,-0.1584196907
SRX5694327,1.0120693039,-0.3403363017,-0.6589226995
SRX5694328,1.6129893177999999,0.4072420437,0.1764471632
SRX5694329,5.1422989708,1.6812340689,-0.5799739837
SRX5694330,4.8324170455,1.5590615006,-0.6950204566
SRX5694331,-0.42217477010000004,0.4713692594,0.245553549
SRX5694332,5.2756237723,1.9547990043999999,-0.24882076420000002
SRX5694334,1.1477007004,-0.6588742932,-1.0972302127
SRX5694335,2.7633066677,1.0425872213,-2.0210704043
SRX5694336,0.5711139844,-0.1208447178,-1.6584843203
SRX5694337,-0.1232237216,-0.2310765806,-0.2397944182
SRX5694338,1.0286134632,0.5046510095,0.1989831632
SRX5694339,1.4623867453,0.7037082493,0.10670366340000001
SRX5694340,1.4101182854,-0.6434448263,-0.1227589166
SRX5694341,0.7141912249,-0.5883179186,-1.4531793695
SRX5694342,3.3561290477,1.7674459752,-1.642695013
SRX5694343,6.956983786,3.2283414702,-0.659556922
SRX5694344,1.6522173246,0.4197731891,-0.5482364304
SRX5694345,0.6069070775000001,-0.0452683797,-0.1455592358
SRX5694346,7.0317876547000004,2.7378978825,-0.6506498564000001
SRX5694347,2.5467083264,-0.051819031,-0.0665078507
SRX5694348,-0.3632214741,-0.9771822323,0.0163008612
SRX5694349,0.5141154975000001,-0.1622047809,0.3281616036
SRX5694350,0.9084789809,-0.0336384559,-1.3897674496999999
SRX5694351,3.8141985741,0.8378066978,-0.94657928
SRX5694352,1.1403752461,-0.46869123170000004,-0.11358356480000001
SRX5694353,0.6450171189,0.7110649904,0.2090437913
SRX5694354,0.45454263100000003,-0.0610299783,0.156288703
SRX5694356,0.9189924642,0.4370859756,0.1914919696
SRX5694357,1.1282027157,0.39214997090000003,-1.6521756011000002
SRX5694358,7.5334427968,1.6124745241,-0.2527058608
SRX5694359,1.4304121757,-0.1483685644,-0.30657057660000003
SRX5694360,0.8528325906,-0.3468922904,-0.2669976047
SRX5694361,2.1939856027,0.791668734,-1.0307723459
SRX5694362,3.2151243872,1.9896268068,-0.0309958632
SRX5694363,0.5173989309,0.1651747072,-0.3804310446
SRX5694364,-1.3079963268,-1.0433651568,-2.3462003852
SRX5694365,1.2653522785,0.2054455396,-0.6041545277
SRX5694366,1.5142672475999999,0.04454122,-0.054980210200000004
SRX5694367,1.3563102395,-0.16480737080000002,-0.7076949831
SRX5694368,1.5010739736,0.0424778871,0.1102525246
SRX5694369,1.0834842914,0.12794360500000002,-0.0590977866
SRX5694370,0.8048811458,0.031992868800000004,-0.22081801820000002
SRX5694371,0.38079589080000004,-0.5641181251,-2.3057897995
SRX5694372,1.2438651864,-0.0034787402,-0.3165443482
SRX5694373,3.2532410866,1.0928573636,-1.5399098517
SRX5694374,3.1527233552,-0.6181793596,-0.3411830033
SRX5694375,0.3508540013,-0.3060146066,-0.0340696975
SRX5694376,3.5206981921000002,0.5776675851,-0.31705369640000003
SRX5694377,3.4224710033,-0.8127138885,-0.5697764494
SRX5694378,0.7830966969,-0.41160446640000004,-0.31765341210000003
SRX5694379,1.8464956975,-0.4621093223,-0.25011430100000004
SRX5694380,7.4608546986,3.1787597941,-0.8373204843000001
SRX5694381,2.0478578138,-0.12374418350000001,-1.2728116676
SRX5694382,4.6148860295,1.8562358056,-0.025511662
SRX5694383,0.5824541136,0.034024132900000004,0.1480773849
SRX5694384,0.1766571936,0.060052066700000004,0.1439389809
SRX5694385,2.4729993812,-0.2884812751,0.0779751018
SRX5694386,1.9699237309000002,-0.7927152884,-2.8414442095
SRX5694387,2.001238462,0.5120882115000001,0.0426535923
SRX5694388,3.0883647765,0.8954068827,-1.6022828696
SRX5694389,-0.0195797467,-1.3584459881,-0.0800003088
SRX5694390,0.6411509272,0.3800093442,0.0001683552
SRX5694391,0.024746908,-0.3818168611,0.1315329539
SRX5694392,0.9109604115000001,-0.3228340169,-0.1486598298
SRX5694393,-0.0233668,-0.3042516329,0.232671539
SRX5694394,0.6174534604,0.1875875291,0.2168248136
SRX5694395,1.2974569477,-0.9270483096000001,-0.3791651303
SRX5694396,2.2295254659,0.140834065,-0.8353134788000001
SRX5694397,1.2347241411,-0.0621689303,-0.0202364792
SRX5694398,0.8442653222000001,-0.24617259900000002,-0.0607073754
SRX5694399,-0.3183742533,-0.6938294563,-0.2527744328
SRX5694400,0.5834054901,-1.0636324915,-0.1981004934
SRX5694401,-0.7026353728,0.9110264628,-0.021523506600000002
SRX5694402,0.9425597315,-0.5590039534,-2.6700349591
SRX5694403,-0.129394488,-0.7489562376000001,-0.9103162108
SRX5694404,-0.4500272389,0.38642206300000004,0.0943710534
SRX5694405,2.5437459435000003,1.0381308755,-0.1829334597
SRX5694406,-0.3718857916,-0.0518847956,-0.3972091841
SRX5694407,0.10617688930000001,-0.4630935389,-0.2638287498
SRX5694408,0.4354028236,0.1095231985,0.0417388443
SRX5694409,1.5894273107,0.054994368700000004,-2.2693012292
