,-0.03882668839413807,-6.938893903907228e-18,0.038826688394138054,0.07765337678827612,0.11648006518241417,0.15530675357655221,0.19413344197069032,0.23296013036482838,0.27178681875896643,0.3106135071531045,0.34944019554724254,0.3882668839413806,0.4270935723355187,0.46592026072965675,0.5047469491237948,0.5435736375179329,0.5824003259120709,0.621227014306209,0.660053702700347,0.6988803910944851
thresh,-0.058240032591207094,0.058240032591207094,3,,,,,,,,,,,,,,,,,
unreg,16,3640,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Crp,0,533,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RhaS and Crp,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0
unreg_genes,[],[],[],['frvA'],[],[],[],[],[],[],['rhaM'],[],[],[],[],[],[],[],[],[]
Crp_genes,[],"['preA' 'rmf' 'sgcB' 'rbsD' 'glpQ' 'fur' 'ntrC' 'yjhH' 'fucI' 'kbaZ'
 'rspB' 'nrdB' 'ulaC' 'glnL' 'lamB' 'psiE' 'nrdA' 'glpC' 'dksA' 'malT'
 'citC' 'nfuA' 'xylH' 'glnA' 'gutQ' 'xylB' 'yiaO' 'guaB' 'feaR' 'dctA'
 'puuD' 'crp' 'treB' 'puuE' 'glpB' 'idnT' 'csiE' 'glpX' 'puuR' 'caiD'
 'yfaE' 'entH' 'prpR' 'gntT' 'araC' 'gcd' 'malM' 'psuG' 'sgbE' 'rbsR'
 'paaC' 'fucO' 'malG' 'hyfI' 'citX' 'ldtB' 'yhfA' 'gatY' 'casA' 'bglG'
 'dsdA' 'deoD' 'sgcX' 'nupG' 'preT' 'serC' 'fucP' 'galE' 'ptsH' 'mhpE'
 'manZ' 'relA' 'fixA' 'narQ' 'mokB' 'mhpF' 'glgA' 'araG' 'murP' 'focA'
 'lsrB' 'puuC' 'ulaE' 'lhgO' 'feaB' 'speC' 'pncB' 'galT' 'aroA' 'paaG'
 'trg' 'cytR' 'chbF' 'sgcE' 'serA' 'yqeF' 'caiB' 'pflB' 'ebgA' 'gntU'
 'hofN' 'idnD' 'cdd' 'entE' 'rbsK' 'lpd' 'tsx' 'agaV' 'argG' 'srlR' 'aceK'
 'dcuB' 'sgcC' 'nirD' 'mtlR' 'yhgH' 'aspA' 'malY' 'hflK' 'hyfJ' 'yjhG'
 'ulaA' 'psuK' 'fadL' 'mglB' 'malX' 'tnaA' 'lsrF' 'ulaD' 'hflC' 'caiA'
 'uxuR' 'gcvP' 'btsT' 'cyoA' 'hflX' 'galS' 'mazE' 'ulaF' 'fumA' 'citE'
 'flhD' 'acnB' 'hfq' 'dadX' 'uxaB' 'nanA' 'araJ' 'agp' 'marR' 'citG'
 'gcvH' 'xylR' 'sgcR' 'gntP' 'rseA' 'tdcC' 'marA' 'gltB' 'hpt' 'manY'
 'prpB' 'sgcQ' 'dgoT' 'glgP' 'glpR' 'cyoB' 'cspD' 'gabD' 'hofC' 'aceF'
 'gapA' 'fbaA' 'patZ' 'puuB' 'fumB' 'rbsA' 'nanT' 'dpiB' 'csiD' 'gutM'
 'chbR' 'sdhD' 'deoB' 'ascF' 'tdcB' 'nagB' 'umpH' 'envZ' 'grpE' 'gatD'
 'prpD' 'abgR' 'gatZ' 'agaW' 'citF' 'entC' 'bglB' 'ppiA' 'paaI' 'galM'
 'dsdX' 'sgbU' 'rspA' 'pgk' 'rimP' 'ampE' 'rseD' 'cas2' 'paaD' 'lsrD'
 'csqR' 'casE' 'ulaB' 'xylE' 'ilvN' 'rpoE' 'comR' 'gltD' 'aceA' 'yiaK'
 'cspE' 'fucK' 'rseB' 'hicB' 'glgC' 'uxaA' 'rplM' 'cas1' 'fecE' 'lsrG'
 'araH' 'srlD' 'rpsR' 'rpoH' 'gpsA' 'acnA' 'csgD' 'guaA' 'fecC' 'malI'
 'aaeX' 'ygeW' 'xylG' 'fucR' 'hyfF' 'fadD' 'lacA' 'epd' 'gcvT' 'entA'
 'casD' 'yiaM' 'plaR' 'aceB' 'fecD' 'malK' 'chbG' 'hupB' 'fadH' 'uxuA'
 'sdhC' 'nupC' 'srlA' 'yeiP' 'truB' 'fucU' 'bglF' 'aegA' 'gadB' 'pck'
 'yjcH' 'ascB' 'hyfG' 'dusB' 'hyfD' 'hupA' 'dpiA' 'aceE' 'idnO' 'dgoA'
 'uxuB' 'ychH' 'sdhA' 'prpC' 'cyoE' 'ompR' 'ugpE' 'fecA' 'sfsA' 'aaeR'
 'zraR' 'malS' 'mpl' 'ansB' 'gadA' 'nusA' 'fixC' 'chiP' 'uhpT' 'aldB'
 'rseC' 'caiC' 'rpsI' 'cstA' 'nanK' 'rbsC' 'casC' 'ynfK' 'gadX' 'xseA'
 'gatA' 'xylF' 'glpG' 'putP' 'cas3' 'galK' 'ygeA' 'nagE' 'mhpC' 'malF'
 'modB' 'gntK' 'nanE' 'mhpR' 'nadC' 'acs' 'entB' 'uidB' 'osmY' 'nagA'
 'hofB' 'cyoC' 'tdcG' 'dcuR' 'aaeA' 'ugpC' 'sucB' 'bhsA' 'casB' 'csgE'
 'manA' 'rpsO' 'aer' 'lsrK' 'metK' 'modC' 'mlc' 'chiQ' 'ugpA' 'yiaL'
 'tdcF' 'paaB' 'araD' 'melB' 'agaA' 'sgcA' 'actP' 'cpdB' 'deoA' 'infB'
 'oxyR' 'nagC' 'fumC' 'prpE' 'csgF' 'exuR' 'araF' 'hofM' 'idnR' 'yiaN'
 'mhpA' 'nanC' 'sucC' 'gabT' 'secB' 'ubiG' 'sgbH' 'gadC' 'gltA' 'ugpQ'
 'paaA' 'glpK' 'treC' 'mazF' 'udp' 'lsrC' 'hyfC' 'pdhR' 'rihA' 'lyxK'
 'chbC' 'rbfA' 'priB' 'tam' 'tdcE' 'ykgR' 'gadE' 'yeiW' 'ybiT' 'raiA'
 'focB' 'uidA' 'gyrA' 'sdhB' 'hyfE' 'sucD' 'fucA' 'paaE' 'cyoD' 'fis'
 'nlpE' 'ebgC' 'gabP' 'ompA' 'murQ' 'lacI' 'dcuA' 'lgoD' 'manX' 'ampD'
 'xylA' 'paaK' 'ilvB' 'dgoD' 'crr' 'citD' 'marB' 'trxA' 'srlE' 'rof'
 'zraS' 'melR' 'cyaA' 'ptsI' 'mdtE' 'fiu' 'rplI' 'ppdD' 'chbA' 'ompW'
 'mglC' 'paaF' 'glpE' 'rpsF' 'fixB' 'flhC' 'nirC' 'mglA' 'yaeQ' 'yhcH'
 'fecB' 'paaH' 'aaeB' 'sbmC' 'mtlD' 'dadA' 'lsrR' 'ptsG' 'deoC' 'yaeP'
 'araB' 'uidC' 'hyfH' 'hofO' 'dgoK' 'caiF' 'tdcA' 'paaZ' 'nanM' 'caiT'
 'sodA' 'sucA' 'srlB' 'tdcD' 'pnp' 'entD' 'sohB' 'cysG' 'glgS' 'csgG'
 'arfB' 'ugpB' 'mdh' 'cirA' 'lacZ' 'glcC' 'caiE' 'proP' 'modA' 'lacY'
 'tnaB' 'dgoR' 'fepA' 'gatC' 'mhpD' 'yjhI' 'uxaC' 'aldA' 'galP' 'gltF'
 'chbB' 'rpoS' 'exuT' 'gdhA' 'hyfR' 'nanS' 'hicA' 'gatB' 'melA' 'araE'
 'glpA' 'ompF' 'paaJ' 'glpT' 'lsrA' 'araA' 'glpF' 'hyfA' 'hyfB' 'mdtF'
 'ycdZ' 'mhpB' 'ortT' 'yahN' 'mtlA' 'lgoR' 'hlyE' 'glpD' 'idnK' 'grcA'
 'rbsB' 'sodB']",['nirB' 'ygcW' 'malE'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
RhaS and Crp_genes,[],[],[],[],[],[],[],['rhaR'],[],['rhaS' 'rhaT'],['rhaD'],['rhaA'],['rhaB'],[],[],[],[],[],[],[]
