,argQ
Cr_1,8.954069842901012e-05
Cr_2,0.0006806391507013773
Cr_3,0.0013183792540018553
Cr_4,-0.003187527174749148
Cr_5,-0.005824926323602347
Cr_6,-0.012663623225059428
Fe_1,-0.011411914716218672
Fe_2,-0.038924753894195536
Fe_3,-0.08306526222168671
Fe_4,-0.13955244263627187
Fe_5,-0.19252647264941666
Fe_6,-0.25490695237314115
Cd_1,-0.0028341003112017176
Cd_2,6.531992650517915e-05
Cd_3,0.006782791107976907
Cd_4,0.012691556900264108
Cd_5,0.007428646796507524
Cd_6,0.006260249662609446
Zn_1,-0.01913587917111153
Zn_2,-0.024583836092730148
Zn_3,-0.026013607494097042
Zn_4,-0.03586085919439185
Zn_5,-0.036861795145872116
Zn_6,-0.05433341902735557
Cu_1,-0.002085616252271631
Cu_2,6.672613412105832e-05
Cu_3,-0.0022686586368457318
Cu_4,0.0005157341326417748
Cu_5,0.005136965101200285
Cu_6,0.010565785443890831
Pb_1,0.002828544335794807
Pb_2,0.0060063268701998395
Pb_3,0.014207405819524803
Pb_4,0.02281223032152657
Pb_5,0.03177482121290399
Pb_6,0.0422143393949833
