,spy
Cr_1,-0.031634864548712026
Cr_2,-0.045935052654902615
Cr_3,-0.062439729046415884
Cr_4,-0.07619248256585709
Cr_5,-0.0738622935920936
Cr_6,-0.07508691761417642
Fe_1,-0.03136485716865235
Fe_2,-0.06792702924490722
Fe_3,-0.09750052116494212
Fe_4,-0.13261513933530342
Fe_5,-0.15721323765595366
Fe_6,-0.1814121470390192
Cd_1,0.003384412836346448
Cd_2,0.007706554078605012
Cd_3,0.005719401916808376
Cd_4,0.0071952569994317905
Cd_5,-0.0100339943399555
Cd_6,-0.012670588782616355
Zn_1,-0.01846315494683193
Zn_2,-0.015006003073851628
Zn_3,-0.012923216281462957
Zn_4,-0.018917185151505044
Zn_5,-0.0303079041375129
Zn_6,-0.025540182920718583
Cu_1,0.009773004328800454
Cu_2,0.01945864527623713
Cu_3,0.02457007616018765
Cu_4,0.032187642149652015
Cu_5,0.04078061592326904
Cu_6,0.04692078295619441
Pb_1,-0.00388142191915398
Pb_2,0.002904215279893619
Pb_3,0.004109421425287919
Pb_4,0.013172014247593823
Pb_5,0.02140234211686649
Pb_6,0.030450586096251737
