,acpP
Cr_1,0.002980625225793062
Cr_2,0.008259924650223226
Cr_3,0.012862398869318559
Cr_4,0.015504884533134247
Cr_5,0.01741756237870529
Cr_6,0.01834948462581884
Fe_1,-0.008749738053832274
Fe_2,-0.016791856827730437
Fe_3,-0.025976810819267858
Fe_4,-0.04414621556597356
Fe_5,-0.06209426211484655
Fe_6,-0.07861822637043027
Cd_1,0.002378620255537593
Cd_2,0.005473396278654103
Cd_3,0.008837654149403473
Cd_4,0.013564531304792227
Cd_5,0.015479367925919484
Cd_6,0.022204903131034175
Zn_1,-0.0015045114981226428
Zn_2,0.0067980705780223
Zn_3,0.030364750156816563
Zn_4,0.06185430841124899
Zn_5,0.09246550646309072
Zn_6,0.12445768614831967
Cu_1,0.0007588718792766326
Cu_2,0.0039875189720338855
Cu_3,0.008366039009679334
Cu_4,0.01610559501550996
Cu_5,0.02767233604648181
Cu_6,0.03780876712552243
Pb_1,0.004898776238438847
Pb_2,0.010844419430257721
Pb_3,0.017771621038816233
Pb_4,0.026502643004015343
Pb_5,0.03482047194954066
Pb_6,0.044347415519690264
